Illmo	Ilustríssimo	AQSMS0	ilustre
Snr	Senhor	NP00000	senhor
Dzor	Desembargador	NP00000	desembargador
Como	Como	CS	como
he	é	VSIP3S0	ser
do	do	SPS00+DA0MS0	de+o
nosso	nosso	DP1MSP	nosso
dever	dever	NCMS000	dever
	,	Fc	,
por	por	SPS00	por
a	a	DA0FS0	o
nossa	nossa	DP1FSP	nosso
Santa	santa	AQ0FS0	santo
Relligião	religião	NCFS000	religião
asim	assim	RG	assim
o	o	PP3MSA00	o
Mandar	mandar	VMN0000	mandar
	,	Fc	,
o	o	DA0MS0	o
dezemganarmos	desenganarmos	VMN01P0	desenganar
huns	uns	DI0MP0	um
aos	aos	SPS00+DA0MP0	a+o
Outros	outros	DI0MP0	outro
	,	Fc	,
e	e	CC	e
me	me	PP1CS000	me
Constar	constar	VMN0000	constar
Va	Vossa	DP2FSP	vosso
Rma	Reverendíssima	AQSFS0	reverendo
ter	ter	VAN0000	ter
sido	sido	VSP0000	ser
rrouvado	roubado	VMP00SM	roubar
pello	pelo	SPS00+DA0MS0	por+o
seu	seu	DP3MS0	seu
Cro	criado	NCMS000	criado
e	e	CC	e
mais	mais	DI0CN0	mais
Collegas	colegas	NCCP000	colega
	,	Fc	,
Motivo	motivo	NCMS000	motivo
por	por	SPS00	por
que	que	PR0CN000	que
me	me	PP1CS000	me
deliberei	deliberei	VMIS1S0	deliberar
a	a	SPS00	a
fazer	fazer	VMN0000	fazer
esta	esta	PD0FS000	este
	,	Fc	,
a	a	SPS00	a
fim	fim	NCMS000	fim
de	de	SPS00	de
dizer	dizer	VMN0000	dizer
a	a	SPS00	a
Va	Vossa	DP2FSP	vosso
Rma	Reverendíssima	AQSFS0	reverendo
que	que	CC	que
por	por	SPS00	por
estes	estes	DD0MP0	este
sitios	sítios	NCMP000	sítio
he	é	VSIP3S0	ser
todo	todo	DI0MS0	todo
cheio	cheio	AQ0MS0	cheio
e	e	CC	e
notorio	notório	AQ0MS0	notório
que	que	CS	que
hum	um	DI0MS0	um
dos	dos	SPS00+DA0MP0	de+o
taes	tais	DD0CP0	tal
Collegas	colegas	NCCP000	colega
por	por	SPS00	por
Nome	nome	NCMS000	nome
João	João	NP00000	joão
e	e	CC	e
por	por	SPS00	por
Alcunha	alcunha	NCFS000	alcunha
o	o	DA0MS0	o
Bollacheiro	Bolacheiro	NP00000	bolacheiro
he	é	VSIP3S0	ser
quem	quem	PR0CN000	quem
tevou	tevou	VMIS3S0	tevar
o	o	DA0MS0	o
Dro	dinheiro	NCMS000	dinheiro
	.	Fp	.
e	E	CC	e
este	este	PD0MS000	este
partio	partiu	VMIS3S0	partir
para	para	SPS00	para
a	a	DA0FS0	o
Galliza	Galiza	NP00000	galiza
em	em	SPS00	em
o	o	DA0MS0	o
Dia	dia	NCMS000	dia
20	20	Z	20
do	do	SPS00+DA0MS0	de+o
Corrente	corrente	AQ0CS0	corrente
Abril	abril	NCMS000	abril
	.	Fp	.
o	O	DA0MS0	o
Caminho	caminho	NCMS000	caminho
o	ou	CC	ou
Derrota	derrota	NCFS000	derrota
que	que	PR0CN000	que
elle	ele	PP3MS000	ele
leva	leva	VMIP3S0	levar
he	é	VSIP3S0	ser
de	de	SPS00	de
esta	esta	PD0FS000	este
a	a	SPS00	a
Coimbra	Coimbra	NP00000	coimbra
	,	Fc	,
de	de	SPS00	de
alli	ali	RG	ali
athe	até	SPS00	até
o	o	DA0MS0	o
Porto	Porto	NP00000	porto
	,	Fc	,
Braga	Braga	NP00000	braga
	,	Fc	,
Abadia	Abadia	NP00000	abadia
	,	Fc	,
Cobide	Covide	NP00000	covide
	,	Fc	,
Vilherinho	Vilarinho	NP00000	vilarinho
do	do	SPS00+DA0MS0	de+o
Campo	Campo	NP00000	campo
	.	Fp	.
tanto	Tanto	RC	tanto
Mostra	mostra	VMIP3S0	mostrar
ser	ser	VSN0000	ser
Cumplice	cúmplice	NCCS000	cúmplice
q	que	CS	que
	,	Fc	,
asim	assim	RG	assim
que	que	CS	que
se	se	P00CN000	se
dice	disse	VMIS3S0	dizer
estar	estar	VMN0000	estar
prezo	preso	AQ0MS0	preso
hum	um	DI0MS0	um
dos	dos	SPS00+DA0MP0	de+o
taes	tais	PD0CP000	tal
	,	Fc	,
logo	logo	RG	logo
se	se	P00CN000	se
pôs	pôs	VMIS3S0	pôr
a	a	SPS00	a
Caminho	caminho	NCMS000	caminho
deixando	deixando	VMG0000	deixar
em	em	SPS00	em
esta	esta	PD0FS000	este
huma	uma	DI0FS0	um
Amiga	amiga	NCFS000	amigo
com	com	SPS00	com
Dois	dois	Z	dois
filhos	filhos	NCMP000	filho
a	a	SPS00	a
quem	quem	PR0CN000	quem
se	se	P00CN000	se
dis	diz	VMIP3S0	dizer
deixou	deixou	VMIS3S0	deixar
800	800	Z	800
RS	réis	NCMP000	réis
	.	Fp	.
isto	Isto	PD0NN000	isto
he	é	VSIP3S0	ser
notorio	notório	AQ0MS0	notório
por	por	SPS00	por
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
Agoadeiros	aguadeiros	NCMP000	aguadeiro
do	do	SPS00+DA0MS0	de+o
Carmo	Carmo	NP00000	carmo
e	e	CC	e
Loreto	Loreto	NP00000	loreto
	,	Fc	,
de	de	SPS00	de
quem	quem	PR0CN000	quem
elle	ele	PP3MS000	ele
he	é	VSIP3S0	ser
Mto	muito	RQ	muito
Conhecido	conhecido	VMP00SM	conhecer
e	e	CC	e
