Eu	Eu	PP1CSN00	eu
tenho	tenho	VMIP1S0	ter
medo	medo	NCMS000	medo
de	de	SPS00	de
aConselhar	aconselhar	VMN0000	aconselhar
,	,	Fc	,
porq	porque	CS	porque
não	não	RN	não
tenho	tenho	VMIP1S0	ter
pratica	prática	NCFS000	prática
de	de	SPS00	de
Criminal	criminal	NCMS000	criminal
:	.	Fp	.
Creio	Creio	VMIP1S0	crer
q	que	CS	que
o	o	DA0MS0	o
seguro	seguro	NCMS000	seguro
Rial	real	NCMS000	real
se	se	CS	se
tira	tira	VMIP3S0	tira
pelo	pelo	SPS00+DA0MS0	por+o
Dezo	desembargador	NCMS000	desembargador
do	do	SPS00+DA0MS0	de+o
Paço	Paço	NP00000	paço
,	,	Fc	,
porem	porém	RG	porém
não	não	RN	não
sei	sei	VMIP1S0	saber
se	se	CS	se
o	o	DA0MS0	o
Intendente	Intendente	NP00000	intendente
admite	admite	VMIP3S0	admitir
:	.	Fc	admitir
seria	Seria	VSIC0S0	ser
bom	bom	AQ0MS0	bom
aConselharse	aconselhar-se	VMN0000+P00CN000	aconselhar+se
Com	com	SPS00	com
algum	algum	DI0MS0	algum
Letrado	letrado	NCMS000	letrado
	.	Fp	.
ora	Ora	RG	ora
	,	Fc	,
se	se	CS	se
o	o	DA0MS0	o
Intendente	Intendente	NP00000	intendente
ou	ou	CC	ou
o	o	DA0MS0	o
seo	seu	DP3MS0	seu
Ajudante	ajudante	NCCS000	ajudante
	,	Fc	,
Cazal	Casal	NP00000	casal
Ribro	Ribeiro	NP00000	ribeiro
	,	Fc	,
quizese	quisesse	VMSI0S0	querer
mandar	mandar	VMN0000	mandar
hir	ir	VMN0000	ir
o	o	DA0MS0	o
Homem	homem	NCMS000	homem
prezo	preso	AQ0MS0	preso
á	à	SPS00+DA0FS0	a+o
sua	sua	DP3FS0	seu
prezença	presença	NCFS000	presença
estando	estando	VMG0000	estar
Vmce	VM	NP00000	VM
pa	para	SPS00	para
se	se	CS	se
dizer	dizer	VMN0000	dizer
se	se	CS	se
hé	é	VSIP3S0	ser
aquele	aquele	DD0MS0	aquele
q	que	CS	que
elle	ele	PP3MS000	ele
dise	disse	VMIS3S0	dizer
,	,	Fc	,
seria	seria	VSIC0S0	ser
bom	bom	AQ0MS0	bom
,	,	Fc	,
mas	mas	CC	mais
duvido	duvido	VMIP1S0	duvidar
	.	Fp	.
sem	Sem	SPS00	sem
Vmce	VM	NP00000	VM
requerer	requerer	VMN0000	requerer
,	,	Fc	,
e	é	VSIP3S0	ser
ser	ser	VSN0000	ser
prezo	preso	NCMS000	preso
pa	para	SPS00	para
então	então	RG	então
ser	ser	VSN0000	ser
aCariado	acariado	VMP00SM	acariar
Com	com	SPS00	com
elle	ele	PP3MS000	ele
:	.	Fp	.
e	E	CC	e
he	é	VSIP3S0	ser
o	o	DA0MS0	o
q	que	PR0CN000	que
poso	posso	VMIP1S0	poder
fazer	fazer	VMN0000	fazer
hé	é	VSIP3S0	ser
	,	Fc	,
por	por	SPS00	por
Certo	certo	AQ0MS0	certo
prezo	preso	NCMS000	preso
q	que	CS	que
aqui	aqui	RG	aqui
está	está	VMIP3S0	estar
e	e	CC	e
q	que	CS	que
me	me	PP1CS000	me
fala	fala	VMIP3S0	falar
ás	às	SPS00+DA0FP0	a+o
Vezes	vezes	NCFP000	vez
e	e	CC	e
q	que	CS	que
tem	tem	VMIP3S0	ter
amizes	amizades	NCFP000	amizade
Com	com	SPS00	com
elles	eles	PP3MP000	ele
,	,	Fc	,
Ver	ver	VMN0000	ver
por	por	SPS00	por
quanto	quanto	PR0CN000	quanto
elle	ele	PP3MS000	ele
está	está	VMIP3S0	estar
prompto	pronto	AQ0MS0	pronto
e	e	CC	e
promete	promete	VMIP3S0	prometer
de	de	SPS00	de
dizer	dizer	VMN0000	dizer
q	que	CS	que
não	não	RN	não
hé	é	VSIP3S0	ser
Vmce	VM	NP00000	VM
aquele	aquele	DD0MS0	aquele
q	que	PR0CN000	que
fes	fez	VMIS3S0	fazer
e	e	CC	e
asistio	assistiu	VMIS3S0	assistir
ao	ao	SPS00+DA0MS0	a+o
Roubo	roubo	NCMS000	roubo
mas	mas	CC	mais
q	que	CS	que
era	era	VSII0S0	ser
outro	outro	DI0MS0	outro
,	,	Fc	,
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
diserão	disseram	VMIS3P0	dizer
ser	ser	VSN0000	ser
oficial	oficial	NCMS000	oficial
de	de	SPS00	de
justiça	justiça	NCFS000	justiça
e	e	CC	e
a	a	SPS00	a
qm	quem	PR0CN000	quem
derão	deram	VMIS3P0	dar
o	o	DA0MS0	o
mo	mesmo	AQ0MS0	mesmo
nome	nome	NCMS000	nome
	,	Fc	,
talves	talvez	RG	talvez
	.	Fp	.
não	Não	RN	não
sendo	sendo	VSG0000	ser
asim	assim	RG	assim
;	,	Fc	,
Veja	veja	VMSP0S0	ver
o	o	DA0MS0	o
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
dis	diz	VMIP3S0	dizer
o	o	DA0MS0	o
Letrado	letrado	NCMS000	letrado
porq	porque	CS	porque
se	se	CS	se
asim	assim	RG	assim
quizer	quiser	VMSF0S0	querer
lhe	lhe	PP3CSD00	lhe
farei	farei	VMIF1S0	fazer
falar	falar	VMN0000	falar
e	e	CC	e
darei	darei	VMIF1S0	dar
parte	parte	NCFS000	parte
pois	pois	CS	pois
sou	sou	VSIP1S0	ser
seo	seu	DP3MS0	seu
Ao	amigo	NCMS000	amigo
	.	Fp	.
