Meu	Meu	DP1MSS	meu
unico	único	AQ0MS0	único
amor	amor	NCMS000	amor
	,	Fc	,
estimo	estimo	VMIP1S0	estimar
q	que	CS	que
pasasses	passasses	VMSI2S0	passar
bem	bem	RG	bem
a	a	DA0FS0	o
noitte	noite	NCFS000	o
	,	NCFS000	o
milhor	melhor	RC	melhor
do	do	SPS00+DA0MS0	de+o
que	que	PR0CN000	que
eu	eu	PP1CSN00	eu
	,	Fc	,
porque	porque	CS	porque
só	só	RF	só
tenho	tenho	VMIP1S0	ter
descanso	descanso	NCMS000	descanso
quando	quando	CS	quando
esttou	estou	VMIP1S0	estar
na	na	SPS00+DA0FS0	em+o
tua	tua	DP2FSS	teu
companhia	companhia	NCFS000	companhia
	.	Fp	.
mas	Mas	CC	mas
	,	Fc	,
hai	ai	I	ai
!	,	Fc	,
q	que	CS	que
a	a	SPS00	a
vos	vós	PP2CP000	vós
estou	estou	VMIP1S0	estar
pedindo	pedindo	VMG0000	pedir
o	o	DA0MS0	o
tempo	tempo	NCMS000	tempo
e	e	CC	e
descanso	descanso	NCMS000	descanso
na	na	SPS00+DA0FS0	em+o
tua	tua	DP2FSS	teu
companhia	companhia	NCFS000	companhia
	.	Fp	.
espero	Espero	VMIP1S0	esperar
firmeza	firmeza	NCFS000	firmeza
como	como	CS	como
eu	eu	PP1CSN00	eu
concervo	conservo	VMIP1S0	conservar
	.	Fp	.
não	Não	RN	não
se	se	P00CN000	se
deve	deve	VMIP3S0	dever
dar	dar	VMN0000	dar
tromento	tormento	NCMS000	tormento
a	a	SPS00	a
hum	um	DI0MS0	um
coração	coração	NCMS000	coração
cativo	cativo	AQ0MS0	cativo
dos	dos	SPS00+DA0MP0	de+o
teuos	teus	DP2MPS	teu
Olhos	olhos	NCMP000	olho
	.	Fp	.
o	O	DA0MS0	o
amor	amor	NCMS000	amor
que	que	PR0CN000	que
me	me	PP1CS000	me
lhe	lhe	PP3CSD00	lhe
estta	está	VMIP3S0	estar
emcerado	encerrado	VMP00SM	encerrar
só	só	RF	só
deos	Deus	NP00000	deus
o	o	PP3MSA00	o
sabe	sabe	VMIP3S0	saber
	.	Fp	.
o	Ao	SPS00+DA0MS0	a+o
mesmo	mesmo	AQ0MS0	mesmo
senhor	Senhor	NP00000	senhor
esttou	estou	VMIP1S0	estar
pedindo	pedindo	VMG0000	pedir
q	que	CS	que
te	te	PP2CS000	te
amostre	amostre	VMSP0S0	amostrar
afeição	afeição	NCFS000	afeição
q	que	PR0CN000	que
elle	ele	PP3MS000	ele
te	te	PP2CS000	te
concerva	conserva	VMIP3S0	conservar
	.	Fp	.
aDs	Adeus	Fp	.
	.	Fp	.
athé	Até	Fp	.
a	à	Fp	.
noite	noite	Fp	.
	,	Fp	.
se	se	Fp	.
Ds	Deus	Fp	.
quizer	quiser	Fp	.
	.	Fp	.
Destte	Deste	Fp	.
Coração	coração	Fp	.
	,	Fp	.
Lial	leal	Fp	.
athé	até	Fp	.
morte	morte	Fp	.
	,	Fp	.
q	que	Fp	.
as	as	Fp	.
chaves	chaves	Fp	.
do	do	Fp	.
peitto	peito	Fp	.
te	te	Fp	.
emtrega	entrega	Fp	.
	.	Fp	.
