alguns	Alguns	DI0MP0	algum
presos	presos	NCMP000	preso
cujos	cujos	PU0MP000	cujo
crimes	crimes	NCMP000	crime
politicos	políticos	NCMP000	político
	,	Fc	,
tanto	tanto	RC	tanto
mais	mais	RC	mais
aggravantes	agravantes	AQ0CP0	agravante
por	por	SPS00	por
isso	isso	PD0NN000	isso
	,	Fc	,
 q 	que	CS	que
se	se	P00CN000	se
achão	acham	VMIP3P0	achar
provados	provados	VMP00PM	provar
:	,	VMP00PM	provar
indulto	indulto	NCMS000	indulto
	,	Fc	,
no	no	SPS00+DA0MS0	em+o
qual	qual	PR0CS000	qual
me	me	PP1CS000	me
considero	considero	VMIP1S0	considerar
  expressamte	expressamente	RG	expressamente
incluido	incluído	VMP00SM	incluir
,	,	Fc	,
pois	pois	CS	pois
	,	Fc	,
examinando-se	examinando-se	VMG0000+P00CN000	examinar+se
a	a	DA0FS0	o
qualidade	qualidade	NCFS000	o
de	de	SPS00	de
crimes	crimes	NCMP000	crime
 q 	que	PR0CN000	que
elle	ele	PP3MS000	ele
abramge	abrange	VMIP3S0	abranger
,	,	Fc	,
vê-se	vê-se	VMIP3S0+P00CN000	ver+se
que	que	CS	que
este	este	PD0MS000	este
senta	senta	NCMS000	senta
sobre	sobre	SPS00	sobre
	&quot;	VMN0000	&quot;
 opiniões 	opiniões	NCFP000	opinião
 politicas	políticas	AQ0FP0	político
 e 	e	CC	e
 comicios 	comícios	NCMP000	comício
 pronunciados	pronunciados	VMP00PM	pronunciar
 contra 	contra	SPS00	contra
 a	a	DA0FS0	o
 familia 	família	NCFS000	o
 Real	Real	NP00000	real
	&quot;	Fe	&quot;
	.	Fp	.
estas	Estas	PD0FP000	este
são	são	VSIP3P0	ser
as	as	DA0FP0	o
emputações	imputações	NCFP000	o
 q 	que	PR0CN000	que
me	me	PP1CS000	me
fez	fez	VMIS3S0	fazer
o	o	DA0MS0	o
falçario	falsário	AQ0MS0	falsário
denunciante	denunciante	NCCS000	denunciante
	,	Fc	,
com	com	SPS00	com
a	a	DA0FS0	o
simples	simples	AQ0CS0	simples
differença	diferença	NCFS000	diferença
que	que	CS	que
elle	ele	PP3MS000	ele
me	me	PP1CS000	me
accusou	acusou	VMIS3S0	acusar
  	,	Fc	,
se	se	P00CN000	se
não	não	RN	não
de	de	SPS00	de
ter	ter	VAN0000	ter
prononciado	pronunciado	VMP0000	prometer
 esses 	esses	DD0MP0	esse
comercios	comércios	NCMP000	comércio
,	,	Fc	,
de	de	SPS00	de
os	os	PP3MPA00	o
haver	haver	VAN0000	haver
escrito	escrito	VMP0000	escrever
:	.	VMP0000	escrever
se	Se	CS	se
tal	tal	DD0CS0	tal
denuncia	denúncia	NCFS000	denúncia
se	se	P00CN000	se
provasse	provasse	VMSI0S0	provar
veridica	verídica	AQ0FS0	verídico
pelo	pelo	SPS00+DA0MS0	por+o
indulto	indulto	NCMS000	indulto
de	de	SPS00	de
 S 	Sua	DP3FS0	seu
 M	Mercê	NP00000	mercê
	,	Fc	,
eu	eu	PP1CSN00	eu
seria	seria	VSIC0S0	ser
perdoado	perdoado	VMP00SM	perdoar
e	e	CC	e
posto	posto	VMP00SM	pôr
em	em	SPS00	em
Liberdade	liberdade	NCFS000	liberdade
