3	3	Z	3
de	de	SPS00	de
gulho	julho	NCMS000	julho
Recebi	Recebi	VMIS1S0	receber
em	em	SPS00	em
u	o	DA0MS0	o
dia	dia	NCMS000	dia
30	30	Z	30
do	do	SPS00+DA0MS0	de+o
pado	passado	VMP00SM	passar
huma	uma	DI0FS0	um
carta	carta	NCFS000	carta
sua	sua	DP3FS0	seu
i	e	CC	e
não	não	RN	não
lhe	lhe	PP3CSD00	lhe
poso	posso	VMIP1S0	poder
expelicar	explicar	VMN0000	explicar
a	a	DA0FS0	o
empercão	impressão	NCFS000	impressão
q	que	CS	que
esa	essa	DD0FS0	esse
me	me	PP1CS000	me
cauza	causa	NCFS000	causa
	,	Fc	,
de	de	SPS00	de
maneira	maneira	NCFS000	maneira
q	que	CS	que
nen	nem	RN	nem
pude	pude	VMIS1S0	poder
cer	ser	VSN0000	ser
Sra	senhora	NCFS000	senhor
de	de	SPS00	de
mim	mim	PP1CSO00	mim
pa	para	SPS00	para
escrever	escrever	VMN0000	escrever
	,	Fc	,
i	e	CC	e
apneas	apenas	RG	apenas
receberia	receberia	VMIC0S0	receber
huma	uma	DI0FS0	um
q	que	PR0CN000	que
ja	já	RG	já
estava	estava	VMII0S0	estar
feita	feita	VMP00SF	fazer
pa	para	SPS00	para
hir	ir	VMN0000	ir
com	com	SPS00	com
us	os	DA0MP0	o
bolos	bolos	NCMP000	bolo
	,	Fc	,
de	de	SPS00	de
q	que	PR0CN000	que
ce	se	P00CN000	se
não	não	RN	não
avia	havia	VMII0S0	haver
de	de	SPS00	de
otelizar	utilizar	VMN0000	utilizar
pois	pois	CS	pois
não	não	RN	não
podia	podia	VMII0S0	poder
xigar	chegar	VMN0000	chegar
capazes	capazes	AQ0CP0	capaz
	,	Fc	,
hera	era	VSII0S0	ser
enpocivel	impossível	AQ0CS0	impossível
	.	Fp	.
i	E	CC	e
eu	eu	PP1CSN00	eu
so	só	RG	só
us	os	PP3MSA00	o
mandei	mandei	VMIS1S0	mandar
pa	para	SPS00	para
lhe	lhe	PP3CSD00	lhe
mosterar	mostrar	VMN0000	mostrar
q	que	CS	que
me	me	PP1CS000	me
não	não	RN	não
esceso	esqueço	VMIP1S0	esquecer
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
permeto	prometo	VMIP1S0	prometer
	.	Fp	.
ethe	Até	SPS00	até
brincando	brincando	VMG0000	brincar
	,	Fc	,
como	como	CS	como
poderia	poderia	VMIC0S0	poder
faltar	faltar	VMN0000	faltar
o	ao	SPS00+DA0MS0	a+o
q	que	PR0CN000	que
gurei	jurei	VMIS1S0	jurar
pelo	pelo	SPS00+DA0MS0	por+o
mais	mais	RC	mais
sagrado	sagrado	VMP00SM	sagrar
a	a	SPS00	a
meu	meu	DP1MSS	meu
F	Francisco	NP00000	francisco
	?	Fp	?
q	Que	CS	que
poco	pouco	RG	pouco
te	te	PP2CS000	te
mereso	mereço	VMIP1S0	merecer
	!	Fp	!
parciame	Parecia-me	VMII0S0+PP1CS000	parecer+me
q	que	CS	que
asas	assaz	RG	assaz
tinhas	tinhas	VMII2S0	ter
rezoens	razões	NCFP000	razão
bem	bem	RG	bem
fortes	fortes	AQ0CS0	forte
pa	para	SPS00	para
não	não	RN	não
acraditar	acreditar	VMN0000	acreditar
nada	nada	PI0NN00N	nada
i	e	CC	e
formar	formar	VMN0000	formar
de	de	SPS00	de
mim	mim	PP1CSO00	mim
hun	um	DI0MS0	um
conceito	conceito	NCMS000	conceito
bem	bem	RG	bem
diverso	diverso	AQ0MS0	diverso
	!	Fp	!
não	Não	RN	não
hera	era	VSII0S0	ser
crime	crime	NCMS000	crime
o	o	DA0MS0	o
