Illmo	Ilustríssimo	AQSMS0	ilustre
Snr	Senhor	NP00000	senhor
Intende Geral	Intenente-Geral	NP00000	intenente-geral
da	da	SPS00+DA0FS0	de+o
Policia	Polícia	NP00000	polícia
A	A	DA0FS0	o
piedade	piedade	NCFS000	piedade
mal	mal	RG	mal
entendida	entendida	VMP00SF	entender
hé	é	VSIP3S0	ser
um	um	DI0MS0	um
vicio	vício	NCMS000	vício
ainda	ainda	RG	ainda
mais	mais	RC	mais
perigoso	perigoso	AQ0MS0	perigoso
do	do	SPS00+DA0MS0	de+o
que	que	CS0	que
o	o	DA0MS0	o
Rigor	rigor	NCMS000	rigor
e	e	CC	e
as	as	DA0FP0	o
virtudes	virtudes	NCFP000	virtude
degenérão	degeneram	VMIP3P0	degenerar
,	,	Fc	,
elevadas	elevadas	VMP00SF	elevar
q	que	CS	que
sejão	sejam	VSSP3P0	ser
aos	aos	SPS00+DA0MP0	a+o
extremos	extremos	NCMP000	extremo
.	.	Fp	.
Por	Por	SPS00	por
conseqe	consequência	NCFS000	consequência
,	,	Fc	,
perdoar	perdoar	VMN0000	perdoar
a	a	SPS00	a
hum	um	DI0MS0	um
malvado	malvado	NCMS000	malvado
,	,	Fc	,
a	a	SPS00	a
hum	um	DI0MS0	um
criminozo	criminoso	NCMS000	criminoso
d'	de	SPS00	de
Alta	alta	AQ0FS0	alto
traição	traição	NCFS000	traição
que	que	PR0CN000	que
se	se	P00CN000	se
atreve	atreve	VMIP3S0	atrever
a	a	SPS00	a
proferir	proferir	VMN0000	proferir
a	a	DA0FS0	o
jactancia	jactância	NCFS000	jactância
de	de	SPS00	de
suas	suas	DP3FP0	seu
proprias	próprias	AQ0FP0	próprio
maldes	maldades	NCFP000	maldade
he	é	VSIP3S0	ser
,	,	Fc	,
todavia	todavia	RG	todavia
,	,	Fc	,
animar	animar	VMN0000	animar
os	os	DA0MP0	o
outros	outros	PI0MP000	outro
ao	ao	SPS00+DA0MS0	a+o
Crime	crime	NCMS000	crime
,	,	Fc	,
multiplicandose	multiplicando-se	VMG0000+P00CN000	multiplicar+se
por	por	SPS00	por
este	este	DD0MS0	este
principio	princípio	NCMS000	princípio
o	o	DA0MS0	o
numero	número	NCMS000	número
dos	dos	SPS00+DA0MP0	de+o
criminosos	criminosos	NCMP000	criminoso
,	,	Fc	,
franqueiando-lhes	franqueando-lhes	VMG0000+PP3CPD00	franquear+lhe
campo	campo	NCMS000	campo
pa	para	SPS00	para
perpetrarem	perpetrarem	VMN03P0	perpetrar
outros	outros	PI0MP000	outro
maiores	maiores	AQ0CP0	maiores
.	.	Fp	.
Hé	É	VSIP3S0	ser
pois	pois	CS	pois
dever	dever	VMN0000	dever
d'	de	SPS00	de
hum	um	DI0MS0	um
portuguez	português	NCMS000	português
honrado	honrado	VMP00SM	honrar
,	,	Fc	,
amante	amante	AQ0CS0	amante
da	da	SPS00+DA0FS0	de+o
Sta	santa	AQ0FS0	santo
Relegião	religião	NCFS000	religião
,	,	Fc	,
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
Augusto	augusto	AQ0MS0	augusto
Soberano	soberano	NCMS000	soberano
,	,	Fc	,
e	e	CC	e
não	não	RN	não
menos	menos	RC	menos
dos	dos	SPS00+DA0MP0	de+o
Compatriotas	compatriotas	NCCP000	compatriota
q	que	PR0CN000	que
o	o	PP3MSA00	o
imitão	imitam	VMIP3P0	imitar
,	,	Fc	,
lembrar	lembrar	VMN0000	lembrar
a	a	SPS00	a
VSa	VSa	NP00000	VSa
o	o	DA0MS0	o
quão	quão	RC	quão
danosas	danosas	AQ0FP0	danoso
e	e	CC	e
terriveis	terríveis	AQ0CP0	terrível
conseqcias	consequências	NCFP000	consequência
q	que	PR0CN000	que
se	se	PP3	se
seguem	seguem	VMIP3P0	seguir
da	da	SPS00+DA0FS0	de+o
conservação	conservação	NCFS000	conservação
dos	dos	SPS00+DA0MP0	de+o
malevolos	malévolos	AQ0MP0	malévolo
na	na	SPS00+DA0FS0	em+o
ordem	ordem	NCFS000	ordem
social	social	AQ0CS0	social
,	,	Fc	,
e	e	CC	e
quão	quão	RC	quão
proveitoso	proveitoso	AQ0MS0	proveitoso
se	se	PP3CNA00	se
tornará	tornará	VMIF3S0	tornar
á	à	SPS00+DA0FS0	a+o
mma	mesma	AQ0FS0	mesmo
decipar	decepar	VMN0000	decepar
ou	ou	CC	ou
banir	banir	VMN0000	banir
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
centro	centro	NCMS000	centro
estes	estes	DD0MP0	este
monstros	monstros	NCMP000	monstro
de	de	SPS00	de
prefidia	perfídia	NCFS000	perfídia
.	.	Fp	.
Hum	Um	DI0MS0	um
filho	filho	NCMS000	filho
da	da	SPS00+DA0FS0	de+o
perdição	perdição	NCFS000	perdição
,	,	Fc	,
por	por	SPS00	por
nome	nome	NCMS000	nome
Francisco	Francisco	NP00000	francisco
Jose	José	NP00000	josé
Roiz	Rodrigues	NP00000	rodrigues
,	,	Fc	,
morador	morador	AQ0MS0	morador
na	na	SPS00+DA0FS0	em+o
rua	rua	NCFS000	rua
Direita	Direita	NP00000	direita
da	da	SPS00+DA0FS0	de+o
Encarnação	Encarnação	NP00000	encarnação
n	número	NCMS000	número
32	32	Z	32
,	,	Fc	,
tem	tem	VAIP3S0	ter
perpetrado	perpetrado	VMP0000	perpetrar
o	o	DA0MS0	o
horroroso	horroroso	AQ0MS0	horroroso
crime	crime	NCMS000	crime
de	de	SPS00	de
macular	macular	VMN0000	macular
a	a	DA0FS0	o
Augusta	augusta	AQ0FS0	augusto
Pessoa	pessoa	NCFS000	pessoa
do	do	SPS00+DA0MS0	de+o
nosso	nosso	DP1MSP	nosso
amado	amado	VMP00SM	amar
Soberano	soberano	NCMS000	soberano
,	,	Fc	,
proferindo	proferindo	VMG0000	proferir
contra	contra	SPS00	contra
sua	Sua	DP3FS0	seu
sagrada	sagrada	AQ0FS0	sagrado
e	e	CC	e
virtuosa	virtuosa	AQ0FS0	virtuoso
Magestade	Majestade	NP00000	majestade
e	e	CC	e
familia	Família	NP00000	família
Real	Real	AQ0CS0	real
os	os	DA0MP0	o
mais	mais	RC	mais
atrocissimos	atrocíssimos	AQSMP0	atroz
e	e	CC	e
puniveis	puníveis	AQ0CP0	punível
convicios	convícios	NCMP000	convício
com	com	SPS00	com
escandalosa	escandalosa	AQ0FS0	escandaloso
infamia	infâmia	NCFS000	infâmia
já	já	RG	já
em	em	SPS00	em
publico	público	NCMS000	público
,	,	Fc	,
e	e	CC	e
já	já	RG	já
em	em	SPS00	em
particulares	particulares	AQ0CP0	particular
conventiculos	conventículos	NCMP000	conventículo
,	,	Fc	,
não	não	RN	não
escapando	escapando	VMG0000	escapar
ainda	ainda	RG	ainda
mmo	mesmo	RG	mesmo
em	em	SPS00	em
sua	sua	DP3FS0	seu
