Meu	Meu	DP1MSS	meu
amigo	amigo	NCMS000	amigo
	,	Fc	,
Hoje	hoje	RG	hoje
não	não	RN	não
posso	posso	VMIP1S0	poder
hir	ir	VMN0000	ir
a	a	SPS00	a
Lisboa	Lisboa	NP00000	lisboa
pelo	pelo	SPS00+DA0MS0	por+o
motivo	motivo	NCMS000	motivo
do	do	SPS00+DA0MS0	de+o
Marechal	Marechal	NP00000	marechal
ter	ter	VMN0000	ter
hum	um	DI0MS0	um
trabalho	trabalho	NCMS000	trabalho
q	que	PR0CN000	que
me	me	PP1CS000	me
fez	fez	VMIS3S0	fazer
favor	favor	NCMS000	favor
	,	Fc	,
q	que	PR0CN000	que
me	me	PP1CS000	me
ha	há	VMIP3S0	haver
de	de	SPS00	de
durar	durar	VMN0000	durar
athe	até	SPS00	até
às	às	SPS00+DA0FP0	a+o
duas	duas	Z	duas
horas	horas	NCFP000	hora
da	da	SPS00+DA0FS0	de+o
tarde	tarde	NCFS000	tarde
,	.	Fp	.
elle	Ele	PP3MS000	ele
me	me	PP1CS000	me
dice	disse	VMIS3S0	dizer
q	que	CS	que
amanhã	amanhã	RG	amanhã
pelas	pelas	SPS00+DA0FP0	por+o
dez	dez	Z	dez
horas	horas	NCFP000	hora
fosse	fosse	VMSI0S0	ir
receber	receber	VMN0000	receber
os	os	DA0MP0	o
seus	seus	DP3MP0	seu
Soldos	soldos	NCMP000	soldo
e	e	CC	e
do	do	SPS00+DA0MS0	de+o
Estado	Estado	NP00000	estado
Maior	Maior	AQ0CS0	maior
	.	Fp	.
De	De	SPS00	de
Vmce	VM	NP0S000	VM
amigo	amigo	NCMS000	amigo
e	e	CC	e
Venor	venerador	NCMS000	venerador
	,	Fc	,
Nicolau	Nicolau	NP00000	nicolau
Murta	Murta	NP00000	murta
16	16	Z	16
de	de	SPS00	de
Dezembro	dezembro	NCMS000	dezembro
