Illmo	Ilustríssimo	AQSMS0	ilustre
Sor	Senhor	NP00000	senhor
Intendente Geral	Intendente-Geral	NP00000	intendente-geral
da	da	SPS00+DA0FS0	de+o
Policia	Polícia	NCCS000	polícia
da	da	SPS00+DA0FS0	de+o
Corte	Corte	NP00000	corte
e	e	CC	e
Reinno	Reino	NP00000	reino
	.	Fp	.
Reprezenta	Representa	VMIP3S0	representar
a	a	DA0FS0	o
VSa	VSa	NP00000	VSa
hum	um	DI0MS0	um
Verdadeiro	verdadeiro	AQ0MS0	verdadeiro
Portuguéz	português	NCMS000	português
,	,	Fc	,
Amigo	amigo	NCMS000	amigo
de	de	SPS00	de
ElRei	El-Rei	NP00000	el-rei
	,	Fc	,
Nosso	Nosso	DP1MSP	nosso
Senhor	Senhor	NP00000	senhor
,	,	Fc	,
e	e	CC	e
da	da	SPS00+DA0FS0	de+o
nossa	nossa	DP1FSP	nosso
Santa	santa	AQ0FS0	santo
Relligião	religião	NCFS000	religião
	,	Fc	,
q	que	CS	que
professamos	professamos	VMIP1P0	professar
,	,	Fc	,
o	o	DA0MS0	o
Seguinte	seguinte	NCMS000	seguinte
.	:	Fd	:
Há	Há	VMIP3S0	haver
huma	uma	DI0FS0	um
Loja	loja	NCFS000	loja
de	de	SPS00	de
Bebidas	bebidas	NCFP000	bebida
	,	Fc	,
ao	ao	SPS00+DA0MS0	a+o
Poço	Poço	NP00000	poço
Novo	Novo	NP00000	novo
de	,	Fc	,
de	de	SPS00	de
hum	um	DI0MS0	um
Barnabé	Barnabé	NP00000	barnabé
,	,	Fc	,
que	que	CS	que
tambem	também	RG	também
tem	tem	VMIP3S0	ter
Jogo	jogo	NCMS000	jogo
de	de	SPS00	de
Bilhar	bilhar	NCMS000	bilhar
,	,	Fc	,
ahonde	onde	PA000000	onde
vão	vão	VMIP3P0	ir
Varias	várias	AQ0FP0	várias
pessoas	pessoas	NCFP000	pessoa
inimigas	inimigas	NCFP000	inimigo
da	da	SPS00+DA0FS0	de+o
boa	boa	AQ0FS0	bom
ordem	ordem	NCFS000	ordem
e	e	CC	e
do	do	SPS00+DA0MS0	de+o
nosso	nosso	DP1MSP	nosso
Governo	governo	NCMS000	governo
actual	atual	AQ0CS0	atual
,	,	Fc	,
fazendo	fazendo	VMG0000	fazer
discuçoens	discussões	NCFP000	discussão
huns	uns	DI0MP0	um
com	com	SPS00	com
outros	outros	DI0MP0	outro
,	,	Fc	,
sendo	sendo	VSG0000	ser
hum	um	DI0MS0	um
delles	deles	SPS00+PP3MP000	de+ele
,	,	Fc	,
e	e	CC	e
munto	muito	RQ	muito
Constitucional	constitucional	AQ0CS0	constitucional
	,	Fc	,
o	o	DA0MS0	o
Marcador	marcador	NCMS000	marcador
do	do	SPS00+DA0MS0	de+o
Bilhar	bilhar	NCMS000	bilhar
chamado	chamado	VMP00SM	chamar
Lucas	Lucas	NP00000	lucas
,	,	Fc	,
que	que	CS	que
este	este	PD0MS000	este
foi	foi	VSIS3S0	ser
tal	tal	DI0CS0	tal
a	a	DA0FS0	o
