Illmo	Ilustríssimo	AQSMS0	ilustre
Snr	Senhor	NP00000	senhor
As	As	DA0FP0	o
edéas	ideias	NCFP000	ideia
sãs	sãs	AQ0FP0	são
hão	hão	VAIP3P0	haver
de	de	SPS00	de
sempre	sempre	RG	sempre
trunfar	triunfar	VMN0000	triunfar
das	das	SPS00+DA0FP0	de+o
mas	más	AQ0FP0	mau
,	.	Fp	.
de	De	SPS00	de
dois	dois	Z	dois
modos	modos	NCMP000	modo
se	se	P00CN000	se
póde	pode	VMIP3S0	poder
adquirir	adquirir	VMN0000	adquirir
este	este	DD0MS0	este
triunfo	triunfo	NCMS000	triunfo
;	:	Fd	:
pelo	Pelo	SPS00+DA0MS0	por+o
trabalho	trabalho	NCMS000	trabalho
	,	Fc	,
e	e	CC	e
este	este	PD0MS000	este
corresponde	corresponde	VMIP3S0	corresponder
ao	ao	SPS00+DA0MS0	a+o
homem	homem	NCMS000	homem
	,	Fc	,
pela	pela	SPS00+DA0FS0	por+o
victoria	vitória	NCFS000	vitória
que	que	PR0CN000	que
sempre	sempre	RG	sempre
alcança	alcança	VMIP3S0	alcançar
a	a	DA0FS0	o
verdade	verdade	NCFS000	verdade
	,	Fc	,
e	e	CC	e
este	este	PD0MS000	este
corresponde	corresponde	VMIP3S0	corresponder
a	a	SPS00	a
Deos	Deus	NP00000	deus
	.	Fp	.
e	E	CC	e
com	com	SPS00	com
este	este	PD0MS000	este
Remeto	remeto	VMIP1S0	remeter
a	a	DA0FS0	o
xave	chave	NCFS000	chave
	,	Fc	,
porque	porque	CS	porque
me	me	PP1CS000	me
mudo	mudo	VMIP1S0	mudar
.	.	Fp	.
