Serenissimo	Sereníssimo	AQSMS0	sereno
Senhor	Senhor	NP00000	senhor
Tenho	Tenho	VMIP1S0	ter
a	a	DA0FS0	o
honra	honra	NCFS000	honra
de	de	SPS00	de
participar	participar	VMN0000	participar
a	a	SPS00	a
Vossa	Vossa	NP00000	vossa
Alteza	Alteza	NP00000	alteza
Real	Real	NP00000	real
q	que	CS	que
hontem	ontem	RG	ontem
pelas	pelas	SPS00+DA0FP0	por+o
tres	três	Z	três
horas	horas	NCFP000	hora
da	da	SPS00+DA0FS0	de+o
tarde	tarde	NCFS000	tarde
me	me	PP1CS000	me
dirigi	dirigi	VMIS1S0	dirigir
a	a	SPS00	a
Casa	casa	NCFS000	casa
de	de	SPS00	de
Candido	Cândido	NP00000	cândido
d'	de	SPS00	de
Almeida	Almeida	NP00000	almeida
Sandoval	Sandoval	NP00000	sandoval
a	a	SPS00	a
fim	fim	NCMS000	fim
de	de	SPS00	de
continuar	continuar	VMN0000	continuar
com	com	SPS00	com
as	as	DA0FP0	o
minhas	minhas	DP1FPS	meu
indagações	indagações	NCFP000	indagação
sobre	sobre	SPS00	sobre
a	a	DA0FS0	o
Conspiração	conspiração	NCFS000	conspiração
q	que	CS	que
o	o	DA0MS0	o
dito	dito	VMP00SM	dizer
Sandoval	Sandoval	NP00000	sandoval
pertende	pretende	VMIP3S0	pretender
organizar	organizar	VMN0000	organizar
:	.	Fp	.
e	E	CC	e
travando	travando	VMG0000	travar
logo	logo	RG	logo
conversação	conversação	NCFS000	conversação
ácerca	acerca	RG	acerca
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
Projecto	projeto	NCMS000	projeto
revolucionario	revolucionário	NCMS000	revolucionário
,	,	Fc	,
nada	nada	PI0NN00N	nada
mais	mais	RC	mais
pude	pude	VMIS1S0	poder
saber	saber	VMN0000	saber
senão	senão	CC	senão
q	que	CS	que
tinha	tinha	VAII0S0	ter
hido	ido	VMP00SM	ir
no	no	SPS00+DA0MS0	em+o
dia	dia	NCMS000	dia
2	2	Z	2
do	do	SPS00+DA0MS0	de+o
corrente	corrente	NCMS000	corrente
mez	mês	NCMS000	mês
à	à	SPS00+DA0FS0	a+o
outra	outra	DI0FS0	outro
banda	banda	NCFS000	banda
do	do	SPS00+DA0MS0	de+o
Téjo	Tejo	NP00000	Tejo
fallar	falar	VMN0000	falar
com	com	SPS00	com
hum	um	DI0MS0	um
sujeito	sujeito	NCMS000	sujeito
chamado	chamado	VMP00SM	chamar
Solitano	Solitano	NP00000	solitano
;	,	Fc	,
q	que	CS	que
tratára	tratara	VMIM0S0	tratar
com	com	SPS00	com
elle	ele	PP3MS000	ele
negocios	negócios	NCMP000	negócio
relativos	relativos	AQ0MP0	relativo
á	à	SPS00+DA0FS0	a+o
Conspiração	conspiração	NCFS000	conspiração
,	,	Fc	,
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
lêra	lera	VMIM0S0	ler
a	a	DA0FS0	o
Proclamação	proclamação	NCFS000	proclamação
(	(	Fc	(
q	que	CS	que
remetto	remeto	VMIP1S0	remeter
junta	junta	NCFS000	junta
a	a	SPS00	a
esta	esta	DD0FS0	este
participação	participação	NCFS000	participação
)	)	Fbt	)
,	,	Fc	,
e	e	CC	e
q	que	CS	que
o	o	DA0MS0	o
dito	dito	VMP00SM	dizer
Solitano	Solitano	NP00000	solitano
logo	logo	RG	logo
partira	partira	VMIM0S0	partir
para	para	SPS00	para
Hespanha	Espanha	NP00000	espanha
para	para	SPS00	para
de	de	SPS00	de
lá	lá	RG	lá
coadjuvar	coadjuvar	VMN0000	coadjuvar
	,	Fc	,
quanto	quanto	PR0CN000	quanto
lhe	lhe	PP3CSD00	lhe
fôr	for	VMSF0S0	ir
possivel	possível	NCMS000	possível
,	,	Fc	,
os	os	DA0MP0	o
Projectos	projetos	NCMP000	projeto
de	de	SPS00	de
Sandoval	Sandoval	NP00000	sandoval
.	.	Fp	.
E	E	CC	e
perguntando	perguntando	VMG0000	perguntar
eu	eu	PP1CSN00	eu
ao	ao	SPS00+DA0MS0	a+o
referido	referido	VMP00SM	referir
Sandoval	Sandoval	NP00000	sandoval
pela	pela	SPS00+DA0FS0	por+o
Proclamação	proclamação	NCFS000	proclamação
em	em	SPS00	em
q	que	PR0CN000	que
me	me	PP1CS000	me
tinha	tinha	VAIP3S0	ter
fallado	falado	VMP0000	falar
,	,	Fc	,
elle	ele	PP3MS000	ele
a	a	PP3FSA00	o
foi	foi	VMIS3S0	ir
buscar	buscar	VMN0000	buscar
,	,	Fc	,
lêo-ma	leu-ma	VMIS3S0+PP1CS000+PP3FSA00	ler+me+o
com	com	SPS00	com
o	o	DA0MS0	o
maior	maior	AQ0CS0	maior
enthusiasmo	entusiasmo	NCMS000	entusiasmo
e	e	CC	e
ma	ma	PP1CS000+PP3FSA00	me+o
entregou	entregou	VMIS3S0	entregar
dizendo-me	dizendo-me	VMG0000+PP1CS000	dizer+me
q	que	CS	que
imprimisse	imprimisse	VMIS1S0	imprimir
500	500	Z	500
exemplares	exemplares	NCMP000	exemplar
q	que	PR0CN000	que
havião	haviam	VMII3P0	haver
ficar	ficar	VMN0000	ficar
na	na	SPS00+DA0FS0	em+o
mão	mão	NCFS000	mão
de	de	SPS00	de
alguns	alguns	DI0MP0	algum
Indivduos	indivíduos	NCMP000	indivíduo
aqui	aqui	RG	aqui
em	em	SPS00	em
Lisboa	Lisboa	NP00000	lisboa
para	para	SPS00	para
as	as	PP3FPA00	o
espalharem	espalharem	VMSF3P0	espalhar
quando	quando	CS	quando
nos	nos	SPS00+DA0MP0	em+o
retirassemos	retirássemos	VMSI1P0	retirar
para	para	SPS00	para
Escaropim	Escaropim	NP00000	Escaropim
;	.	Fp	.
porêm	Porém	RG	porém
	,	Fc	,
q	que	CS	que
deviamos	devíamos	VMII1P0	dever
fazer	fazer	VMN0000	fazer
outras	outras	DI0FP0	outro
	,	Fc	,
concebidas	concebidas	VMP00PF	conceber
em	em	SPS00	em
differentes	diferentes	AQ0CP0	diferente
termos	termos	NCMP000	termo
	,	Fc	,
para	para	SPS00	para
se	se	P00CN000	se
espalharem	espalharem	VMN03P0	espalhar
na	na	SPS00+DA0FS0	em+o
Provincia	província	NCFS000	província
onde	onde	PA000000	onde
se	se	P00CN000	se
fizesse	fizesse	VMSI0S0	fazer
a	a	DA0FS0	o
sublevação	sublevação	NCFS000	sublevação
;	.	Fp	.
e	E	CC	e
accrescentou	acrescentou	VMIS3S0	acrescentar
q	que	CS	que
	,	Fc	,
alêm	além	RG	além
destes	destes	SPS00+DD0MP0	de+este
impressos	impressos	NCMP000	impresso
q	que	PR0CN000	que
devião	deviam	VMII3P0	dever
ir	ir	VMN0000	ir
promptos	prontos	AQ0MP0	pronto
de	de	SPS00	de
cá	cá	RG	cá
,	,	Fc	,
se	se	P00CN000	se
deveria	deveria	VMIC0S0	dever
levar	levar	VMN0000	levar
huma	uma	DI0FS0	um
pequena	pequena	AQ0FS0	pequeno
imprensa	imprensa	NCFS000	imprensa
para	para	SPS00	para
se	se	P00CN000	se
imprimir	imprimir	VMN0000	imprimir
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
mais	mais	NCMS000	mais
q	que	PR0CN000	que
seja	seja	VSSP0S0	ser
necessario	necessário	AQ0MS0	necessário
.	.	Fp	.
Depois	Depois	RG	depois
disto	disto	SPS00+PD0NN000	de+este
,	,	Fc	,
perguntou-me	perguntou-me	Fc	,
Sandoval	Sandoval	NP00000	sandoval
q	que	PT0CN000	que
novidades	novidades	NCFP000	novidade
politicas	políticas	AQ0FP0	político
sabia	sabia	VMII0S0	saber
?	?	Fp	?
respondia-lhe	Respondia-lhe	Fp	?
que	que	CS	que
sabia	sabia	VMII0S0	saber
unicamente	unicamente	RG	unicamente
q	que	CS	que
tinhão	tinham	VAII3P0	ter
sido	sido	VSP0000	ser
prezos	presos	VMP00PM	prender
alguns	alguns	DI0MP0	algum
Officiaes	oficiais	NCMP000	oficial
do	do	SPS00+DA0MS0	de+o
4o	quarto	AO0MS0	quarto
Regimento	Regimento	NP00000	regimento
d'	de	SPS00	de
Infantaria	Infantaria	NP00000	infantaria
.	.	Fp	.
A	A	SPS00	a
estas	estas	DD0FP0	este
palavras	palavras	NCFP000	palavra
	,	Fc	,
mostrou-se	mostrou-se	VMIS3S0+P00CN000	mostrar+se
Sandoval	Sandoval	NP00000	sandoval
admirado	admirado	VMP00SM	admirar
,	,	Fc	,
