Exmo	Excelentíssimo	AQSMS0	excelente
Sr	Senhor	NP00000	senhor
D	Dom	NP00000	dom
João	João	NP00000	joão
de	de	SPS00	de
Almeida	Almeida	NP00000	almeida
Há	Há	VMIP3S0	haver
tempo	tempo	NCMS000	tempo
q	que	CS	que
não	não	RN	não
tenho	tenho	VAIP1S0	ter
recebido	recebido	VMP0000	receber
carta	carta	NCFS000	carta
de	de	SPS00	de
VExa	VExa	NP00000	VExa
,	.	Fp	.
supponho-o	Suponho-o	VMIP1S0+PP3MSA00	supor+o
no	no	SPS00+DA0MS0	em+o
campo	campo	NCMS000	campo
	,	Fc	,
desfrutando	desfrutando	VMG0000	desfrutar
os	os	DA0MP0	o
gelados	gelados	NCMP000	gelado
cumprimtos	cumprimentos	NCMP000	cumprimento
das	das	SPS00+DA0FP0	de+o
Sras	senhoras	NCFP000	senhor
Hollandezas	holandesas	AQ0FP0	holandês
;	.	Fp	.
outro	Outro	DI0MS0	outro
tanto	tanto	NCMS000	tanto
succede	sucede	VMIP3S0	suceder
por	por	SPS00	por
cà	cá	RG	cá
:	.	Fp	.
mais	Mais	CC	mais
vivera	vivera	VMIM0S0	viver
na	na	SPS00+DA0FS0	em+o
verde	verdade	NCFS000	verdade
nas	nas	SPS00+DA0FP0	em+o
intrigas	intrigas	NCFP000	intriga
antes	antes	RG	antes
;	,	Fc	,
mas	mas	CC	mais
o	o	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
frio	frio	NCMS000	frio
nos	nos	SPS00+DA0MP0	em+o
extremos	extremos	NCMP000	extremo
:	.	Fp	.
ainda	Ainda	RG	ainda
hoje	hoje	RG	hoje
me	me	PP1CS000	me
disse	disse	VMIS3S0	dizer
o	o	DA0MS0	o
Conde	Conde	NP00000	conde
de	de	SPS00	de
Oeiras	Oeiras	NP00000	oeiras
q	que	CS	que
já	já	RG	já
Pariz	Paris	NP00000	paris
o	o	DA0MS0	o
desgostava	desgostava	DA0MS0	o
tanto	tanto	CC	tanto
q	que	CS	que
não	não	RN	não
esperava	esperava	VMII0S0	esperar
continuar	continuar	VMN0000	continuar
aqui	aqui	RG	aqui
o	o	DA0MS0	o
anno	ano	NCMS000	ano
segte	seguinte	NCMS000	seguinte
:	.	Fp	.
queixou-se	Queixou-se	VMIS3S0+P00CN000	queixar+se
do	do	SPS00+DA0MS0	de+o
sexo	sexo	NCMS000	sexo
:	.	Fp	.
mtas	Muitas	DI0FP0	muito
vezes	vezes	NCFP000	vez
o	o	DA0MS0	o
Velho	velho	NCMS000	velho
Sanchez	Sanches	NP00000	sanches
,	,	Fc	,
q	que	PR0CN000	que
tinha	tinha	VAII0S0	ter
desfrutado	desfrutado	SPS00	desfrutado
o	o	DA0MS0	o
melhor	melhor	RC	melhor
por	por	SPS00	por
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
norte	norte	NCMS000	norte
,	,	Fc	,
chorava	chorava	VMII0S0	chorar
Portugal	Portugal	NP00000	portugal
;	.	Fp	.
e	E	CC	e
erão	eram	VSII3P0	ser
as	as	DA0FP0	o
Damas	damas	NCFP000	dama
o	o	DA0MS0	o
objecto	objeto	NCMS000	objeto
das	das	SPS00+DA0FP0	de+o
