Illmo	Ilustríssimo	AQSMS0	ilustre
Snr	Senhor	NP00000	senhor
Quando	Quando	CS	quando
pedi	pedi	VMIS1S0	pedir
a	a	SPS00	a
VSa	VSa	NP00000	VSa
houvesse	houvesse	VMSI0S0	haver
por	por	SPS00	por
bem	bem	RG	bem
mandar	mandar	VMN0000	mandar
conduzir	conduzir	VMN0000	conduzir
á	à	SPS00+DA0FS0	a+o
sua	sua	DP3FS0	seu
prezença	presença	NCFS000	presença
o	o	DA0MS0	o
Padeiro	padeiro	NCMS000	padeiro
João	João	NP00000	joão
Barral	Barral	NP00000	barral
	-	Fc	-
com	com	SPS00	com
Loge	loja	NCFS000	loja
na	na	SPS00+DA0FS0	em+o
Traveça	travessa	NCFS000	travessa
dos	dos	SPS00+DA0MP0	de+o
Torneiros	Torneiros	NP00000	torneiros
,	,	Fc	,
N	número	NCMS000	número
24	24	Z	24
,	,	Fc	,
junto	junto	RG	junto
a	a	SPS00	a
hum	um	DI0MS0	um
Droguista	droguista	NCMS000	droguista
na	na	SPS00+DA0FS0	em+o
esquina	esquina	NCFS000	esquina
da	da	SPS00+DA0FS0	de+o
Rua	rua	NCFS000	rua
da	da	SPS00+DA0FS0	de+o
Prata	Prata	NP00000	prata
	-	Fc	-
para	para	SPS00	para
depôr	depor	VMN0000	depor
no	no	SPS00+DA0MS0	em+o
Summario	Sumário	NCMS000	sumário
sobre	sobre	SPS00	sobre
o	o	DA0MS0	o
facto	facto	NCMS000	facto
d'elle	dele	SPS00+PP3MS000	de+ele
	,	Fc	,
Padeiro	padeiro	NCMS000	padeiro
	,	Fc	,
ganhar	ganhar	VMN0000	ganhar
ao	ao	SPS00+DA0MS0	a+o
Jogo	jogo	NCMS000	jogo
30	30	Z	30
moedas	moedas	NCFP000	moeda
a	a	SPS00	a
Miguel	Miguel	NP00000	miguel
Anto	António	NP00000	antónio
de	de	SPS00	de
Lagos	Lagos	NP00000	lagos
,	,	Fc	,
q	que	CS	que
fora	fora	VSIM0S0	ser
seu	seu	DP3MS0	seu
Creado	criado	NCMS000	criado
,	,	Fc	,
e	e	CC	e
que	que	CS	que
foi	foi	VSIS3S0	ser
aquelle	aquele	DD0MS0	aquele
Ladrão	ladrão	NCMS000	ladrão
que	que	PR0CN000	que
me	me	PP1CS000	me
atacou	atacou	VMIS3S0	atacar
Com	com	SPS00	com
hum	um	DI0MS0	um
punhal	punhal	NCMS000	punhal
e	e	CC	e
me	me	PP1CS000	me
roubou	roubou	VMIS3S0	roubar
150	150	Z	150
moedas	moedas	NCFP000	moeda
em	em	SPS00	em
prata	prata	NCFS000	prata
e	e	CC	e
hum	um	DI0MS0	um
Relogio	relógio	NCMS000	relógio
de	de	SPS00	de
prata	prata	NCFS000	prata
Sabonete	sabonete	NCMS000	sabonete
;	,	Fc	,
dei	dei	VMIS1S0	dar
aquelle	aquele	DD0MS0	aquele
nome	nome	NCMS000	nome
errado	errado	VMP00SM	errar
por	por	SPS00	por
Imformação	informação	NCFS000	informação
;	,	Fc	,
sabendo	sabendo	VMG0000	saber
depois	depois	RG	depois
por	por	SPS00	por
boca	boca	NCFS000	boca
de	de	SPS00	de
Angelo	Ângelo	NP00000	ângelo
de	de	SPS00	de
Lagos	Lagos	NP00000	lagos
	,	Fc	,
Irmão	irmão	NCMS000	irmão
do	do	SPS00+DA0MS0	de+o
Ladrão	ladrão	NCMS000	ladrão
e	e	CC	e
creado	criado	NCMS000	criado
do	do	SPS00+DA0MS0	de+o
Dr	Doutor	NP00000	doutor
Mel	Manuel	NP00000	manuel
Ferra	Ferreira	NP00000	ferreira
Gordo	Gordo	NCMS000	gordo
,	,	Fc	,
que	que	CS	que
o	o	DA0MS0	o
Padeiro	padeiro	NCMS000	padeiro
se	se	P00CN000	se
chama	chama	VMIP3S0	chamar
Antonio	António	NP00000	antónio
	,	Fc	,
que	que	CS	que
na	na	SPS00+DA0FS0	em+o
Loge	loja	NCFS000	loja
da	da	SPS00+DA0FS0	de+o
