Recebi	Recebi	VMIS1S0	receber
as	as	DA0FP0	o
amorozas	amorosas	AQ0FP0	amoroso
Leitras	letras	NCFP000	letra
	,	Fc	,
nellas	nelas	SPS00+PP3FP000	em+ele
veijo	vejo	VMIP1S0	ver
o	o	DA0MS0	o
q	que	PR0CN000	que
me	me	PP1CS000	me
dizias	dizias	VMII2S0	dizer
a	a	SPS00	a
respeitto	respeito	NCMS000	respeito
de	de	SPS00	de
amizade	amizade	NCFS000	amizade
	.	Fp	.
meu	Meu	DP1MSS	meu
coração	coração	NCMS000	coração
tudo	tudo	PI0NN000	tudo
Isto	isto	PD0NN000	isto
merese	merece	VMIP3S0	merecer
	,	Fc	,
pois	pois	CS	pois
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
afeto	afeto	NCMS000	afeto
só	só	RF	só
os	os	DA0MP0	o
Ceos	Céus	NP00000	céus
o	o	PP3MSA00	o
pode	pode	VMIP3S0	poder
amostrar	amostrar	VMN0000	amostrar
	.	Fp	.
O	Ó	I	ó
	,	Fc	,
Ceos	Céus	NP00000	céus
	,	Fc	,
tinde	tende	VMM02P0	ter
de	de	SPS00	de
mim	mim	PP1CSO00	mim
compaizão	compaixão	NCFS000	compaixão
	,	Fc	,
pois	pois	CS	pois
hum	um	DI0MS0	um
Coração	coração	NCMS000	coração
na	na	SPS00+DA0FS0	em+o
au-zencia	ausência	NCFS000	ausência
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
amor	amor	NCMS000	amor
se	se	P00CN000	se
be	vê	VMIP3S0	ver
tão	tão	RC	tão
atro-mentado	atormentado	VMP00SM	atormentar
	,	Fc	,
mais	mais	RC	mais
Valia	valia	VMII0S0	valer
não	não	RN	não
nacer	nascer	VMN0000	nascer
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
tantos	tantos	DI0MP0	tanto
tromentos	tormentos	NCMP000	tormento
	.	Fp	.
estou	Estou	VMIP1S0	estar
a	a	SPS00	a
padecer	padecer	VMN0000	padecer
	,	Fc	,
mas	mas	CC	mas
	,	Fc	,
O	ó	I	ó
	,	Fc	,
Ceos	Céus	NP00000	céus
	,	Fc	,
amostrai	amostrai	VMM02P0	,
a	a	DA0FS0	o
berdade	verdade	NCFS000	o
da	da	SPS00+DA0FS0	de+o
mi-nha	minha	DP1FSS	meu
firmeza	firmeza	NCFS000	firmeza
,	,	Fc	,
e	e	CC	e
não	não	RN	não
tenho	tenho	VMIP1S0	ter
outro	outro	DI0MS0	outro
cen-tido	sentido	NCMS000	sentido
senão	senão	CC	senão
amala	amá-la	VMN0000+PP3FSA00	amar+o
firme	firme	RG	firme
e	e	CC	e
ternamte	ternamente	RG	ternamente
	,	Fc	,
pois	pois	CS	pois
eu	eu	PP1CSN00	eu
estou	estou	VMIP1S0	estar
oferecido	oferecido	VMP00SM	oferecer
pa	para	SPS00	para
tudo	tudo	PI0NN000	tudo
q	que	PR0CN000	que
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
amor	amor	NCMS000	amor
tiver	tiver	VMSF0S0	amor
na	na	SPS00+DA0FS0	em+o
bontade	vontade	NCFS000	vontade
e	e	CC	e
detriminar	determinar	VMSF0S0	e
	.	Fp	.
senão	Senão	CC	senão
	,	Fc	,
Repare	repare	VMSP0S0	reparar
quando	quando	CS	quando
eu	eu	PP1CSN00	eu
saio	saio	VMIP1S0	sair
esta	esta	DD0FS0	este
tarde	tarde	NCFS000	este
	,	Fc	,
pa	para	SPS00	para
me	me	PP1CS000	me
seguir	seguir	VMN0000	seguir
	,	Fc	,
amtão	então	RG	então
falaremos	falaremos	VMIF1P0	falar
	.	Fp	.
Destte	Deste	Fp	.
amor	amor	Fp	.
firme	firme	Fp	.
	.	Fp	.
