muy	Muy	RQ	muy
noble	noble	AQ0CS0	noble
S	señor	NP00000	señor
	.	Fp	.
los	Los	DA0MP0	el
dias	días	NCMP000	día
passados	pasados	VMP00PM	pasar
vino	vino	VMIS3S0	venir
aquì	aquí	RG	aquí
ençìnas	Encinas	NP00000	encinas
	,	Fc	,
vo	vecino	NCMS000	vecino
del	del	SPS00+DA0MS0	de+el
alpedrete	Alpedrete	NP00000	alpedrete
	.	Fp	.
y	Y	CC	y
me	me	PP1CS000	me
dexo	dijo	VMIS3S0	decir
	,	Fc	,
Señor	señor	NP00000	señor
	,	Fc	,
Como	como	CS	como
os	os	PP2CP000	os
avia	había	VAII0S0	haber
visto	visto	VMP0000	ver
y	y	CC	y
que	que	CS	que
aviades	habíades	VMII2P0	haber
de	de	SPS00	de
venir	venir	VMN0000	venir
por	por	SPS00	por
ca	acá	RG	acá
la	la	DA0FS0	el
semana	semana	NCFS000	semana
pasada	pasada	VMP00SF	pasar
	.	Fp	.
plubiero	Pluguiera	VMSI0S0	placer
a	a	SPS00	a
nro	Nuestro	DP1MSP	nuestro
S	Señor	NP00000	señor
ubierades	hubiérades	VASI2P0	haber
	,	Fc	,
Señor	señor	NP00000	señor
	,	Fc	,
benido	venido	VMP0000	venir
	,	Fc	,
porque	porque	CS	porque
por	por	SPS00	por
ventura	ventura	NCFS000	ventura
no	no	RN	no
me	me	PP1CS000	me
ubiera	hubieran	VASI3P0	haber
Robado	robado	VMP0000	robar
	,	Fc	,
Como	como	CS	como
lo	lo	PP3CNA00	lo
puede	puede	VMIP3S0	poder
deçir	decir	VMN0000	decir
el	el	DA0MS0	el
que	que	PR0CN000	que
la	la	DA0FS0	el
presente	presente	AQ0CS0	presente
lleba	lleva	VMIP3S0	llevar
	.	Fp	.
porque	Porque	CS	porque
la	la	DA0FS0	el
persona	persona	NCFS000	persona
	,	Fc	,
por	por	SPS00	por
serbir	servir	VMN0000	servir
y	y	CC	y
no	no	RN	no
aver	haber	VMN0000	haber
menester	menester	NCMS000	menester
a	a	SPS00	a
nadie	nadie	PI0NN00N	nadie
	,	Fc	,
Como	como	CS	como
yo	yo	PP1CSN00	yo
sea	sea	VSSP0S0	ser
sola	sola	AQ0FS0	solo
y	y	CC	y
pobre	pobre	AQ0CS0	pobre
se	se	P00CN000	se
atreviero	atrevieron	VMIS3P0	atrever
a	a	SPS00	a
Robarme	robarme	VMN0000+PP1CS000	robar+me
	.	Fp	.
que	Que	CS	que
no	no	RN	no
me	me	PP1CS000	me
dexorom	dejaron	VMIS3P0	dejar
abra	habrá	VMIF3S0	haber
hocho	ocho	Z	8
dias	días	NCMP000	día
que	qué	PT0CN000	qué
cobixarme	cobijarme	VMN0000+PP1CS000	cobijar+me
	.	Fp	.
que	Que	CS	que
me	me	PP1CS000	me
llebaro	llevaron	VMIS3P0	llevar
quatro	cuatro	Z	4
mantas	mantas	NCFP000	manta
y	y	CC	y
quatro	cuatro	Z	4
sayas	sayas	NCFP000	saya
y	y	CC	y
un	un	DI0MS0	uno
manto	manto	NCMS000	manto
y	y	CC	y
treçe	trece	Z	13
Reales	reales	NCMP000	real
que	que	PR0CN000	que
tenia	tenía	VMII0S0	tener
	.	Fp	.
y	Y	CC	y
de	de	SPS00	de
todo	todo	DI0MS0	todo
esto	esto	PD0NN000	esto
vos	vos	PP2CS000	vos
soy	soy	VSIP1S0	ser
encargo	encargo	NCMS000	encargo
	,	Fc	,
porque	porque	CS	porque
si	si	CS	si
vos	vos	PP2CS000	vos
estubierades	estuviérades	VMSI2P0	estar
con	con	SPS00	con
vuestra	vuestra	DP2FSP	vuestro
muger	mujer	NCFS000	mujer
	,	Fc	,
Como	como	CS	como
lo	lo	PP3CNA00	lo
manda	manda	VMIP3S0	mandar
nro	Nuestro	DP1MSP	nuestro
S	Señor	NP00000	señor
y	y	CC	y
los	los	DA0MP0	el
confessores	confesores	NCMP000	confesor
os	os	PP2CP000	os
lo	lo	PP3CNA00	lo
manda	mandan	VMIP3P0	mandar
	,	Fc	,
no	no	RN	no
me	me	PP1CS000	me
robaram	robaran	VMSI3P0	robar
a	a	SPS00	a
mi	mí	PP1CSO00	mí
y	y	CC	y
yo	yo	PP1CSN00	yo
no	no	RN	no
andaria	andaría	VMIC0S0	andar
a	a	SPS00	a
serbir	servir	VMN0000	servir
a	a	SPS00	a
nadie	nadie	PI0NN00N	nadie
ni	ni	CCN	ni
ganar	ganar	VMN0000	ganar
un	un	DI0MS0	uno
pedaço	pedazo	NCMS000	pedazo
de	de	SPS00	de
pa	pan	NCMS000	pan
como	como	CS	como
ando	ando	VMIP1S0	andar
	,	Fc	,
y	y	CC	y
sola	sola	AQ0FS0	solo
y	y	CC	y
malaventurada	malaventurada	AQ0FS0	malaventurado
	.	Fp	.
y	Y	CC	y
como	como	CS	como
soy	soy	VSIP1S0	ser
sola	sola	AQ0FS0	solo
	,	Fc	,
atrebemse	atrévense	VMIP3P0+P00CN000	atrever+se
a	a	SPS00	a
mi	mí	PP1CSO00	mí
	.	Fp	.
por	Por	SPS00	por
tanto	tanto	RG	tanto
	,	Fc	,
os	os	PP2CP000	os
digo	digo	VMIP1S0	decir
y	y	CC	y
os	os	PP2CP000	os
encargo	encargo	VMIP1S0	encargar
la	la	DA0FS0	el
conçiençia	conciencia	NCFS000	conciencia
vengays	vengáis	VMSP2P0	venir
a	a	SPS00	a
hacer	hacer	VMN0000	hacer
vida	vida	NCFS000	vida
Comigo	conmigo	SPS00+PP1CSO00	con+mí
o	o	CC	o
llebarme	llevarme	VMN0000+PP1CS000	llevar+me
donde	donde	PA000000	donde
quisieredes	quisiéredes	VMSF2P0	querer
	,	Fc	,
que	que	CS	que
yo	yo	PP1CSN00	yo
estoy	estoy	VMIP1S0	estar
presta	presta	AQ0FS0	presto
y	y	CC	y
parexada	aparejada	VMP00SF	aparejar
de	de	SPS00	de
hacer	hacer	VMN0000	hacer
lo	lo	DA0NS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
mandaredes	mandáredes	VMSF2P0	mandar
	.	Fp	.
y	Y	CC	y
suplicos	suplícoos	VMIP1S0+PP2CP000	suplicar+os
me	me	PP1CS000	me
escrivays	escribáis	VMSP2P0	escribir
	.	Fp	.
cesso	Ceso	VMIP1S0	cesar
Rogando	rogando	VMG0000	rogar
a	a	SPS00	a
nro	Nuestro	DP1MSP	nuestro
S	Señor	NP00000	señor
os	os	PP2CP000	os
tenga	tenga	VMSP0S0	tener
de	de	SPS00	de
su	su	DP3CS0	su
graçia	gracia	NCFS000	gracia
	.	Fp	.
del	Del	SPS00+DA0MS0	de+el
collado	Collado	NP00000	collado
Villalba	Villalba	NP00000	villalba
	,	Fc	,
a	a	SPS00	a
seys	seis	Z	6
dias	días	NCMP000	día
de	de	SPS00	de
Febrero	febrero	NCMS000	febrero
año	año	NCMS000	año
156III	156III	Z	1563
	.	Fp	.
