señor	Señor	NP00000	señor
	.	Fp	.
por	Por	SPS00	por
me	me	PP1CS000	me
hazer	hacer	VMN0000	hacer
md	merced	NCFS000	merced
	,	Fc	,
q	que	CS	que
mys	mis	DP1CPS	mi
çenas	cenas	NCFP000	cena
de	de	SPS00	de
aquy	aquí	RG	aquí
adelante	adelante	RG	adelante
sea	sean	VSSP3P0	ser
o	o	CC	o
algund	algún	DI0MS0	alguno
palomino	palomino	NCMS000	palomino
o	o	CC	o
algund	algún	DI0MS0	alguno
quartillo	cuartillo	NCMS00D	cuarto
de	de	SPS00	de
ave	ave	NCFS000	ave
o	o	CC	o
algund	algún	DI0MS0	alguno
pastelico	pastelico	NCMS00D	pastel
fresco	fresco	AQ0MS0	fresco
	.	Fp	.
y	Y	CC	y
	,	Fc	,
si	si	CS	si
quisiere	quisiere	VMSF0S0	querer
	,	Fc	,
algunas	algunas	DI0FP0	alguno
vezes	veces	NCFP000	vez
un	un	DI0MS0	uno
poco	poco	NCMS000	poco
de	de	SPS00	de
solomo	solomo	NCMS000	solomo
de	de	SPS00	de
vaca	vaca	NCFS000	vaca
o	o	CC	o
de	de	SPS00	de
ternera	ternera	NCFS000	ternero
y	y	CC	y
no	no	RN	no
ta	tan	RC	tan
salado	salado	VMP00SM	salar
y	y	CC	y
ta	tan	RC	tan
mal	mal	RG	mal
asado	asado	VMP00SM	asar
como	como	CS	como
suele	suele	VMIP3S0	soler
venyr	venir	VMN0000	venir
.	.	Fp	.
y	Y	CC	y
sy	si	CS	si
hallare	hallare	VMSF0S0	hallar
cabryto	cabrito	NCMS000	cabrito
	,	Fc	,
tabye	también	RG	también
me	me	PP1CS000	me
lo	lo	PP3MSA00	lo
ebye	envíe	VMSP0S0	enviar
	.	Fp	.
y	Y	CC	y
syenpre	siempre	RG	siempre
me	me	PP1CS000	me
ebye	envíe	VMSP0S0	enviar
salsa	salsa	NCFS000	salsa
a	a	SPS00	a
las	las	DA0FP0	el
mañanas	mañanas	NCFP000	mañana
	,	Fc	,
porq	porque	CS	porque
no	no	RN	no
puedo	puedo	VMIP1S0	poder
comer	comer	VMN0000	comer
cocydo	cocido	NCMS000	cocido
syno	sino	CC	sino
de	de	SPS00	de
muy	muy	RQ	muy
mala	mala	AQ0FS0	malo
gana	gana	NCFS000	gana
	,	Fc	,
q	que	CS	que
sy	si	CS	si
no	no	RN	no
fuese	fuese	VSSI0S0	ser
por	por	SPS00	por
los	los	DA0MP0	el
huebos	huevos	NCMP000	huevo
my	mi	DP1CSS	mi
comyda	comida	NCFS000	comida
no	no	RN	no
seria	sería	VSIC0S0	ser
nada	nada	PI0NN00N	nada
y	y	CC	y
este	este	DD0MS0	este
majar	manjar	NCMS000	manjar
blanco	blanco	AQ0MS0	blanco
me	me	PP1CS000	me
haze	hace	VMIP3S0	hacer
arto	harto	DI0MS0	harto
provecho	provecho	NCMS000	provecho
	.	Fp	.
y	Y	CC	y
esta	esta	DD0FS0	este
çedula	cédula	NCFS000	cédula
no	no	RN	no
la	la	PP3FSA00	lo
trayga	traiga	VMSP0S0	traer
e	en	SPS00	en
olvido	olvido	NCMS000	olvido
	.	Fp	.
y	Y	CC	y
ebye	envíe	VMSP0S0	enviar
un	un	DI0MS0	uno
tapador	tapador	NCMS000	tapador
para	para	SPS00	para
la	la	DA0FS0	el
alcarraza	alcarraza	NCFS000	alcarraza
.	.	Fp	.
y	Y	CC	y
ebyeme	envíeme	VMSP0S0+PP1CS000	enviar+me
un	un	DI0MS0	uno
rreal	real	NCMS000	real
de	de	SPS00	de
chascos	chascos	NCMP000	chasco
.	.	Fp	.
y	Y	CC	y
sy	si	CS	si
quiere	quiere	VMIP3S0	querer
q	que	CS	que
mudemos	mudemos	VMSP1P0	mudar
las	las	DA0FP0	el
sabanas	sábanas	NCFP000	sábana
	,	Fc	,
ebye	envíe	VMSP0S0	enviar
una	una	PI0FS000	uno
mas	más	RC	más
ancha	ancha	AQ0FS0	ancho
	,	Fc	,
sy	si	CS	si
la	la	PP3FSA00	lo
ay	hay	VMIP3S0	haber
	;	Fx	;
sy	si	CS	si
no	no	RN	no
	,	Fc	,
abremos	habremos	VMIF1P0	haber
paçieçia	paciencia	NCFS000	paciencia
.	.	Fp	.
y	Y	CC	y
ebyenos	envíenos	VMSP0S0+PP1CP000	enviar+nos
pepinos	pepinos	NCMP000	pepino
,	.	Fp	.
y	Y	CC	y
conpre	compre	VMSP0S0	comprar
una	una	DI0FS0	uno
çestica	cestica	NCFS00D	cesta
pa	para	SPS00	para
e	en	SPS00	en
q	que	PR0CN000	que
venga	venga	VMSP0S0	venir
fresca	fresca	AQ0FS0	fresco
la	la	DA0FS0	el
vdura	verdura	NCFS000	verdura
y	y	CC	y
ebyenos	envíenos	VMSP0S0+PP1CP000	enviar+nos
syenpre	siempre	RG	siempre
arta	harta	PI0FS000	harto
mietra	mientras	RG	mientras
haze	hace	VMIP3S0	hacer
estas	estas	DD0FP0	este
calores	calores	NCCP000	calor
mortales	mortales	AQ0CP0	mortal
	.	Fp	.
ebyenos	Envíenos	VMSP0S0+PP1CP000	enviar+nos
ylo	hilo	NCMS000	hilo
negro	negro	AQ0MS0	negro
y	y	CC	y
blanco	blanco	AQ0MS0	blanco
	,	Fc	,
y	y	CC	y
el	el	DA0MS0	el
tapador	tapador	NCMS000	tapador
pa	para	SPS00	para
la	la	DA0FS0	el
alcarraza	alcarraza	NCFS000	alcarraza
	.	Fp	.
