mui	Muy	RQ	muy
Pe	padre	NP00000	padre
mio	mío	DP1MSS	mío
	.	Fp	.
Rvi	Recibí	VMIS1S0	recibir
la	la	DA0FS0	el
de	de	SPS00	de
v	vuestra	DP2FSP	vuestro
pt	paternidad	NP00000	paternidad
	,	Fc	,
que	que	CS	que
fue	fue	VSIS3S0	ser
tan	tan	RC	tan
gran	gran	AQ0CS0	gran
consuelo	consuelo	NCMS000	consuelo
para	para	SPS00	para
mi	mí	PP1CSO00	mí
quanto	cuanto	PA000000	cuanto
de	de	SPS00	de
saludes	saludes	NCFP000	salud
y	y	CC	y
vida	vida	NCFS000	vida
yo	yo	PP1CSN00	yo
deseo	deseo	VMIP1S0	desear
a	a	SPS00	a
v	vuestra	DP2FSP	vuestro
pt	paternidad	NP00000	paternidad
	.	Fp	.
pague	Pague	VMSP0S0	pagar
nro	Nuestro	DP1MSP	nuestro
señor	Señor	NP00000	señor
a	a	SPS00	a
v	vuestra	DP2FSP	vuestro
pt	paternidad	NP00000	paternidad
tanta	tanta	DI0FS0	tanto
merçed	merced	NCFS000	merced
como	como	CS	como
En	en	SPS00	en
Ella	ella	PP3FS000	él
me	me	PP1CS000	me
haze	hace	VMIP3S0	hacer
	.	Fp	.
yo	Yo	PP1CSN00	yo
no	no	RN	no
dudo	dudo	VMIP1S0	dudar
En	en	SPS00	en
que	que	CS	que
a	a	SPS00	a
su	su	DP3CS0	su
tienpo	tiempo	NCMS000	tiempo
me	me	PP1CS000	me
faltara	faltara	VMSI0S0	faltar
	,	Fc	,
porque	porque	CS	porque
conoçe	conoce	VMIP3S0	conocer
v	vuestra	DP2FSP	vuestro
pt	paternidad	NP00000	paternidad
que	que	CS	que
le	le	PP3CSD00	le
soy	soy	VSIP1S0	ser
mas	más	RC	más
hijo	hijo	NCMS000	hijo
que	que	CS	que
otri	otro	PI0MS000	otro
ninguno	ninguno	DI0MS0	ninguno
y	y	CC	y
que	que	CS	que
lo	lo	DA0NS0	el
que	que	PR0CN000	que
fuere	fuere	VSSF0S0	ser
yo	yo	PP1CSN00	yo
Es	es	VSIP3S0	ser
v	vuestra	DP2FSP	vuestro
pt	paternidad	NP00000	paternidad
	.	Fp	.
y	Y	CC	y
Esto	esto	PD0NN000	esto
lo	lo	PP3CNA00	lo
conoçe	conoce	VMIP3S0	conocer
v	vuestra	DP2FSP	vuestro
pt	paternidad	NP00000	paternidad
y	y	CC	y
que	que	CS	que
a	ha	VMIP3S0	haber
de	de	SPS00	de
tener	tener	VMN0000	tener
y	y	CC	y
ser	ser	VSN0000	ser
mas	más	RC	más
parte	parte	NCFS000	parte
En	en	SPS00	en
El	el	DA0MS0	el
negoçio	negocio	NCMS000	negocio
que	que	CS	que
yo	yo	PP1CSN00	yo
propio	propio	NCMS000	propio
y	y	CC	y
pues	pues	CS	pues
Es	es	VSIP3S0	ser
de	de	SPS00	de
v	vuestra	DP2FSP	vuestro
pt	paternidad	NP00000	paternidad
no	no	RN	no
mas	más	RC	más
En	en	SPS00	en
Esta	esta	DD0FS0	este
materia	materia	NCFS000	materia
.	.	Fp	.
Eme	Heme	VAIP1S0+PP1CS000	haber+me
holgado	holgado	VMP0000	holgar
de	de	SPS00	de
la	la	DA0FS0	el
buena	buena	AQ0FS0	bueno
mana	maña	NCFS000	maña
que	que	PR0CN000	que
v	vuestra	DP2FSP	vuestro
pt	paternidad	NP00000	paternidad
se	se	P00CN000	se
a	ha	VAIP3S0	haber
dado	dado	VMP0000	dar
y	y	CC	y
da	da	VMIP3S0	dar
En	en	SPS00	en
Esa	esa	DD0FS0	ese
sta	santa	AQ0FS0	santo
casa	casa	NCFS000	casa
	.	Fp	.
podemos	Podemos	VMIP1P0	poder
dezir	decir	VMN0000	decir
Esa	esa	DD0FS0	ese
Enpresa	empresa	NCFS000	empresa
buen	buen	AQ0MS0	bueno
Rey	Rey	NP00000	rey
nro	Nuestro	DP1MSP	nuestro
sr	Señor	NP00000	señor
y	y	CC	y
su	su	DP3CS0	su
bendita	Bendita	AQ0FSP	bendito
madre	Madre	NCFS000	madre
lo	lo	PP3CNA00	lo
pagara	pagará	VMIF3S0	pagar
a	a	SPS00	a
v	vuestra	DP2FSP	vuestro
pt	paternidad	NP00000	paternidad
y	y	CC	y
nro	nuestro	DP1MSP	nuestro
pe	padre	NP00000	padre
probinçial	provincial	NCMS000	provincial
	,	Fc	,
que	que	CS	que
sera	será	VSIF3S0	ser
brebe	breve	RG	breve
por	por	SPS00	por
alla	allá	RG	allá
	,	Fc	,
que	que	CS	que
mediada	mediada	VMP00SF	mediar
quaresma	Cuaresma	NP00000	cuaresma
sale	sale	VMIP3S0	salir
de	de	SPS00	de
aqui	aquí	RG	aquí
para	para	SPS00	para
all	allá	RG	allá
