señor	Señor	NP00000	señor
	.	Fp	.
por	Por	SPS00	por
me	me	PP1CS000	me
hazer	hacer	VMN0000	hacer
md	merced	NCFS000	merced
	,	Fc	,
me	me	PP1CS000	me
ebye	envíe	VMSP0S0	enviar
el	el	DA0MS0	el
bonete	bonete	NCMS000	bonete
q	que	PR0CN000	que
conpre	compré	VMIS1S0	comprar
aqui	aquí	RG	aquí
	.	Fp	.
y	Y	CC	y
ebyenos	envíenos	VMSP0S0+PP1CP000	enviar+nos
candelas	candelas	NCFP000	candela
	.	Fp	.
y	Y	CC	y
ebyeme	envíeme	VMSP0S0+PP1CS000	enviar+me
syepre	siempre	RG	siempre
un	un	DI0MS0	uno
pastelico	pastelico	NCMS00D	pastel
a	a	SPS00	a
comer	comer	VMN0000	comer
y	y	CC	y
cenar	cenar	VMN0000	cenar
	;	Fx	;
y	y	CC	y
otra	otra	DI0FS0	otro
salsa	salsa	NCFS000	salsa
	,	Fc	,
y	y	CC	y
no	no	RN	no
la	la	DA0FS0	el
de	de	SPS00	de
peregil	perejil	NCMS000	perejil
	,	Fc	,
q	que	CS	que
no	no	RN	no
puedo	puedo	VMIP1S0	poder
comer	comer	VMN0000	comer
cocydo	cocido	NCMS000	cocido
	;	Fx	;
y	y	CC	y
una	una	DI0FS0	uno
almofya	almofía	NCFS000	almofía
	,	Fc	,
y	y	CC	y
unos	unos	DI0MP0	uno
tres	tres	Z	3
o	o	CC	o
quatro	cuatro	Z	4
clavos	clavos	NCMP000	clavo
de	de	SPS00	de
a	a	SPS00	a
maravedy	maravedí	NCMS000	maravedí
.	.	Fp	.
enbyenos	Envíenos	VMSP0S0+PP1CP000	enviar+nos
esa	esa	DD0FS0	ese
rredoma	redoma	NCFS000	redoma
de	de	SPS00	de
agua	agua	NCCS000	agua
	,	Fc	,
q	que	CS	que
muy	muy	RQ	muy
buena	buena	AQ0FS0	bueno
es	es	VSIP3S0	ser
	.	Fp	.
enbie	Envíe	VMSP0S0	enviar
carbo	carbón	NCMS000	carbón
	.	Fp	.
conpra	Compra	VMM02S0	comprar
dos	dos	Z	2
pares	pares	NCMP000	par
de	de	SPS00	de
botas	botas	NCFP000	bota
que	que	PR0CN000	que
sea	sean	VSSP3P0	ser
mayors	mayores	AQ0CP0	mayor
q	que	CS	que
las	las	DA0FP0	el
q	que	PR0CN000	que
sta	están	VMIP3P0	estar
aca	acá	RG	acá
.	.	Fp	.
