Nuestro	Nuestro	DP1MSP	nuestro
señor	Señor	NP00000	señor
fue	fue	VSIS3S0	ser
servido	servido	VMP00SM	servir
de	de	SPS00	de
q	que	CS	que
llegassemos	llegásemos	VMSI1P0	llegar
a	a	SPS00	a
cartajena	Cartagena	NP00000	cartagena
con	con	SPS00	con
tanta	tanta	DI0FS0	tanto
salud	salud	NCFS000	salud
como	como	CS	como
su	Su	DP3CS0	su
magestad	Majestad	NP00000	majestad
pudo	pudo	VMIS3S0	poder
darnos	darnos	VMN0000+PP1CP000	dar+nos
de	de	SPS00	de
su	su	DP3CS0	su
larga	larga	AQ0FS0	largo
mano	mano	NCFS000	mano
despues	después	RG	después
de	de	SPS00	de
ser	ser	VSN0000	ser
el	el	DA0MS0	el
viaje	viaje	NCMS000	viaje
tan	tan	RC	tan
largo	largo	AQ0MS0	largo
y	y	CC	y
tan	tan	RC	tan
cansado	cansado	VMP00SM	cansar
y	y	CC	y
de	de	SPS00	de
tanta	tanta	DI0FS0	tanto
ventura	ventura	NCFS000	ventura
	,	Fc	,
por	por	SPS00	por
ser	ser	VSN0000	ser
el	el	DA0MS0	el
tiempo	tiempo	NCMS000	tiempo
que	que	CS	que
hera	era	VSII0S0	ser
tan	tan	RC	tan
Recio	recio	RG	recio
y	y	CC	y
las	las	DA0FP0	el
nabes	naves	NCFP000	nave
tan	tan	RC	tan
abiertas	abiertas	VMP00PF	abrir
como	como	CS	como
de	de	SPS00	de
tres	tres	Z	3
años	años	NCMP000	año
dadas	dadas	VMP00PF	dar
carena	carena	VMIP3S0	carenar
y	y	CC	y
de	de	SPS00	de
dos	dos	Z	2
cargadas	cargadas	VMP00PF	cargar
	.	Fp	.
en	En	SPS00	en
resolucion	resolución	NCFS000	resolución
	,	Fc	,
no	no	RN	no
quiera	quiera	VMSP0S0	querer
vm	VM	NP00000	VM
saber	saber	VMN0000	saber
mas	más	RC	más
del	del	SPS00+DA0MS0	de+el
viaje	viaje	NCMS000	viaje
de	de	SPS00	de
q	que	CS	que
todo	todo	DI0MS0	todo
el	el	DA0MS0	el
tiempo	tiempo	NCMS000	tiempo
q	que	PR0CN000	que
turo	duró	VMIS3S0	durar
no	no	RN	no
se	se	P00CN000	se
alargo	alargó	VMIS3S0	alargar
la	la	DA0FS0	el
bonba	bomba	NCFS000	bomba
de	de	SPS00	de
la	la	DA0FS0	el
mano	mano	NCFS000	mano
	,	Fc	,
con	con	SPS00	con
ser	ser	VSN0000	ser
la	la	DA0FS0	el
nabe	nave	NCFS000	nave
en	en	SPS00	en
q	que	CS	que
veniamos	veníamos	VMII1P0	venir
q	que	CS	que
no	no	RN	no
avia	había	VAII0S0	haber
hecho	hecho	VMP0000	hacer
mas	más	RC	más
de	de	SPS00	de
un	un	DI0MS0	uno
biaje	viaje	NCMS000	viaje
	.	Fc	,
cada	Cada	DI0CN0	cada
momento	momento	NCMS000	momento
estabamos	estábamos	VMII1P0	estar
aguardando	aguardando	VMG0000	aguardar
como	cómo	PA000000	cómo
nos	nos	PP1CP000	nos
aviamos	habíamos	VMII1P0	haber
de	de	SPS00	de
ver	ver	VMN0000	ver
ir	ir	VMN0000	ir
a	a	SPS00	a
fondo	fondo	NCMS000	fondo
	.	Fp	.
digo	Digo	VMIP1S0	decir
la	la	DA0FS0	el
nave	nave	NCFS000	nave
con	con	SPS00	con
