Rmo	Reverendísimo	AQSMS0	reverendo
sr	señor	NP00000	señor
do	don	NP00000	don
franco	Francisco	NP00000	francisco
de	de	SPS00	de
medoça	Mendoza	NP00000	mendoza
	.	Fp	.
el	El	DA0MS0	el
caso	caso	NCMS000	caso
mas	más	RC	más
miserado	miserando	AQ0MS0	miserando
q	que	CS	que
dend	desde	SPS00	desde
el	el	DA0MS0	el
pinçipio	principio	NCMS000	principio
dl	del	SPS00+DA0MS0	de+el
mudo	mundo	NCMS000	mundo
hasta	hasta	SPS00	hasta
oi	hoy	RG	hoy
emos	hemos	VAIP1P0	haber
oido	oído	VMP0000	oír
ni	ni	CC	ni
leido	leído	VMP0000	leer
ni	ni	CC	ni
vido	habido	VMP0000	haber
es	es	VSIP3S0	ser
q	que	CS	que
	,	Fc	,
Aviendo	habiendo	VMG0000	haber
en	en	SPS00	en
la	la	DA0FS0	el
inqon	Inquisición	NP00000	inquisición
d	de	SPS00	de
esa	esa	DD0FS0	ese
çidad	ciudad	NCFS000	ciudad
tenido	tenido	VMP0000	tener
mas	más	RC	más
de	de	SPS00	de
veinte	veinte	Z	20
Años	años	NCMP000	año
Al	al	SPS00+DA0MS0	a+el
maestro	maestro	NCMS000	maestro
de	de	SPS00	de
orellano	Orellana	NP00000	orellana
	,	Fc	,
q	que	CS	que
llama	llaman	VMIP3P0	llamar
El	el	DA0MS0	el
soldado	Soldado	NCMS000	soldado
	,	Fc	,
ta	tan	RC	tan
injustamete	injustamente	RG	injustamente
preso	preso	AQ0MS0	preso
A	a	SPS00	a
tan	tan	RC	tan
buen	buen	AQ0MS0	bueno
pedicador	predicador	NCMS000	predicador
i	y	CC	y
letrado	letrado	NCMS000	letrado
i	y	CC	y
onbre	hombre	NCMS000	hombre
tan	tan	RC	tan
Abil	hábil	AQ0CS0	hábil
i	y	CC	y
castizo	castizo	AQ0MS0	castizo
	,	Fc	,
Agora	ahora	RG	ahora
no	no	RN	no
por	por	SPS00	por
mas	más	RC	más
de	de	SPS00	de
por	por	SPS00	por
Aver	haber	VAN0000	haber
dado	dado	VMP0000	dar
hunas	unas	DI0FP0	uno
obras	obras	NCFP000	obra
madandoselo	mandándoselo	VMG0000+PP3CN000+PP3MSA00	mandar+se+lo
un	un	DI0MS0	uno
Alcde	alcaide	NCMS000	alcaide
q	que	PR0CN000	que
murio	murió	VMIS3S0	morir
i	y	CC	y
otras	otras	DI0FP0	otro
sin	sin	SPS00	sin
su	su	DP3CS0	su
madamio	mandamiento	NCMS000	mandamiento
	,	Fc	,
siendo	siendo	VSG0000	ser
todas	todas	DI0FP0	todo
satas	santas	NCFP000	santo
i	y	CC	y
buenas	buenas	AQ0FP0	bueno
	,	Fc	,
le	le	PP3CSD00	le
An	han	VAIP3P0	haber
tapiado	tapiado	VMP0000	tapiar
con	con	SPS00	con
tanta	tanta	DI0FS0	tanto
crueldad	crueldad	NCFS000	crueldad
q	que	PR0CN000	que
pensar	pensar	VMN0000	pensar
no	no	RN	no
se	se	P00CN000	se
puede	puede	VMIP3S0	poder
i	y	CC	y
escrevillo	escribirlo	VMN0000+PP3CNA00	escribir+lo
es	es	VSIP3S0	ser
inposible	imposible	AQ0CS0	imposible
	.	Fp	.
suplicamos	Suplicamos	VMIP1P0	suplicar
A	a	SPS00	a
vra	vuestra	DP2FSP	vuestro
beninidad	benignidad	NCFS000	benignidad
i	y	CC	y
de	de	SPS00	de
los	los	DA0MP0	el
señores	señores	NCMP000	señor
marqs	marqués	NCMS000	marqués
i	y	CC	y
marqsa	marquesa	NCFS000	marqués
Rogueis	roguéis	VMSP2P0	rogar
i	e	CC	y
intervengais	intervengáis	VMSP2P0	intervenir
por	por	SPS00	por
el	él	PP3MS000	él
	,	Fc	,
no	no	RN	no
muera	muera	VMSP0S0	morir
tan	tan	RC	tan
inhumanamete	inhumanamente	RG	inhumanamente
ta	tan	RC	tan
notable	notable	AQ0CS0	notable
hobre	hombre	NCMS000	hombre
por	por	SPS00	por
cosa	cosa	NCFS000	cosa
tan	tan	RC	tan
liviana	liviana	AQ0FS0	liviano
q	que	CS	que
	,	Fc	,
çierto	cierto	RG	cierto
	,	Fc	,
mas	más	RC	más
co	con	SPS00	con
pasion	pasión	NCFS000	pasión
q	que	CS	que
con	con	SPS00	con
Razon	razón	NCFS000	razón
se	se	P00CN000	se
haze	hace	VMIP3S0	hacer
	.	Fp	.
i	Y	CC	y
en	en	SPS00	en
esto	esto	PD0NN000	esto
Ai	hay	VMIP3S0	haber
tato	tanto	RC	tanto
q	que	CS	que
dezir	decir	VMN0000	decir
q	que	CS	que
no	no	RN	no
dezimos	decimos	VMIP1P0	decir
mas	más	RC	más
de	de	SPS00	de
inplorar	implorar	VMN0000	implorar
por	por	SPS00	por
tan	tan	RC	tan
gra	gran	AQ0CS0	gran
jubileo	jubileo	NCMS000	jubileo
ex	ex	SPS00	ex
propia	propia	AQ0FS0	propio
voluntad	voluntad	NCFS000	voluntad
	,	Fc	,
si	si	CS	si
esta	está	VMIP3S0	estar
A	a	SPS00	a
manos	manos	NCFP000	mano
de	de	SPS00	de
vras	vuestras	DP2FPP	vuestro
señorias	señorías	NCFP000	señoría
	.	Fp	.
fuere	Fuere	VSSF0S0	ser
escrita	escrita	VMP00SF	escribir
por	por	SPS00	por
un	un	DI0MS0	uno
condolido	condolido	VMP00SM	condoler
de	de	SPS00	de
tanta	tanta	DI0FS0	tanto
crueldad	crueldad	NCFS000	crueldad
i	y	CC	y
echada	echada	VMP00SF	echar
cabe	cabe	VMIP3S0	caber
do	donde	PA000000	donde
el	él	PP3MS000	él
esta	está	VMIP3S0	estar
	,	Fc	,
porq	porque	CS	porque
dios	Dios	NP00000	dios
i	y	CC	y
nro	nuestro	DP1MSP	nuestro
pade	padre	NP00000	padre
san	san	NP00000	san
franco	Francisco	NP00000	francisco
i	y	CC	y
la	la	DA0FS0	el
virjen	Virgen	NP00000	virgen
maria	María	NP00000	maría
la	la	PP3FSA00	lo
guien	guíen	VMSP3P0	guiar
i	y	CC	y
os	os	PP2CP000	os
lo	lo	PP3CNA00	lo
pongan	pongan	VMSP3P0	poner
en	en	SPS00	en
coraçon	corazón	NCMS000	corazón
	,	Fc	,
pues	pues	CS	pues
tato	tanto	RC	tanto
va	va	VMIP3S0	ir
en	en	SPS00	en
salvar	salvar	VMN0000	salvar
un	un	DI0MS0	uno
tal	tal	RC	tal
hobre	hombre	NCMS000	hombre
cuerpo	cuerpo	NCMS000	cuerpo
i	y	CC	y
anima	ánima	NCFS000	ánima
	.	Fp	.
beso	Beso	VMIP1S0	besar
las	las	DA0FP0	el
manos	manos	NCFP000	mano
de	de	SPS00	de
vrasria	VSa	NP00000	VSa
	.	Fp	.
