YHus	Yhesús	NP00000	yhesús
	.	Fp	.
en	En	SPS00	en
medina	Medina	NP00000	medina
del	del	SPS00+DA0MS0	de+el
canpo	Campo	NP00000	campo
	,	Fc	,
23	23	Z	23
de	de	SPS00	de
agosto	agosto	NCMS000	agosto
de	de	SPS00	de
1539	1539	Z	1539
	.	Fp	.
señor	Señor	NP00000	señor
	.	Fp	.
Por	Por	SPS00	por
otras	otras	DI0FP0	otro
dos	dos	Z	2
le	le	PP3CSD00	le
tengo	tengo	VMIP1S0	tener
escrito	escrito	VMP00SM	escribir
a	a	SPS00	a
vm	VM	NP00000	VM
largo	largo	RG	largo
	,	Fc	,
aunq	aunque	CS	aunque
no	no	RN	no
por	por	SPS00	por
tan	tan	RC	tan
horden	orden	NCMS000	orden
como	como	CS	como
yo	yo	PP1CSN00	yo
quigiera	quisiera	VMSI0S0	querer
por	por	SPS00	por
ser	ser	VSN0000	ser
solo	solo	AQ0MS0	solo
en	en	SPS00	en
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
negoçios	negocios	NCMP000	negocio
	,	Fc	,
q	que	CS	que
para	para	SPS00	para
copiar	copiar	VMN0000	copiar
una	una	DI0FS0	uno
carta	carta	NCFS000	carta
no	no	RN	no
tengo	tengo	VMIP1S0	tener
quien	quien	PR0CS000	quien
me	me	PP1CS000	me
ayude	ayude	VMSP0S0	ayudar
al	al	SPS00+DA0MS0	a+el
psente	presente	NCMS000	presente
	,	Fc	,
donde	donde	PA000000	donde
vm	VM	NP00000	VM
a	ha	VMIP3S0	haber
de	de	SPS00	de
tomar	tomar	VMN0000	tomar
como	como	CS	como
la	la	DA0FS0	el
cuenta	cuenta	NCFS000	cuenta
de	de	SPS00	de
la	la	DA0FS0	el
muge	mujer	NCFS000	mujer
q	que	PR0CN000	que
dizen	dicen	VMIP3P0	decir
en	en	SPS00	en
esta	esta	DD0FS0	este
tierra	tierra	NCFS000	tierra
y	y	CC	y
a	ha	VMIP3S0	haber
de	de	SPS00	de
abe	haber	VMN0000	haber
pasiençia	paciencia	NCFS000	paciencia
	.	Fp	.
q	Que	CS	que
con	con	SPS00	con
toda	toda	DI0FS0	todo
esta	esta	DD0FS0	este
pena	pena	NCFS000	pena
q	que	PR0CN000	que
tengo	tengo	VMIP1S0	tener
de	de	SPS00	de
pasar	pasar	VMN0000	pasar
por	por	SPS00	por
