JHs	JHS		
	.		
En	En		
Enberes	Amberes		
	,		
de	de		
7	7		
de	de		
dezr	diciembre		
de	de		
1555	1555		
señores	Señores		
	.		
por	Por		
una	una		
carta	carta		
que	que		
el	el		
sor	señor		
ju	Juan		
de	de		
aquerreta	Aquerreta		
escrebio	escribió		
a	a		
pedro	Pedro		
de	de		
arbito	Arbieto		
	,		
el	el		
qual	cual		
me	me		
l	la		
a	ha		
enbiado	enviado		
	,		
he	he		
bisto	visto		
lo	lo		
que	que		
le	le		
escrebio	escribió		
sobre	sobre		
el	el		
regaliz	regaliz		
	,		
e	y		
lo	lo		
mesmo	mismo		
por	por		
una	una		
memoria	memoria		
que	que		
me	me		
a	ha		
enbiado	enviado		
	.		
e	He		
bisto	visto		
el	el		
conçierto	concierto		
q	que		
con	con		
vsms	VMs		
me	me		
a	ha		
hecho	hecho		
e	y		
	,		
por	por		
ser	ser		
pedro	Pedro		
de	de		
arbito	Arbieto		
e	y		
yo	yo		
conpañeros	compañeros		
e	y		
una	una		
cosa	cosa		
	,		
escrebire	escribiré		
yo	yo		
a	a		
vsms	VMs		
de	de		
aqui	aquí		
lo	lo		
que	que		
se	se		
ofreçiere	ofreciere		
de	de		
aqui	aquí		
adelante	adelante		
	.		
e	Y		
vsms	VMs		
me	me		
tengan	tengan		
por	por		
su	su		
serbidor	servidor		
	,		
porque	porque		
todo	todo		
lo	lo		
que	que		
vsms	VMs		
me	me		
enbiaren	enviaren		
a	a		
mandar	mandar		
are	haré		
de	de		
de	de		
buena	buena		
boluntad	voluntad		
porque	porque		
assi	así		
me	me		
lo	lo		
encarga	encarga		
dicho	dicho		
arbito	Arbieto		
	.		
e	Y		
assi	así		
dire	diré		
en	en		
esta	ésta		
lo	lo		
que	que		
aze	hace		
al	al		
caso	caso		
dexando	dejando		
ofertas	ofertas		
aparte	aparte		
e	y		
remetiendome	remitiéndome		
a	a		
las	las		
obras	obras		
.	.		
En	En		
una	una		
nao	nao		
de	de		
o	Ochoa		
de	de		
capetillo	Capetillo		
escrebi	escribí		
a	a		
vsms	VMs		
con	con		
pensar	pensar		
ubiera	hubiera		
partido	partido		
	;		
e	y		
assi	así		
	,		
bisto	visto		
q	que		
no	no		
parte	parte		
e	y		
que	que		
se	se		
ofreçe	ofrece		
correo	correo		
	,		
acorde	acordé		
de	de		
escribelles	escribirles		
la	la		
presente	presente		
.	.		
qto	Cuanto		
a	a		
la	la		
memoria	memoria		
de	de		
vsms	VMs		
	,		
yo	yo		
enbie	envíe		
en	en		
estas	estas		
naos	naos		
al	al		
sor	señor		
jacobe	Jacobe		
de	de		
ugaz	Ugaz		
merçerias	mercerías		
de	de		
la	la		
mesma	misma		
suerte	suerte		
que	que		
vsms	VMs		
las	las		
piden	piden		
e	y		
de	de		
otras	otras		
suertes	suertes		
	.		
e	Y		
d	de		
ellas	ellas		
podran	podrán		
vsms	VMs		
tomar	tomar		
las	las		
que	que		
mas	más		
a	a		
proposito	propósito		
les	les		
biniere	viniere		
	.		
las	Las		
yleras	hileras		
no	no		
quieren	quieren		
poner	poner		
en	en		
cada	cada		
bala	bala		
5	5		
dzs	docenas		
de	de		
cada	cada		
suerte	suerte		
sino	sino		
10	10		
dozenas	docenas		
	,		
porque	porque		
dizen	dicen		
les	les		
es	es		
gran	gran		
trabajo	trabajo		
	.		
e	Y		
assi	así		
yran	irán		
seys	seis		
6	6		
balas	balas		
de	de		
10	10		
dozenas	docenas		
en	en		
cada	cada		
una	una		
de	de		
la	la		
mesma	misma		
suerte	suerte		
q	que		
vsms	VMs		
las	las		
piden	piden		
	.		
e	Y		
todo	todo		
lo	lo		
demas	demás		
yra	irá		
sin	sin		
heçeder	exceder		
punto	punto		
eçeto	excepto		
los	los		
gubiletes	cubiletes		
	,		
que	que		
me	me		
marabillo	maravillo		
vsms	VMs		
los	los		
quieran	quieran		
costando	costando		
	,		
llebandolos	llevándolos		
de	de		
aqui	aquí		
	,		
el	el		
1/3	1/3		
un	un		
tero	tercio		
mas	más		
de	de		
lo	lo		
que	que		
en	en		
medina	Medina		
del	del		
canpo	Campo		
les	les		
costaria	costaría		
	.		
e	Y		
no	no		
los	los		
enbiare	enviaré		
asta	hasta		
q	que		
vsms	VMs		
me	me		
escriban	escriban		
si	si		
los	los		
quieren	quieren		
sobre	sobre		
ber	ver		
costaran	costarán		
el	el		
1/3	1/3		
mas	más		
q	que		
alla	allá		
	.		
porque	Porque		
beo	veo		
todos	todos		
los	los		
que	que		
pueden	pueden		
traen	traen		
aca	acá		
plata	plata		
e	y		
oro	oro		
por	por		
bender	vender		
por	por		
el	el		
probecho	provecho		
que	que		
en	en		
ello	ello		
se	se		
aze	hace		
	,		
que	que		
	,		
como	como		
digo	digo		
	,		
quisiendolos	quisiéndolos		
me	me		
lo	lo		
abisen	avisen		
	,		
que	que		
yo	yo		
los	los		
enbiare	enviaré		
.	.		
qto	Cuanto		
al	al		
regaliz	regaliz		
	,		
yo	yo		
lo	lo		
e	he		
tenido	tenido		
otras	otras		
bezes	veces		
e	y		
se	sé		
lo	lo		
que	que		
es	es		
	.		
de	De		
presente	presente		
bale	vale		
doze	doce		
sueldos	sueldos		
12	12		
s	sueldos		
qz	cahíz		
y	y		
en	en		
londres	Londres		
no	no		
bale	vale		
que	que		
10	10		
s	sueldos		
	,		
segun	según		
beo	veo		
por	por		
la	la		
de	de		
vm	VM		
	.		
bendiendola	Vendiéndola		
a	a		
12	12		
s	sueldos		
qz	cahíz		
se	se		
ganan	ganan		
dineros	dineros		
e	y		
se	se		
benderan	venderán		
2M	2000		
qzs	cahíces		
	.		
por	Por		
tanto	tanto	RG	tanto
	,	RG	tanto
vsms	VMs	RG	tanto
lo	lo	RG	tanto
conpren	compren	RG	tanto
en	en	RG	tanto
todo	todo	RG	tanto
caso	caso	RG	tanto
	,	RG	tanto
que	que	RG	tanto
sienpre	siempre	RG	tanto
baldran	valdrán	RG	tanto
estos	estos	RG	tanto
12	12	RG	tanto
s	sueldos	RG	tanto
de	de	RG	tanto
qo	contado	RG	tanto
	.	RG	tanto
e	Y	RG	tanto
me	me	RG	tanto
abisen	avisen	RG	tanto
con	con	RG	tanto
el	el	RG	tanto
primero	primero	RG	tanto
si	si	RG	tanto
quieren	quieren	RG	tanto
benda	venda	RG	tanto
a	a	RG	tanto
delibrar	delibrar	RG	tanto
dichos	dichos	RG	tanto
2M	2000	RG	tanto
qzs	cahíces	RG	tanto
	,	RG	tanto
que	que	RG	tanto
bien	bien	RG	tanto
