somos	Somos	VSIP1P0	ser
a	a	SPS00	a
10	10	Z	10
del	del	SPS00+DA0MS0	de+el
dicho	dicho	VMP00SM	decir
	.	Fp	.
despues	Después	RG	después
no	no	RN	no
e	he	VAIP1S0	haber
reçebido	recibido	VMP0000	recibir
nenguna	ninguna	PI0FS00N	ninguno
de	de	SPS00	de
vsms	VMs	NP00000	VM
	.	Fp	.
y	Y	CC	y
assi	así	RG	así
no	no	RN	no
ay	hay	VMIP3S0	haber
que	que	CS	que
dsr	decir	VMN0000	decir
de	de	SPS00	de
afirmar	afirmar	VMN0000	afirmar
lo	lo	DA0NS0	el
dicho	dicho	VMP00SM	decir
	.	Fp	.
del	Del	SPS00+DA0MS0	de+el
fardel	fardel	NCMS000	fardel
de	de	SPS00	de
olandas	holandas	NCFP000	holanda
q	que	PR0CN000	que
enbie	envié	VMIS1S0	enviar
a	a	SPS00	a
vsms	VMs	NP00000	VM
dirigido	dirigido	VMP00SM	dirigir
a	a	SPS00	a
voyz	Veroyz	NP00000	veroyz
en	en	SPS00	en
la	la	DA0FS0	el
nao	nao	NCFS000	nao
de	de	SPS00	de
vabiçiosa	Villaviciosa	NP00000	villaviciosa
	,	Fc	,
les	les	PP3CPD00	le
suplico	suplico	VMIP1S0	suplicar
me	me	PP1CS000	me
abisen	avisen	VMSP3P0	avisar
del	del	SPS00+DA0MS0	de+el
recibo	recibo	NCMS000	recibo
	.	Fp	.
n	Nuestro	DP1MSP	nuestro
s	Señor	NP00000	señor
.	.	Fp	.
besa	Besa	VMIP3S0	besar
las	las	DA0FP0	el
manos	manos	NCFP000	mano
de	de	SPS00	de
vsms	VMs	NP00000	VM
	,	Fc	,
Miguel	Miguel	NP00000	miguel
de	de	SPS00	de
Gamez	Gámez	NP00000	gámez
