YHus	Yhesús	NP00000	yhesús
	.	Fp	.
de	De	SPS00	de
medina	Medina	NP00000	medina
del	del	SPS00+DA0MS0	de+el
canpo	Campo	NP00000	campo
	,	Fc	,
20	20	Z	20
de	de	SPS00	de
diciembre	diciembre	NCMS000	diciembre
muy	Muy	RQ	muy
virtuoso	virtuoso	AQ0MS0	virtuoso
señor	señor	NP00000	señor
	.	Fp	.
en	En	SPS00	en
18	18	Z	18
del	del	SPS00+DA0MS0	de+el
presente	presente	NCMS000	presente
le	le	PP3CSD00	le
escribi	escribí	VMIS1S0	escribir
a	a	SPS00	a
vm	VM	NP00000	VM
largo	largo	RG	largo
	.	Fp	.
asi	Así	RG	así
por	por	SPS00	por
esta	ésta	PD0FS000	este
no	no	RN	no
se	se	P00CN000	se
hofresçe	ofrece	VMIP3S0	ofrecer
que	que	CS	que
le	le	PP3CSD00	le
dezir	decir	VMN0000	decir
mas	más	RC	más
de	de	SPS00	de
quanto	cuanto	PA000000	cuanto
me	me	PP1CS000	me
faltaron	faltaron	VMIS3P0	faltar
pa	para	SPS00	para
çerrar	cerrar	VMN0000	cerrar
my	mi	DP1CSS	mi
cuenta	cuenta	NCFS000	cuenta
d	de	SPS00	de
esta	esta	DD0FS0	este
fra	feria	NCFS000	feria
400	400	Z	400
dus	ducados	NCMP000	ducado
	,	Fc	,
donde	donde	PA000000	donde
m	me	PP1CS000	me
e	he	VAIP1S0	haber
balido	valido	VMP0000	valer
sobre	sobre	SPS00	sobre
vm	VM	NP00000	VM
de	de	SPS00	de
428	428	Z	428
coronas	coronas	NCFP000	corona
y	y	CC	y
media	media	NCFS000	media
pa	para	SPS00	para
la	la	DA0FS0	el
de	de	SPS00	de
vergas	Vergas	NP00000	vergas
a	a	SPS00	a
pagar	pagar	VMN0000	pagar
a	a	SPS00	a
franco	Francisco	NP00000	francisco
gs	Gutiérrez	NP00000	gutiérrez
resçibidos	recibidos	VMP00PM	recibir
de	de	SPS00	de
po	Pedro	NP00000	pedro
de	de	SPS00	de
la	la	DA0FS0	el
torre	Torre	NP00000	torre
e	y	CC	y
ju	Juan	NP00000	juan
e	y	CC	y
ao	Alonso	NP00000	alonso
de	de	SPS00	de
vitoria	Vitoria	NP00000	vitoria
	.	Fp	.
supco	Suplico	VMIP1S0	suplicar
a	a	SPS00	a
vm	VM	NP00000	VM
que	que	CS	que
mi	mi	DP1CSS	mi
letra	letra	NCFS000	letra
sea	sea	VSSP0S0	ser
asentado	asentado	VMP00SM	asentar
y	y	CC	y
pagado	pagado	VMP0000	pagar
en	en	SPS00	en
su	su	DP3CS0	su
tpo	tiempo	NCMS000	tiempo
como	como	CS	como
de	de	SPS00	de
vm	VM	NP00000	VM
espero	espero	VMIP1S0	esperar
	.	Fp	.
por	Por	SPS00	por
la	la	DA0FS0	el
otra	otra	PI0FS000	otro
le	le	PP3CSD00	le
escribi	escribí	VMIS1S0	escribir
	,	Fc	,
por	por	SPS00	por
lo	lo	DA0NS0	el
mucho	mucho	RQ	mucho
que	que	PR0CN000	que
le	le	PP3CSD00	le
devo	debo	VMIP1S0	deber
a	a	SPS00	a
vm	VM	NP00000	VM
	,	Fc	,
deseaba	deseaba	VMII0S0	desear
darle	darle	VMN0000+PP3CSD00	dar+le
algun	algún	DI0MS0	alguno
probecho	provecho	NCMS000	provecho
de	de	SPS00	de
que	que	CS	que
	,	Fc	,
si	si	CS	si
le	le	PP3CSD00	le
paresçia	parecía	VMII0S0	parecer
	,	Fc	,
enbiase	enviase	VMSI0S0	enviar
por	por	SPS00	por
cuenta	cuenta	NCFS000	cuenta
de	de	SPS00	de
vm	VM	NP00000	VM
y	y	CC	y
de	de	SPS00	de
mi	mí	PP1CSO00	mí
una	una	DI0FS0	uno
parte	parte	NCFS000	parte
de	de	SPS00	de
holandas	holandas	NP00000	holandas
e	e	CC	y
ys	hilos	NCMP000	hilo
gants	gantes	NCMP000	gante
	.	Fp	.
supco	Suplico	VMIP1S0	suplicar
a	a	SPS00	a
vm	VM	NP00000	VM
que	que	CS	que
no	no	RN	no
se	se	P00CN000	se
mele	mele	VMIP3S0	meler
en	en	SPS00	en
enviarme	enviarme	VMN0000+PP1CS000	enviar+me
cosa	cosa	NCFS000	cosa
mas	más	RC	más
de	de	SPS00	de
por	por	SPS00	por
my	mi	DP1CSS	mi
cuenta	cuenta	NCFS000	cuenta
	,	Fc	,
porq	porque	CS	porque
	,	Fc	,
si	si	CS	si
aca	acá	RG	acá
lo	lo	PP3CNA00	lo
sentiesen	sintiesen	VMSI3P0	sentir
quyen	quien	PR0CS000	quien
vm	VM	NP00000	VM
puede	puede	VMIP3S0	poder
pensar	pensar	VMN0000	pensar
	,	Fp	,
tomarian	tomarían	VMIC3P0	tomar
el	el	DA0MS0	el
çielo	cielo	NCMS000	cielo
con	con	SPS00	con
las	las	DA0FP0	el
manos	manos	NCFP000	mano
	.	Fp	.
y	Y	CC	y
no	no	RN	no
es	es	VSIP3S0	ser
menos	menos	RC	menos
se	se	P00CN000	se
dexase	dejase	VMSI0S0	dejar
de	de	SPS00	de
saber	saber	VMN0000	saber
porq	porque	CS	porque
	,	Fc	,
segun	según	SPS00	según
me	me	PP1CS000	me
an	han	VAIP3P0	haber
dado	dado	VMP0000	dar
a	a	SPS00	a
entender	entender	VMN0000	entender
	,	Fc	,
lo	lo	DA0NS0	el
que	que	PR0CN000	que
yo	yo	PP1CSN00	yo
a	a	SPS00	a
vm	VM	NP00000	VM
escribo	escribo	VMIP1S0	escribir
a	a	SPS00	a
la	la	DA0FS0	el
hora	hora	NCFS000	hora
se	se	P00CN000	se
sabe	sabe	VMIP3S0	saber
aqui	aquí	RG	aquí
	,	Fc	,
que	que	CS	que
no	no	RN	no
se	sé	VMIP1S0	saber
por	por	SPS00	por
donde	dónde	PA000000	dónde
sale	sale	VMIP3S0	salir
	,	Fc	,
no	no	RN	no
porque	porque	CS	porque
yo	yo	PP1CSN00	yo
escribo	escribo	VMIP1S0	escribir
mas	más	RC	más
de	de	SPS00	de
a	a	SPS00	a
las	las	DA0FP0	el
cosas	cosas	NCFP000	cosa
que	que	PR0CN000	que
me	me	PP1CS000	me
tanne	tañe	VMIP3S0	tañer
a	a	SPS00	a
mi	mí	PP1CSO00	mí
.	.	Fp	.
aserca	Acerca	SPS00	acerca
de	de	SPS00	de
las	las	DA0FP0	el
holandas	holandas	NCFP000	holanda
que	que	PR0CN000	que
le	le	PP3CSD00	le
escribi	escribí	VMIS1S0	escribir
a	a	SPS00	a
vm	VM	NP00000	VM
con	con	SPS00	con
