YHus	Yhesús	NP00000	yhesús
	.	Fp	.
en	En	SPS00	en
ma	Medina	NP00000	medina
del	del	SPS00+DA0MS0	de+el
canpo	Campo	NP00000	campo
	,	Fc	,
5	5	Z	5
de	de	SPS00	de
agosto	agosto	NCMS000	agosto
1540	1540	Z	1540
señor	Señor	NP00000	señor
	.	Fp	.
abra	Habrá	VMIF3S0	haber
20	20	Z	20
dias	días	NCMP000	día
que	que	PR0CN000	que
llegue	llegué	VMIS1S0	llegar
en	en	SPS00	en
esta	esta	DD0FS0	este
villa	villa	NCFS000	villa
	,	Fc	,
q	que	CS	que
con	con	SPS00	con
el	el	DA0MS0	el
regalo	regalo	NCMS000	regalo
de	de	SPS00	de
mis	mis	DP1CPS	mi
suegros	suegros	NCMP000	suegro
y	y	CC	y
esposa	esposa	NCFS000	esposo
no	no	RN	no
fui	fui	VSIS1S0	ser
poderoso	poderoso	AQ0MS0	poderoso
para	para	SPS00	para
me	me	PP1CS000	me
venir	venir	VMN0000	venir
antes	antes	RG	antes
	.	Fp	.
y	Y	CC	y
asi	así	RG	así
	,	Fc	,
señor	señor	NP00000	señor
	,	Fc	,
despues	después	RG	después
que	que	CS	que
llegue	llegué	VMIS1S0	llegar
me	me	PP1CS000	me
allo	hallo	VMIP1S0	hallar
con	con	SPS00	con
dos	dos	Z	2
cartas	cartas	NCFP000	carta
de	de	SPS00	de
vramçd	VM	NP00000	VM
de	de	SPS00	de
una	una	DI0FS0	uno
copia	copia	NCFS000	copia
	,	Fc	,
que	que	CS	que
la	la	DA0FS0	el
mas	más	RC	más
ultima	última	AO0FS0	último
es	es	VSIP3S0	ser
aynadida	añadida	VMP00SF	añadir
de	de	SPS00	de
14	14	Z	14
de	de	SPS00	de
julio	julio	NCMS000	julio
	.	Fp	.
veo	Veo	VMIP1S0	ver
la	la	DA0FS0	el
pena	pena	NCFS000	pena
q	que	PR0CN000	que
recebio	recibió	VMIS3S0	recibir
de	de	SPS00	de
la	la	DA0FS0	el
yndispusicion	indisposición	NCFS000	indisposición
de	de	SPS00	de
mi	mi	DP1CSS	mi
suegro	suegro	NCMS000	suegro
	,	Fc	,
que	que	CS	que
a	a	SPS00	a
ello	ello	PD0NN000	ello
le	le	PP3CSD00	le
veso	beso	VMIP1S0	besar
las	las	DA0FP0	el
manos	manos	NCFP000	mano
a	a	SPS00	a
