Rmo	Reverendísimo	AQSMS0	reverendo
sor	señor	NP00000	señor
	.	Fp	.
muy	Muy	RQ	muy
espantado	espantado	VMP00SM	espantar
estoy	estoy	VMIP1S0	estar
de	de	SPS00	de
Vs	VSa	NP00000	VSa
	,	Fc	,
degandome	dejándome	VMG0000+PP1CS000	dejar+me
como	como	CS	como
me	me	PP1CS000	me
Dego	dejó	VMIS3S0	dejar
en	en	SPS00	en
esta	esta	DD0FS0	este
carsel	cárcel	NCFS000	cárcel
con	con	SPS00	con
tanto	tanto	DI0MS0	tanto
trabago	trabajo	NCMS000	trabajo
y	y	CC	y
enfermo	enfermo	AQ0MS0	enfermo
y	y	CC	y
con	con	SPS00	con
muha	mucha	DI0FS0	mucho
nesecidad	necesidad	NCFS000	necesidad
	,	Fc	,
no	no	RN	no
aberme	haberme	VAN0000+PP1CS000	haber+me
heho	hecho	VMP0000	hacer
caber	saber	VMN0000	saber
en	en	SPS00	en
que	qué	DT0CN0	qué
termino	término	NCMS000	término
Estan	están	VMIP3P0	estar
alla	allá	RG	allá
los	los	DA0MP0	el
negocios	negocios	NCMP000	negocio
y	y	CC	y
aber	haber	VAN0000	haber
procurado	procurado	VMP0000	procurar
mi	mi	DP1CSS	mi
coltura	soltura	NCFS000	soltura
	,	Fc	,
porque	porque	CS	porque
	,	Fc	,
ci	si	CS	si
de	de	SPS00	de
alla	allá	RG	allá
no	no	RN	no
biene	viene	VMIP3S0	venir
	,	Fc	,
me	me	PP1CS000	me
estare	estaré	VMIF1S0	estar
en	en	SPS00	en
esta	esta	DD0FS0	este
carsel	cárcel	NCFS000	cárcel
toda	toda	DI0FS0	todo
mi	mi	DP1CSS	mi
bida	vida	NCFS000	vida
	,	Fc	,
aunque	aunque	CS	aunque
a	a	SPS00	a
beynte	veinte	Z	20
y	y	CC	y
oho	ocho	Z	8
d	de	SPS00	de
enero	enero	NCMS000	enero
ce	se	P00CN000	se
hizieron	hicieron	VMIS3P0	hacer
ciertas	ciertas	DI0FP0	cierto
deligencias	diligencias	NCFP000	diligencia
y	y	CC	y
al	al	SPS00+DA0MS0	a+el
muhaho	muchacho	NCMS000	muchacho
dieron	dieron	VMIS3P0	dar
tormento	tormento	NCMS000	tormento
el	el	DA0MS0	el
mesmo	mismo	AQ0MS0	mismo
acistente	asistente	NCMS000	asistente
y	y	CC	y
el	el	DA0MS0	el
teniente	teniente	NCMS000	teniente
agilera	Aguilera	NP00000	aguilera
	(	Fba	(
yo	yo	PP1CSN00	yo
mesmo	mismo	AQ0MS0	mismo
precente	presente	AQ0CS0	presente
en	en	SPS00	en
la	la	DA0FS0	el
mesma	misma	AQ0FS0	mismo
cala	sala	NCFS000	sala
