YHus	Yhesús		
	.		
en	En		
Ma	Medina		
dl	del		
Campo	Campo		
	,		
28	28		
de	de		
mayo	mayo		
de	de		
535	535		
Muy	Muy		
vtuoso	virtuoso		
señor	señor		
	.		
de	De		
Roseco	Rioseco		
le	le		
escribi	escribí		
a	a		
VM	VM		
largo	largo		
en	en		
Respuesta	respuesta		
de	de		
la	la		
suya	suya		
de	de		
ii	II		
d	de		
el	el		
ultymo	último		
pasado	pasado		
	.		
asi	Así		
	,		
por	por		
esta	ésta		
no	no		
abra	habrá		
q	que		
le	le		
dezir	decir		
mas	más		
de	de		
coanto	cuanto		
sera	será		
aqui	aquí		
	.		
el	El		
testimonio	testimonio		
d	de		
la	la		
sesta	cesta		
de	de		
ylera	hilera		
para	para		
q	que		
se	se		
aga	haga		
vm	VM		
pagar	pagar		
	,		
mire	mire		
vm	VM		
q	que		
tanvien	también		
vm	VM		
se	se		
podria	podría		
herrar	errar		
	,		
q	que		
	,		
como	como		
vm	VM		
envia	envía		
para	para		
otros	otros		
	,		
se	se		
podria	podría		
trocar	trocar		
la	la		
sesta	cesta		
	.		
por	Por		
ende	ende		
	,		
no	no		
dexe	deje		
d	de		
les	les		
escribir	escribir		
a	a		
las	las		
partes	partes		
miren	miren		
en	en		
llo	ello		
mas	más		
	.		
yo	Yo		
me	me		
tengo	tengo		
por	por		
sierto	cierto		
q	que		
	,		
si	si		
asi	así		
fuese	fuese		
	,		
q	que		
la	la		
parte	parte		
para	para		
agora	ahora		
ya	ya		
le	le		
abra	habrá		
escrito	escrito		
mordiendose	mordiéndose		
a	a		
la	la		
consiençia	conciencia		
	.		
ya	Ya		
le	le		
tengo	tengo		
escrito	escrito		
como	como		
sus	sus		
letras	letras		
se	se		
pagaran	pagarán		
con	con		
mucho	mucho		
onor	honor		
y	y		
tanvien	también		
como	como		
las	las		
cuentas	cuentas		
q	que		
vm	VM		
me	me		
envio	envió		
las	las		
coteje	cotejé		
y	y		
estan	están		
vien	bien		
eçeto	excepto		
en	en		
la	la		
primera	primera		
partida	partida		
de	de		
la	la		
cargazon	cargazón		
	.		
q	Que		
vm	VM		
no	no		
tiene	tiene		
q	que		
entrar	entrar		
ni	ni		
salir	salir		
porq	porque		
de	de		
todo	todo		
le	le		
e	he		
cho	hecho		
bueno	bueno		
al	al		
señor	señor		
myn	Martín		
de	de		
ugarte	Ugarte		
	,		
donde	donde		
veo	veo		
ay	hay		
trabiesa	traviesa		
contra	contra		
mi	mí		
	.		
q	Que		
	,		
a	a		
ser	ser		
asi	así		
	,		
ganaba	ganaba		
yo	yo		
dineros	dineros		
en	en		
ver	ver		
yo	yo		
q	que		
vramd	VM		
con	con		
pensar	pensar		
ser	ser		
asi	así		
se	se		
avra	habrá		
balido	válido		
sobre	sobre		
de	de		
mi	mí		
de	de		
la	la		
suma	suma		
en	en		
las	las		
letras	letras		
pasadas	pasadas		
	.		
y	Y		
	,		
si	si		
asi	así		
es	es		
	,		
no	no		
dexe	deje		
de	de		
azer	hacer		
mençion	mención		
al	al		
señor	señor		
myn	Martín		
ugarte	Ugarte		
como	como		
yo	yo		
reçibo	recibo		
agrabio	agravio		
en	en		
llo	ello		
	,		
caso	caso		
q	que		
el	el		
dicho	dicho		
lo	lo		
eche	eche		
por	por		
alto	alto		
	.		
en	En		
lo	lo		
demas	demás		
	,		
lo	lo		
q	que		
ba	va		
a	a		
decir	decir		
de	de		
sus	sus		
cuents	cuentas		
a	a		
las	las		
mias	mías		
es	es		
poco	poco		
	,		
q	que		
lo	lo		
uno	uno		
es	es		
q	que		
me	me		
pone	pone		
menos	menos		
en	en		
la	la		
roldana	roldana		
q	que		
se	se		
perdio	perdió		
en	en		
la	la		
de	de		
martiarto	Martiartu		
con	con		
ms	mis		
menos	menos		
como	como		
vm	VM		
vera	verá		
por	por		
su	su		
cuenta	cuenta		
	.		
en	En		
lo	lo		
demas	demás		
	,		
hes	es		
lo	lo		
q	que		
ha	ha		
benido	venido		
de	de		
mas	más		
y	y		
de	de		
ms	menos		
	,		
q	que		
la	la		
razon	razón		
de	de		
elo	ello		
se	se		
lo	lo		
he	he		
enviado	enviado		
	,		
de	de		
manera	manera		
q	que		
con	con		
ello	ello		
esta	está		
todo	todo		
vien	bien		
	.		
de	De		
la	la		
cuenta	cuenta		
de	de		
ju	Juan		
lopez	López		
	,		
le	le		
tengo	tengo		
escrito	escrito		
por	por		
la	la		
otra	otra		
como	como		
me	me		
hes	es		
devdor	deudor		
vm	VM		
del	del		
risgo	riesgo		
de	de		
las	las		
libras	libras		
q	que		
d	de		
el	él		
tome	tomé		
	.		
q	Que		
vm	VM		
me	me		
aze	hace		
devdor	deudor		
por	por		
entero	entero		
y	y		
no	no		
he	he		
sido	sido		
ynosente	inocente		
en	en		
no	no		
me	me		
echar	echar		
en	en		
llo	ello		
ast	hasta		
agora	ahora		
	;		
q	que		
bueno	bueno		
seria	sería		
si	si		
es	es		
a	a		
cargo	cargo		
d	de		
el	el		
ju	Juan		
Lopez	López		
y	y		
lo	lo		
ha	ha		
dexado	dejado		
a	a		
disimular	disimular		
	.		
si	Si		
asi	así		
es	es		
	,		
yo	yo		
no	no		
querria	querría		
ser	ser		
hel	él		
por	por		
todos	todos		
los	los		
vienes	bienes		
de	de		
fortuna	fortuna		
	.		
vm	VM		
me	me		
escriba	escriba		
la	la		
razon	razón		
d	de		
llo	ello		
	.		
aqui	Aquí		
sera	será		
una	una		
memoria	memoria		
para	para		
esta	ésta		
de	de		
Junio	junio		
q	que		
montara	montará		
algo	algo		
	.		
y	Y		
agolo	hágolo		
porq	porque		
de	de		
la	la		
de	de		
sete	septiembre		
no	no		
enbiare	enviaré		
a	a		
pedir	pedir		
nada	nada		
si	si		
no	no		
son	son		
las	las		
200	200		
l	libras		
justas	justas		
q	que		
soy	soy		
obligado	obligado		
al	al		
señor	señor		
myn	Martín		
de	de		
ugarte	Ugarte		
	.		
y	Y		
esto	esto		
a	ha		
de	de		
ser	ser		
todo	todo		
en	en		
çera	cera		
	,		
q	que		
lo	lo		
enbie	envié		
a	a		
San	San		
Sabastyan	Sebastián		
para	para		
pamplona	Pamplona		
como	como		
por	por		
las	las		
otras	otras		
le	le		
tengo	tengo		
escrito	escrito		
	.		
si	Si		
no	no		
son	son		
las	las		
dos	dos		
fsa	ferias		
d	de		
esta	esta		
villa	villa		
de	de		
mayo	mayo		
y	y		
otbre	octubre		
	,		
todo	todo		
lo	lo		
demas	demás		
es	es		
poqdad	poquedad		
	.		
