desd	Desde	SPS00	desde
el	el	DA0MS0	el
martes	martes	NCMN000	martes
Aca	acá	RG	acá
e	he	VAIP1S0	haber
scrito	escrito	VMP0000	escribir
otras	otras	DI0FP0	otro
dos	dos	Z	2
beçes	veces	NCFP000	vez
y	y	CC	y
enbiado	enviado	VMP0000	enviar
un	un	DI0MS0	uno
onbre	hombre	NCMS000	hombre
con	con	SPS00	con
ocho	ocho	Z	8
Reales	reales	NCMP000	real
cada	cada	DI0CN0	cada
dia	día	NCMS000	día
	,	Fc	,
qu	que	PR0CN000	que
es	es	VSIP3S0	ser
el	el	DA0MS0	el
cuñado	cuñado	NCMS000	cuñado
de	de	SPS00	de
fraco	Francisco	NP00000	francisco
leal	Leal	NP00000	leal
	,	Fc	,
para	para	SPS00	para
q	que	CS	que
negoçiase	negociase	VMSI0S0	negociar
lo	lo	DA0NS0	el
q	que	PR0CN000	que
por	por	SPS00	por
Alla	allá	RG	allá
vm	VM	NP00000	VM
ubiese	hubiese	VMSI0S0	haber
menester	menester	NCMS000	menester
y	y	CC	y
me	me	PP1CS000	me
Abisase	avisase	VMSI0S0	avisar
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
fuese	fuese	VSSI0S0	ser
menester	menester	NCMS000	menester
	,	Fc	,
de	de	SPS00	de
dineros	dineros	NCMP000	dinero
u	u	CC	o
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
	,	Fc	,
porq	porque	CS	porque
otra	otra	PI0FS000	otro
no	no	RN	no
le	le	PP3CSD00	le
puedo	puedo	VMIP1S0	poder
A	a	SPS00	a
vm	VM	NP00000	VM
ser	ser	VSN0000	ser
de	de	SPS00	de
probecho	provecho	NCMS000	provecho
	.	Fp	.
q	Que	CS	que
debo	debo	VMIP1S0	deber
de	de	SPS00	de
ser	ser	VSN0000	ser
desgraçiada	desgraciada	VMP00SF	desgraciar
	,	Fc	,
porq	porque	CS	porque
A	a	SPS00	a
tres	tres	Z	3
y	y	CC	y
aun	aun	RG	aun
cuatro	cuatro	Z	4
grandes	grandes	NCMP000	grande
d	de	SPS00	de
esta	esta	DD0FS0	este
corte	corte	NCFS000	corte
q	que	PR0CN000	que
e	he	VAIP1S0	haber
Ablablado	hablado	VMP0000	hablar
se	se	P00CN000	se
me	me	PP1CS000	me
an	han	VAIP3P0	haber
escrupulado	escrupuleado	VMP0000	escrupulear
mucho	mucho	RQ	mucho
diçiendo	diciendo	VMG0000	decir
qu	que	CS	que
en	en	SPS00	en
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
cualquiera	cualquiera	DI0CS0	cualquiera
les	les	PP3CPD00	le
mande	mande	VMSP0S0	mandar
y	y	CC	y
no	no	RN	no
en	en	SPS00	en
eso	eso	PD0NN000	eso
	.	Fp	.
creA	Crea	VMSP0S0	creer
vm	VM	NP00000	VM
que	que	CS	que
por	por	SPS00	por
falta	falta	NCFS000	falta
de	de	SPS00	de
dileijençi	diligencia	NCFS000	diligencia
no	no	RN	no
A	ha	VAIP3S0	haber
quedado	quedado	VMP0000	quedar
	,	Fc	,
porque	porque	CS	porque
si	si	CS	si
fuera	fuera	VSSI0S0	ser
por	por	SPS00	por
mi	mi	DP1CSS	mi
padre	padre	NCMS000	padre
propio	propio	AQ0MS0	propio
no	no	RN	no
ubiera	hubiera	VASI0S0	haber
echo	hecho	VMP0000	hacer
mas	más	RC	más
	.	Fp	.
vm	VM	NP00000	VM
tiene	tiene	VMIP3S0	tener
muy	muy	RQ	muy
buenas	buenas	AQ0FP0	bueno
Amegas	amigas	NCFP000	amigo
en	en	SPS00	en
esta	esta	DD0FS0	este
calle	calle	NCFS000	calle
qu	que	PR0CN000	que
el	el	DA0MS0	el
Real	real	NCMS000	real
y	y	CC	y
medio	medio	NCMS000	medio
de	de	SPS00	de
las	las	DA0FP0	el
cartas	cartas	NCFP000	carta
del	del	SPS00+DA0MS0	de+el
biernes	viernes	NCMN000	viernes
no	no	RN	no
quisieron	quisieron	VMIS3P0	querer
pagar	pagar	VMN0000	pagar
	.	Fp	.
y	Y	CC	y
como	como	CS	como
vm	VM	NP00000	VM
se	se	P00CN000	se
ynbio	envió	VMIS3S0	enviar
A	a	SPS00	a
valer	valer	VMN0000	valer
d	de	SPS00	de
ellas	ellas	PP3FP000	ellos
y	y	CC	y
conmigo	conmigo	SPS00+PP1CSO00	con+mí
ya	ya	RG	ya
no	no	RN	no
queria	quería	VMII0S0	querer
nada	nada	PI0NN00N	nada
	,	Fc	,
estube	estuve	VMIS1S0	estar
por	por	SPS00	por
no	no	RN	no
pagallo	pagarlo	VMN0000+PP3MSA00	pagar+lo
	,	Fc	,
pero	pero	CC	pero
tengo	tengo	VMIP1S0	tener
yo	yo	PP1CSN00	yo
mas	más	RC	más
quenta	cuenta	NCFS000	cuenta
con	con	SPS00	con
sus	sus	DP3CP0	su
cosas	cosas	NCFP000	cosa
de	de	SPS00	de
Vm	VM	NP00000	VM
que	que	CS	que
no	no	RN	no
de	de	SPS00	de
quien	quien	PR0CS000	quien
esta	está	VMIP3S0	estar
mas	más	RC	más
confiado	confiado	VMP00SM	confiar
	.	Fp	.
que	Que	CS	que
lo	lo	DA0NS0	el
poco	poco	RQ	poco
que	que	PR0CN000	que
por	por	SPS00	por
Aca	acá	RG	acá
se	se	P00CN000	se
a	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
no	no	RN	no
tiene	tiene	VMIP3S0	tener
que	que	CS	que
Agradeçer	agradecer	VMN0000	agradecer
si	si	CS	si
no	no	RN	no
es	es	VSIP3S0	ser
A	a	SPS00	a
doña	doña	NP00000	don
biolante	Violante	NP00000	violante
y	y	CC	y
a	a	SPS00	a
mi	mi	DP1CSS	mi
casa	casa	NCFS000	casa
	.	Fp	.
juan	Juan	NP00000	juan
catalan	Catalán	NP00000	catalán
A	ha	VMIP3S0	haber
muchos	muchos	DI0MP0	mucho
dias	días	NCMP000	día
que	que	PR0CN000	que
quiere	quiere	VMIP3S0	querer
yr	ir	VMN0000	ir
Alla	allá	RG	allá
y	y	CC	y
en	en	SPS00	en
ninguna	ninguna	DI0FS0	ninguno
manera	manera	NCFS000	manera
le	le	PP3CSD00	le
quieren	quieren	VMIP3P0	querer
dexar	dejar	VMN0000	dejar
yr	ir	VMN0000	ir
	.	Fp	.
y	Y	CC	y
el	él	PP3MS000	él
diçe	dice	VMIP3S0	decir
qu	que	CS	que
enbie	envíe	VMSP0S0	enviar
vm	VM	NP00000	VM
un	un	DI0MS0	uno
porder	poder	NCMS000	poder
u	o	CC	o
carta	carta	NCFS000	carta
suya	suya	PX3FS000	suyo
Adonde	adonde	PA000000	adonde
tiene	tiene	VMIP3S0	tener
sus	sus	DP3CP0	su
dineros	dineros	NCMP000	dinero
para	para	SPS00	para
que	que	CS	que
se	se	PP3CN000	se
los	los	PP3MPA00	lo
ynbien	envíen	VMSP3P0	enviar
	.	Fp	.
pablo	Pablo	NP00000	pablo
diçe	dice	VMIP3S0	decir
que	que	CS	que
le	le	PP3CSD00	le
ybie	envíe	VMSP0S0	enviar
una	una	DI0FS0	uno
carta	carta	NCFS000	carta
y	y	CC	y
algunas	algunas	DI0FP0	alguno
señas	señas	NCFP000	seña
que	que	PR0CN000	que
Ayan	hayan	VASP3P0	haber
pasado	pasado	VMP0000	pasar
entre	entre	SPS00	entre
vm	VM	NP00000	VM
y	y	CC	y
el	él	PP3MS000	él
	,	Fc	,
qu	que	CS	que
el	él	PP3MS000	él
ynbiAbra	enviará	VMIF3S0	enviar
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
que	que	PR0CN000	que
fuere	fuere	VSSF0S0	ser
menester	menester	NCMS000	menester
de	de	SPS00	de
dinero	dinero	NCMS000	dinero
	.	Fp	.
y	Y	CC	y
yo	yo	PP1CSN00	yo
digo	digo	VMIP1S0	decir
que	que	CS	que
	,	Fc	,
mientras	mientras	RG	mientras
yo	yo	PP1CSN00	yo
lo	lo	PP3MSA00	lo
tubiere	tuviere	VMSF0S0	tener
y	y	CC	y
con	con	SPS00	con
quien	quien	PR0CS000	quien
ynbiAllo	enviarlo	VMN0000+PP3MSA00	enviar+lo
	,	Fc	,
no	no	RN	no
le	le	PP3CSD00	le
faltara	faltará	VMIF3S0	faltar
A	a	SPS00	a
vm	VM	NP00000	VM
	.	Fp	.
Al	Al	SPS00+DA0MS0	a+el
presente	presente	NCMS000	presente
no	no	RN	no
me	me	PP1CS000	me
Allo	hallo	VMIP1S0	hallar
con	con	SPS00	con
mas	más	RC	más
dinero	dinero	NCMS000	dinero
	.	Fp	.
ay	Ahí	RG	ahí
l	le	PP3CSD00	le
enbio	envío	VMIP1S0	enviar
dos	dos	Z	2
doblones	doblones	NCMP000	doblón
de	de	SPS00	de
A	a	SPS00	a
dos	dos	Z	2
	.	Fp	.
y	Y	CC	y
escribia	escriba	VMSP0S0	escribir
A	a	SPS00	a
sus	sus	DP3CP0	su
mencos	menos	RC	menos
Amigos	amigos	NCMP000	amigo
que	que	CS	que
no	no	RN	no
le	le	PP3CSD00	le
faltaran	faltarán	VMIF3P0	faltar
dineros	dineros	NCMP000	dinero
	.	Fp	.
la	La	DA0FS0	el
mula	mula	NCFS000	mulo
me	me	PP1CS000	me
ynbie	envíe	VMSP0S0	enviar
vm	VM	NP00000	VM
con	con	SPS00	con
godofre	Godofre	NP00000	godofre
u	o	CC	o
con	con	SPS00	con
uno	uno	Z	1
de	de	SPS00	de
los	los	DA0MP0	el
mensaxeros	mensajeros	NCMP000	mensajero
que	que	PR0CN000	que
yo	yo	PP1CSN00	yo
e	he	VAIP1S0	haber
ynbiado	enviado	VMP0000	enviar
	,	Fc	,
porq	porque	CS	porque
me	me	PP1CS000	me
matan	matan	VMIP3P0	matar
por	por	SPS00	por
ella	ella	PP3FS000	él
y	y	CC	y
por	por	SPS00	por
no	no	RN	no
dar	dar	VMN0000	dar
A	a	SPS00	a
entender	entender	VMN0000	entender
nada	nada	PI0NN00N	nada
digo	digo	VMIP1S0	decir
que	que	CS	que
Aun	aún	RG	aun
no	no	RN	no
A	ha	VAIP3S0	haber
benido	venido	VMP0000	venir
	.	Fp	.
pongase	Póngase	VMSP0S0+P00CN000	poner+se
toda	toda	DI0FS0	todo
la	la	DA0FS0	el
dilijençia	diligencia	NCFS000	diligencia
pusible	posible	AQ0CS0	posible
en	en	SPS00	en
ynbialla	enviarla	VMN0000+PP3FSA00	enviar+lo
	,	Fc	,
porque	porque	CS	porque
tanbien	también	RG	también
dos	dos	Z	2
ReAles	reales	NCMP000	real
cada	cada	DI0CN0	cada
dia	día	NCMS000	día
tan	tan	RC	tan
sin	sin	SPS00	sin
probecho	provecho	NCMS000	provecho
es	es	VSIP3S0	ser
mal	mal	AQ0MS0	mal
negoçio	negocio	NCMS000	negocio
para	para	SPS00	para
quien	quien	PR0CS000	quien
los	los	PP3MPA00	lo
A	ha	VMIP3S0	haber
de	de	SPS00	de
pagar	pagar	VMN0000	pagar
	.	Fp	.
y	Y	CC	y
el	el	DA0MS0	el
ynin	Lignum	NP00000	lignum
cruçes	Crucis	NP00000	crucis
tanbien	también	RG	también
se	se	P00CN000	se
me	me	PP1CS000	me
ynbie	envíe	VMSP0S0	enviar
porque	porque	CS	porque
ynporta	importa	VMIP3S0	importar
	.	Fp	.
nuetro	Nuestro	DP1MSP	nuestro
señor	Señor	NP00000	señor
saque	saque	VMSP0S0	sacar
este	este	DD0MS0	este
negoçio	negocio	NCMS000	negocio
A	a	SPS00	a
buen	buen	AQ0MS0	bueno
puerto	puerto	NCMS000	puerto
por	por	SPS00	por
quien	quien	PR0CS000	quien
el	él	PP3MS000	él
es	es	VSIP3S0	ser
	.	Fp	.
de	De	SPS00	de
madrid	Madrid	NP00000	madrid
	,	Fc	,
oy	hoy	RG	hoy
domingo	domingo	NCMS000	domingo
	.	Fp	.
