muy	Muy	RQ	muy
magca	magnífica	AQ0FS0	magnífico
señora	señora	NP00000	señor
	.	Fp	.
Resyby	Recibí	VMIS1S0	recibir
la	la	DA0FS0	el
carta	carta	NCFS000	carta
de	de	SPS00	de
vramd	VM	NP00000	VM
	.	Fp	.
y	Y	CC	y
espantome	espántome	VMIS3S0+PP1CS000	espantar+me
de	de	SPS00	de
q	que	CS	que
vramd	VM	NP00000	VM
no	no	RN	no
me	me	PP1CS000	me
aga	haga	VMSP0S0	hacer
la	la	DA0FS0	el
md	merced	NCFS000	merced
de	de	SPS00	de
enbyarme	enviarme	VMN0000+PP1CS000	enviar+me
los	los	DA0MP0	el
dozientos	doscientos	Z	200
ducados	ducados	NCMP000	ducado
sabyendo	sabiendo	VMG0000	saber
la	la	DA0FS0	el
necesidad	necesidad	NCFS000	necesidad
en	en	SPS00	en
q	que	CS	que
yo	yo	PP1CSN00	yo
estoy	estoy	VMIP1S0	estar
	,	Fc	,
q	que	CS	que
sy	si	CS	si
no	no	RN	no
la	la	PP3FSA00	lo
tubyera	tuviera	VMSI0S0	tener
no	no	RN	no
fuera	fuera	VSSI0S0	ser
tan	tan	RC	tan
probre	pobre	AQ0CS0	pobre
	.	Fp	.
y	Y	CC	y
por	por	SPS00	por
los	los	DA0MP0	el
demas	demás	NCMS000	demás
yo	yo	PP1CSN00	yo
me	me	PP1CS000	me
aguardara	aguardara	VMSI0S0	aguardar
lo	lo	DA0NS0	el
mas	más	RC	más
q	que	PR0CN000	que
podyera	pudiera	VMSI0S0	poder
	.	Fp	.
yo	Yo	PP1CSN00	yo
hestos	estos	DD0MP0	este
cyento	ciento	Z	100
porq	porque	CS	porque
el	el	DA0MS0	el
mensagero	mensajero	NCMS000	mensajero
se	se	P00CN000	se
agrabe	agrave	VMSP0S0	agravar
o	o	CC	o
de	de	SPS00	de
bolbellos	volverlos	VMN0000+PP3MPA00	volver+lo
a	a	SPS00	a
llebar	llevar	VMN0000	llevar
.	.	Fp	.
soplyco	Suplico	VMIP1S0	suplicar
a	a	SPS00	a
vra	vuestra	DP2FSP	vuestro
md	merced	NCFS000	merced
q	que	CS	que
dende	desde	SPS00	desde
aquy	aquí	RG	aquí
al	al	SPS00+DA0MS0	a+el
domyngo	domingo	NCMS000	domingo
me	me	PP1CS000	me
enbye	envíe	VMSP0S0	enviar
los	los	DA0MP0	el
otros	otros	DI0MP0	otro
cyento	ciento	Z	100
un	un	DI0MS0	uno
d	ducados	NCMP000	ducado
o	o	CC	o
cumpa	cumpla	VMSP0S0	cumplir
esta	esta	DD0FS0	este
paga	paga	NCFS000	paga
	,	Fc	,
q	que	CS	que
por	por	SPS00	por
los	los	DA0MP0	el
demas	demás	NCMS000	demás
yo	yo	PP1CSN00	yo
