Jhs	JHS		
	.		
En	En		
Enberes	Amberes		
	,		
a	a		
12	12		
de	de		
nobri	noviembre		
de	de		
1556	1556		
	.		
sor	Señor		
aquerreta	Aquerreta		
	.		
señors	Señores		
	.		
la	La		
ultima	última		
q	que		
a	a		
vsms	VMs		
escrebi	escribí		
fue	fue		
a	a		
10	10		
del	del		
pasado	pasado		
	.		
y	Y		
lo	lo		
que	que		
mas	más		
ay	hay		
que	que		
dezir	decir		
es	es		
que	que		
el	el		
nabio	navío		
de	de		
bastian	Bastián		
de	de		
billafranca	Villafranca		
llego	llegó		
aqui	aquí		
a	a		
primero	primero		
d	de		
este	éste		
y	y		
traxo	trajo		
menos	menos		
56	56		
s	sacas		
	,		
q	que		
las	las		
hecho	echó		
a	a		
la	la		
mar	mar		
	.		
e	Y		
lo	lo		
demas	demás		
trae	trae		
tan	tan		
maltratado	maltratado		
que	que		
es	es		
manzilla	mancilla		
bello	verlo		
y	y		
los	los		
sacos	sacos		
tan	tan		
rotos	rotos		
que	que		
	,		
pa	para		
remendallo	remendarlo		
y	y		
azer	hacer		
10	10		
s	sacas		
pa	para		
coger	coger		
lo	lo		
que	que		
abia	había		
en	en		
el	el		
suelo	suelo		
	,		
a	ha		
entrado	entrado		
obra	obra		
de	de		
ochenta	ochenta		
anas	anas		
de	de		
cañamaça	cañamazo		
	.		
aqui	Aquí		
ay	hay		
arto	harto		
regaliz	regaliz		
benido	venido		
de	de		
andaluzia	Andalucía		
y	y		
lo	lo		
an	han		
dado	dado		
a	a		
8	8		
s	sueldos		
y	y		
a	a		
8	8		
s	sueldos		
6	6		
a	a		
seys	seis		
meses	meses		
	;		
y	y		
lo	lo		
mesmo	mismo		
a	ha		
hecho	hecho		
geronimo	Gerónimo		
de	de		
cabañas	Cabañas		
lo	lo		
que	que		
de	de		
alla	allá		
ynbiaron	enviaron		
a	a		
cruzat	Cruzat		
	,		
q	que		
lo	lo		
a	ha		
dado	dado		
a	a		
8	8		
s	sueldos		
o	o		
a	a		
8	8		
s	sueldos		
6	6		
a	a		
7	7		
o	u		
8	8		
meses	meses		
	.		
y	Y		
con	con		
esto	esto		
yo	yo		
no	no		
e	he		
podido	podido		
azer	hacer		
lo	lo		
que	que		
quisiera	quisiera		
	.		
y	Y		
por	por		
no	no		
azer	hacer		
costas	costas		
con	con		
ello	ello		
y	y		
tanbien	también		
por	por		
ser	ser		
mercaderia	mercadería		
q	que		
merma	merma		
	,		
lo	lo		
e	he		
bendido	vendido		
a	a		
ju	Juan		
barron	Barrón		
a	a		
10	10		
s	sueldos		
el	el		
quintal	quintal		
a	a		
pagar	pagar		
a	a		
8	8		
meses	meses		
de	de		
tienpo	tiempo		
	,		
que	que		
en	en		
berdad	verdad		
a	ha		
seydo	sido		
desgraçia	desgracia		
en	en		
benir	venir		
tan	tan		
tarde	tarde		
	.		
y	Y		
pues	pues		
no	no		
se	se		
puede	puede		
mas	más		
azer	hacer		
	,		
es	es		
menester	menester		
aber	haber		
paçiençia	paciencia		
.	.		
tanbien	También		
es	es		
llegada	llegada		
la	la		
nao	nao		
de	de		
martin	Martín		
de	de		
anueta	Anueta		
	,		
donde	donde		
bienen	vienen		
86	86		
s	sacas		
	.		
yo	Yo		
e	he		
escrito	escrito		
a	a		
gelanda	Holanda		
lo	lo		
carguen	carguen		
pa	para		
roan	Ruan		
	,		
porque	porque		
alla	allá		
bale	vale		
a	a		
razon	razón		
de	de		
11	11		
s	sueldos		
de	de		
grueso	grueso		
y	y		
no	no		
se	se		
enbia	envía		
alla	allá		
mas	más		
porque	porque		
en	en		
çien	cien		
s	sacas		
ay	hay		
arto	harto		
	.		
de	De		
aqui	aquí		
adelante	adelante		
	,		
no	no		
es	es		
menester	menester		
ynbiar	enviar		
mas	más		
de	de		
obra	obra		
de	de		
600	600		
o	u		
800	800		
quintales	quintales		
	,		
porq	porque		
en	en		
ellos	ellos		
ganaremos	ganaremos		
tanto	tanto		
como	como		
en	en		
2M	2000		
	,		
porque	porque		
beniendo	viniendo		
mucho	mucho		
no	no		
lo	lo		
quieren	quieren		
pagar	pagar		
y	y		
ubiendo	hubiendo		
poco	poco		
paganlo	páganlo		
bien	bien		
	.		
y	Y		
vsms	VMs		
an	han		
de	de		
procurar	procurar		
de	de		
ser	ser		
los	los		
primeros	primeros		
en	en		
enbiallo	enviarlo		
si	si		
quieren	quieren		
açertemos	acertemos		
	.		
y	Y		
lo	lo		
que	que		
de	de		
mi	mi		
parte	parte		
fuere	fuere		
menester	menester		
yo	yo		
se	se		
lo	lo		
remitire	remitiré		
con	con		
tienpo	tiempo		
	,		
de	de		
manera	manera		
que	que		
no	no		
tengan	tengan		
que	que		
agoardar	aguardar		
como	como		
agora	ahora		
	.		
vsms	VMs		
bean	vean		
si	si		
quieren	quieren		
agoardar	aguardar		
por	por		
su	su		
parte	parte		
a	a		
que	que		
se	se		
cobre	cobre		
o	o		
si	si		
quieren	quieren		
les	les		
enbie	envíe		
mercaderias	mercaderías		
	,		
tomadolas	tomándolas		
pa	para		
el	el		
tiempo	tiempo		
	.		
me	Me		
lo	lo		
abisen	avisen		
e	y		
ynbien	envíen		
la	la		
memoria	memoria		
	;		
y	y		
	,		
como	como		
les	les		
e	he		
escrito	escrito		
	,		
quisiendo	quisiendo		
mercaderias	mercaderías		
por	por		
su	su		
cueta	cuenta		
de	de		
aqui	aquí		
adelante	adelante		
me	me		
podran	podrán		
enbiar	enviar		
la	la		
memoria	memoria		
	,		
porque	porque		
por	por		
mi	mi		
cueta	cuenta		
no	no		
las	las		
quiero	quiero		
enbiar	enviar		
asta	hasta		
que	que		
pedro	Pedro		
de	de		
arbieto	Arbieto		
este	esté		
de	de		
assiento	asiento		
.	.		
vsms	VMs		
me	me		
enbien	envíen		
con	con		
el	el		
primero	primero		
la	la		
cargaçon	cargazón		
del	del		
regaliz	regaliz		
ata	hasta		
puesto	puesto		
en	en		
san	San		
sebastian	Sebastián		
y	y		
la	la		
cargazon	cargazón		
jurada	jurada		
pa	para		
cobrar	cobrar		
de	de		
los	los		
aseguradores	aseguradores		
las	las		
53	53		
s	sacas		
	.		
y	Y		
con	con		
lo	lo		
dicho	dicho		
no	no		
se	se		
ofreçe	ofrece		
otro	otro		
que	que		
dezir	decir		
.	.		
nro	Nuestro		
sor	Señor		
goarde	guarde		
a	a		
vsms	VMs		
como	como		
desean	desean		
.	.		
somos	Somos		
a	a		
13	13		
del	del		
dicho	dicho		
.	.		
despues	Después		
d	de		
escrita	escrita		
