muy	Muy	RQ	muy
magco	magnífico	AQ0MS0	magnífico
Señor	señor	NP00000	señor
	.	Fp	.
ya	Ya	RG	ya
vram	VM	NP00000	VM
bei	ve	VMIP3S0	ver
como	como	CS	como
el	el	DA0MS0	el
ynquisidor	inquisidor	NCMS000	inquisidor
me	me	PP1CS000	me
tiene	tiene	VMIP3S0	tener
en	en	SPS00	en
prisiones	prisiones	NCFP000	prisión
diez	diez	Z	10
meses	meses	NCMP000	mes
ha	ha	VMIP3S0	haber
	.	Fp	.
suplico	Suplico	VMIP1S0	suplicar
a	a	SPS00	a
vram	VM	NP00000	VM
	,	Fc	,
por	por	SPS00	por
amor	amor	NCMS000	amor
de	de	SPS00	de
dios	Dios	NP00000	dios
	,	Fc	,
sea	sea	VSSP0S0	ser
serbido	servido	VMP00SM	servir
en	en	SPS00	en
hordenar	ordenar	VMN0000	ordenar
hun	un	DI0MS0	uno
Riquirimiento	requerimiento	NCMS000	requerimiento
pa	para	SPS00	para
que	que	CS	que
mi	mi	DP1CSS	mi
prozeso	proceso	NCMS000	proceso
sea	sea	VSSP0S0	ser
bisto	visto	VMP00SM	ver
en	en	SPS00	en
el	el	DA0MS0	el
consejo	Consejo	NP00000	consejo
	,	Fc	,
pues	pues	CS	pues
tengo	tengo	VMIP1S0	tener
presentada	presentada	VMP00SF	presentar
huna	una	DI0FS0	uno
probision	provisión	NCFS000	provisión
.	.	Fp	.
y	Y	CC	y
si	si	CS	si
no	no	RN	no
quisiere	quisiere	VMSF0S0	querer
darle	darle	VMN0000+PP3CSA00	dar+le
	,	Fc	,
enbiare	enviaré	VMIF1S0	enviar
por	por	SPS00	por
huna	una	DI0FS0	uno
sobrecarta	sobrecarta	NCFS000	sobrecarta
	,	Fc	,
qu	que	CS	que
esperar	esperar	VMN0000	esperar
bien	bien	RG	bien
de	de	SPS00	de
su	su	DP3CS0	su
mano	mano	NCFS000	mano
es	es	VSIP3S0	ser
por	por	SPS00	por
demas	demás	PI0CP000	demás
.	,	Fc	,
hu	o	CC	o
de	de	SPS00	de
la	la	DA0FS0	el
manera	manera	NCFS000	manera
que	que	CS	que
yo	yo	PP1CSN00	yo
tenga	tenga	VMSP0S0	tener
algun	algún	DI0MS0	alguno
Remedio	remedio	NCMS000	remedio
	.	Fp	.
y	Y	CC	y
tanbien	también	RG	también
bera	verá	VMIF3S0	ver
vram	VM	NP00000	VM
como	como	CS	como
alla	allá	RG	allá
se	se	P00CN000	se
bea	vea	VMSP0S0	ver
los	los	DA0MP0	el
agrabios	agravios	NCMP000	agravio
que	que	PR0CN000	que
nos	nos	PP1CP000	nos
aze	hace	VMIP3S0	hacer
a	a	SPS00	a
mi	mí	PP1CSO00	mí
y	y	CC	y
a	a	SPS00	a
mi	mi	DP1CSS	mi
mujer	mujer	NCFS000	mujer
en	en	SPS00	en
tenerla	tenerla	VMN0000+PP3FSA00	tener+lo
desnuda	desnuda	AQ0FSP	desnudo
y	y	CC	y
tomado	tomado	VMP00SM	tomar
su	su	DP3CS0	su
dote	dote	NCCS000	dote
	,	Fc	,
pa	para	SPS00	para
que	que	CS	que
no	no	RN	no
pueda	pueda	VMSP0S0	poder
cobrar	cobrar	VMN0000	cobrar
su	su	DP3CS0	su
saya	saya	NCFS000	saya
	,	Fc	,
esa	esa	DD0FS0	ese
desbentura	desventura	NCFS000	desventura
que	que	PR0CN000	que
le	le	PP3CSD00	le
habia	había	VAII0S0	haber
quedado	quedado	VMP0000	quedar
.	.	Fp	.
por	Por	SPS00	por
serbizio	servicio	NCMS000	servicio
de	de	SPS00	de
dios	Dios	NP00000	dios
nro	Nuestro	DP1MSP	nuestro
señor	Señor	NP00000	señor
lo	lo	PP3CNA00	lo
suplico	suplico	VMIP1S0	suplicar
a	a	SPS00	a
vram	VM	NP00000	VM
	,	Fc	,
porque	porque	CS	porque
de	de	SPS00	de
otra	otra	DI0FS0	otro
manera	manera	NCFS000	manera
yo	yo	PP1CSN00	yo
muero	muero	VMIP1S0	morir
mil	mil	Z	1000
muertes	muertes	NCFP000	muerte
.	.	Fp	.
beso	Beso	VMIP1S0	besar
los	los	DA0MP0	el
pies	pies	NCMP000	pie
a	a	SPS00	a
vram	VM	NP00000	VM
	.	Fp	.
dio	Diego	NP00000	diego
de	de	SPS00	de
arevalo	Arévalo	NP00000	arévalo
