Mi	Mi	DP1CSS	mi
señor	Señor	NP00000	señor
de	De	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
por	por	SPS00	por
aca	acá	RG	acá
pasa	pasa	VMIP3S0	pasar
ago	hago	VMIP1S0	hacer
saber	saber	VMN0000	saber
a	a	SPS00	a
vm	VM	NP00000	VM
que	que	CS	que
el	el	DA0MS0	el
concierto	concierto	NCMS000	concierto
no	no	RN	no
a	ha	VAIP3S0	haber
pasado	pasado	VMP0000	pasar
en	en	SPS00	en
efeto	efecto	NCMS000	efecto
asta	hasta	SPS00	hasta
ora	ahora	RG	ahora
porq	porque	CS	porque
la	la	DA0FS0	el
billa	villa	NCFS000	villa
me	me	PP1CS000	me
pareçe	parece	VMIP3S0	parecer
que	que	CS	que
a	ha	VAIP3S0	haber
ynobado	innovado	VMP0000	innovar
cosas	cosas	NCFP000	cosa
	,	Fc	,
de	de	SPS00	de
lo	lo	DA0NS0	el
qual	cual	PR0CS000	cual
viçente	Vicente	NP00000	vicente
françes	Francés	NP00000	francés
escribe	escribe	VMIP3S0	escribir
a	a	SPS00	a
vm	VM	NP00000	VM
de	de	SPS00	de
todo	todo	PI0MS000	todo
	.	Fp	.
yo	Yo	PP1CSN00	yo
e	he	VAIP1S0	haber
bisitado	visitado	VMP0000	visitar
a	a	SPS00	a
Jeronimo	Jerónimo	NP00000	jerónimo
babli	Baboli	NP00000	baboli
y	y	CC	y
a	a	SPS00	a
los	los	DA0MP0	el
demas	demás	NCMS000	demás
que	que	CS	que
vm	VM	NP00000	VM
me	me	PP1CS000	me
mando	mandó	VMIS3S0	mandar
	.	Fp	.
todos	Todos	PI0MP000	todo
muestran	muestran	VMIP3P0	mostrar
grande	grande	AQ0CS0	grande
aficion	afición	NCFS000	afición
y	y	CC	y
bolunta	voluntad	NCFS000	voluntad
a	a	SPS00	a
las	las	DA0FP0	el
cosas	cosas	NCFP000	cosa
del	del	SPS00+DA0MS0	de+el
serviçio	servicio	NCMS000	servicio
de	de	SPS00	de
vm	VM	NP00000	VM
	.	Fp	.
lo	Lo	DA0NS0	el
que	que	PR0CN000	que
beo	veo	VMIP1S0	ver
es	es	VSIP3S0	ser
q	que	CS	que
a	a	SPS00	a
bicente	Vicente	NP00000	vicente
frances	Francés	NP00000	francés
no	no	RN	no
le	le	PP3CSD00	le
tienen	tienen	VMIP3P0	tener
mui	muy	RQ	muy
buena	buena	AQ0FS0	bueno
bolunta	voluntad	NCFS000	voluntad
	,	Fc	,
porq	porque	CS	porque
l	el	DA0MS0	el
otro	otro	DI0MS0	otro
dia	día	NCMS000	día
	,	Fc	,
ablando	hablando	VMG0000	hablar
con	con	SPS00	con
baboli	Baboli	NP00000	baboli
sobre	sobre	SPS00	sobre
el	el	DA0MS0	el
arendamiento	arrendamiento	NCMS000	arrendamiento
	,	Fc	,
me	me	PP1CS000	me
dixo	dijo	VMIS3S0	decir
que	que	CS	que
bien	bien	RG	bien
abia	había	VMII0S0	haber
personas	personas	NCFP000	persona
en	en	SPS00	en
seros	Serós	NP00000	serós
q	que	CS	que
se	se	P00CN000	se
olgaran	holgaran	VMSI3P0	holgar
de	de	SPS00	de
serbir	servir	VMN0000	servir
a	a	SPS00	a
vm	VM	NP00000	VM
tan	tan	RC	tan
bien	bien	RG	bien
como	como	CS	como
vicente	Vicente	NP00000	vicente
françes	Francés	NP00000	francés
y	y	CC	y
diçiendo	diciendo	VMG0000	decir
q	que	CS	que
	,	Fc	,
si	si	CS	si
vm	VM	NP00000	VM
biniera	viniera	VMSI0S0	venir
	,	Fc	,
q	que	CS	que
ya	ya	RG	ya
estubiera	estuviera	VMSI0S0	estar
echo	hecho	NCMS000	hecho
este	este	DD0MS0	este
negoçio	negocio	NCMS000	negocio
	.	Fp	.
todos	Todos	PI0MP000	todo
piensan	piensan	VMIP3P0	pensar
q	que	CS	que
vicente	Vicente	NP00000	vicente
françes	Francés	NCMS000	francés
tiene	tiene	VMIP3S0	tener
parte	parte	NCFS000	parte
en	en	SPS00	en
ello	ello	PD0NN000	ello
	.	Fp	.
y	Y	CC	y
cierto	cierto	RG	cierto
que	que	CS	que
esta	esta	DD0FS0	este
