YHus	Yhesús	NP00000	yhesús
	.	Fp	.
en	En	SPS00	en
Pamp	Pamplona	NP00000	pamplona
	,	Fc	,
10	10	Z	10
de	de	SPS00	de
mayo	mayo	NCMS000	mayo
de	de	SPS00	de
1541	1541	Z	1541
muy	Muy	RQ	muy
noble	noble	AQ0CS0	noble
señor	señor	NP00000	señor
	.	Fp	.
de	De	SPS00	de
billalon	Villalón	NP00000	villalón
le	le	PP3CSD00	le
escribi	escribí	VMIS1S0	escribir
a	a	SPS00	a
vm	VM	NP00000	VM
larguo	largo	RG	largo
con	con	SPS00	con
el	el	DA0MS0	el
correo	correo	NCMS000	correo
del	del	SPS00+DA0MS0	de+el
despacho	despacho	NCMS000	despacho
de	de	SPS00	de
la	la	DA0FS0	el
heria	feria	NCFS000	feria
	.	Fp	.
asi	Así	RG	así
	,	Fc	,
por	por	SPS00	por
esta	ésta	PD0FS000	este
brebe	breve	RG	breve
sera	será	VSIF3S0	ser
solo	sólo	RG	sólo
por	por	SPS00	por
dezir	decir	VMN0000	decir
a	a	SPS00	a
vm	VM	NP00000	VM
como	como	CS	como
m	me	PP1CS000	me
e	he	VAIP1S0	haber
benydo	venido	VMP0000	venir
por	por	SPS00	por
bia	vía	NCFS000	vía
de	de	SPS00	de
bilbao	Bilbao	NP00000	bilbao
para	para	SPS00	para
my	mi	DP1CSS	mi
casa	casa	NCFS000	casa
	.	Fp	.
que	Que	CS	que
como	como	CS	como
de	de	SPS00	de
la	la	DA0FS0	el
mercaderia	mercadería	NCFS000	mercadería
que	que	PR0CN000	que
me	me	PP1CS000	me
inbio	envió	VMIS3S0	enviar
de	de	SPS00	de
la	la	DA0FS0	el
nabidad	Navidad	NP00000	navidad
benya	venía	VMII0S0	venir
un	un	DI0MS0	uno
pedaço	pedazo	NCMS000	pedazo
en	en	SPS00	en
las	las	DA0FP0	el
primeras	primeras	AO0FP0	primero
naos	naos	NCFP000	nao
y	y	CC	y
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
en	en	SPS00	en
las	las	DA0FP0	el
otras	otras	DI0FP0	otro
naos	naos	NCFP000	nao
que	que	CS	que
agora	ahora	RG	ahora
an	han	VAIP3P0	haber
benydo	venido	VMP0000	venir
	,	Fc	,
que	que	CS	que
por	por	SPS00	por
esperar	esperar	VMN0000	esperar
por	por	SPS00	por
tomar	tomar	VMN0000	tomar
