ya	Ya	RG	ya
estoi	estoy	VMIP1S0	estar
Canso	canso	VMIP1S0	cansar
de	de	SPS00	de
escrebir	escribir	VMN0000	escribir
y	y	CC	y
Con	con	SPS00	con
sobrada	sobrada	VMP00SF	sobrar
de	de	SPS00	de
razon	razón	NCFS000	razón
a	a	SPS00	a
los	los	DA0MP0	el
jurados	jurados	NCMP000	jurado
y	y	CC	y
Consejo	consejo	NCMS000	consejo
	.	Fp	.
y	Y	CC	y
entiendo	entiendo	VMIP1S0	entender
que	que	CS	que
bos	vos	PP2CS000	vos
sois	sois	VSIP2P0	ser
todo	todo	PI0MS000	todo
el	el	DA0MS0	el
pueblo	pueblo	NCMS000	pueblo
	.	Fp	.
y	Y	CC	y
muy	muy	RQ	muy
muchos	muchos	DI0MP0	mucho
años	años	NCMP000	año
ha	ha	VMIP3S0	haber
que	que	CS	que
lo	lo	PP3CNA00	lo
gobernais	gobernáis	VMIP2P0	gobernar
y	y	CC	y
me	me	PP1CS000	me
pareçe	parece	VMIP3S0	parecer
que	que	CS	que
en	en	SPS00	en
gisa	guisa	NCFS000	guisa
de	de	SPS00	de
recuperarlo	recuperarlo	VMN0000+PP3MSA00	recuperar+lo
lo	lo	PP3CNA00	lo
andais	andáis	VMSP2P0	andar
tras	tras	SPS00	tras
de	de	SPS00	de
destruir	destruir	VMN0000	destruir
y	y	CC	y
acabarlo	acabarlo	VMN0000+PP3MSA00	acabar+lo
	,	Fc	,
Como	como	CS	como
se	se	P00CN000	se
bee	ve	VMIP3S0	ver
por	por	SPS00	por
la	la	DA0FS0	el
obra	obra	NCFS000	obra
	.	Fp	.
bastaraos	Bastáraos	NP00000	bastáraos
	,	Fc	,
juan	Juan	NP00000	juan
roio	Royo	NP00000	royo
	,	Fc	,
que	que	CS	que
bos	vos	PP2CS000	vos
i	y	CC	y
el	el	DA0MS0	el
descumugado	descomulgado	VMP00SM	descomulgar
de	de	SPS00	de
Vro	vuestro	DP2MSP	vuestro
hermano	hermano	NCMS000	hermano
Con	con	SPS00	con
otros	otros	DI0MP0	otro
traidores	traidores	AQ0MP0	traidor
habeis	habéis	VAIP2P0	haber
sido	sido	VSP0000	ser
Causa	causa	NCFS000	causa
de	de	SPS00	de
mi	mi	DP1CSS	mi
perdiçion	perdición	NCFS000	perdición
y	y	CC	y
otras	otras	DI0FP0	otro
personas	personas	NCFP000	persona
en	en	SPS00	en
ese	ese	DD0MS0	ese
pueblo	pueblo	NCMS000	pueblo
	.	Fp	.
que	Que	CS	que
no	no	RN	no
eras	eras	VSII2S0	ser
bos	vos	PP2CS000	vos
ni	ni	CC	ni
los	los	DA0MP0	el
que	que	PR0CN000	que
izites	hicistes	VMIS2S0	hacer
tal	tal	DD0CS0	tal
justiçia	justicia	NCFS000	justicia
no	no	RN	no
eras	eras	VSII2S0	ser
dino	digno	AQ0MS0	digno
de	de	SPS00	de
llegar	llegar	VMN0000	llegar
al	al	SPS00+DA0MS0	a+el
su	su	DP3CS0	su
Capato	zapato	NCMS000	zapato
	,	Fc	,
que	que	CS	que
en	en	SPS00	en
onra	honra	NCFS000	honra
y	y	CC	y
bondat	bondad	NCFS000	bondad
y	y	CC	y
bertut	virtud	NCFS000	virtud
balgo	valgo	VMIP1S0	valer
mas	más	RC	más
que	que	CS	que
no	no	RN	no
bos	vos	PP2CS000	vos
y	y	CC	y
todo	todo	PI0MS000	todo
bueso	vuestro	DP2MSP	vuestro
linage	linaje	NCMS000	linaje
	,	Fc	,
juro	juro	NCMS000	juro
a	a	SPS00	a
dios	Dios	NP00000	dios
	.	Fp	.
y	Y	CC	y
miraras	mirarás	VMIF2S0	mirar
que	que	CS	que
en	en	SPS00	en
bos	vos	PP2CS000	vos
habia	había	VMII0S0	haber
y	y	CC	y
en	en	SPS00	en
buesas	vuestras	DP2FPP	vuestro
Cosas	cosas	NCFP000	cosa
arto	harto	RG	harto
que	que	CS	que
dezir	decir	VMN0000	decir
	.	Fp	.
mas	Mas	CC	mas
no	no	RN	no
lo	lo	PP3CNA00	lo
teneis	tenéis	VMIP2P0	tener
de	de	SPS00	de
un	un	DI0MS0	uno
dia	día	NCMS000	día
de	de	SPS00	de
ser	ser	VSN0000	ser
roin	ruin	AQ0CS0	ruin
	,	Fc	,
que	que	CS	que
bien	bien	RG	bien
ha	ha	VMIP3S0	haber
Vente	veinte	Z	20
años	años	NCMP000	año
que	que	CS	que
usais	usáis	VMIP2P0	usar
roindades	ruindades	NCFP000	ruindad
bos	vos	PP2CS000	vos
Con	con	SPS00	con
otros	otros	DI0MP0	otro
tales	tales	DD0CP0	tal
Como	como	CS	como
bos	vos	PP2CS000	vos
	.	Fp	.
y	Y	CC	y
no	no	RN	no
os	os	PP2CP000	os
tengais	tengáis	VMSP2P0	tener
por	por	SPS00	por
injuriado	injuriado	VMP00SM	injuriar
	,	Fc	,
que	que	CS	que
yo	yo	PP1CSN00	yo
estoi	estoy	VMIP1S0	estar
presto	presto	RG	presto
y	y	CC	y
aparejado	aparejado	VMP00SM	aparejar
de	de	SPS00	de
berme	verme	VMN0000+PP1CS000	ver+me
Con	con	SPS00	con
bos	vos	PP2CS000	vos
delante	delante	RG	delante
los	los	DA0MP0	el
juezes	jueces	NCMP000	juez
y	y	CC	y
honbres	hombres	NCMP000	hombre
de	de	SPS00	de
bien	bien	NCMS000	bien
	.	Fp	.
y	Y	CC	y
familiar	familiar	AQ0CS0	familiar
del	del	SPS00+DA0MS0	de+el
santo	Santo	NP00000	santo
ofiçio	Oficio	NP00000	oficio
sois	sois	VSIP2P0	ser
	.	Fp	.
y	Y	CC	y
tanbien	también	RG	también
estoi	estoy	VMIP1S0	estar
presto	presto	RG	presto
y	y	CC	y
aparejado	aparejado	VMP00SM	aparejar
de	de	SPS00	de
berme	verme	VMN0000+PP1CS000	ver+me
Con	con	SPS00	con
bos	vos	PP2CS000	vos
lado	lado	NCMS000	lado
a	a	SPS00	a
lado	lado	NCMS000	lado
Con	con	SPS00	con
bos	vos	PP2CS000	vos
delante	delante	RG	delante
la	la	DA0FS0	el
justiçia	justicia	NCFS000	justicia
que	que	PR0CN000	que
bos	vos	PP2CS000	vos
quereis	queréis	VMIP2P0	querer
en	en	SPS00	en
Caragoça	Zaragoza	NP00000	zaragoza
	.	Fp	.
y	Y	CC	y
beni	venid	VMM02P0	venir
a	a	SPS00	a
Caragoça	Zaragoza	NP00000	zaragoza
y	y	CC	y
aplicame	aplicadme	VMM02P0+PP1CS000	aplicar+me
quantas	cuantas	DT0FP0	cuanto
rabias	rabias	NCFP000	rabia
pudieresdes	pudiéresdes	VMSF2P0	poder
Como	como	CS	como
malo	malo	AQ0MS0	malo
y	y	CC	y
feçinoroso	facineroso	NCMS000	facineroso
que	que	CS	que
sois	sois	VSIP2P0	ser
	.	Fp	.
y	Y	CC	y
azetme	hacedme	VMM02P0+PP1CS000	hacer+me
quastigar	castigar	VMN0000	castigar
	,	Fc	,
q	que	CS	que
yo	yo	PP1CSN00	yo
me	me	PP1CS000	me
defendere	defenderé	VMIF1S0	defender
y	y	CC	y
mas	más	RC	más
	.	Fp	.
