YHus	Yhesús	NP00000	yhesús
	.	Fp	.
en	En	SPS00	en
ma	Medina	NP00000	medina
de	de	SPS00	de
rrioseco	Rioseco	NP00000	rioseco
	,	Fc	,
a	a	SPS00	a
9	9	Z	9
de	de	SPS00	de
ote	octubre	NCMS000	octubre
de	de	SPS00	de
1536	1536	Z	1536
muy	Muy	RQ	muy
birtuoso	virtuoso	AQ0MS0	virtuoso
s	señor	NP00000	señor
	.	Fp	.
con	Con	SPS00	con
4	4	Z	4
cartas	cartas	NCFP000	carta
de	de	SPS00	de
vm	VM	NP00000	VM
me	me	PP1CS000	me
allo	hallo	VMIP1S0	hallar
hechas	hechas	VMP00PF	hacer
en	en	SPS00	en
29	29	Z	29
de	de	SPS00	de
junio	junio	NCMS000	junio
y	y	CC	y
2	2	Z	2
copias	copias	VMIP2S0	copiar
de	de	SPS00	de
30	30	Z	30
de	de	SPS00	de
julio	julio	NCMS000	julio
y	y	CC	y
de	de	SPS00	de
19	19	Z	19
de	de	SPS00	de
agosto	agosto	NCMS000	agosto
	,	Fc	,
q	que	CS	que
por	por	SPS00	por
todas	todas	DI0FP0	todo
me	me	PP1CS000	me
dize	dice	VMIP3S0	decir
no	no	RN	no
a	ha	VAIP3S0	haber
rresçibido	recibido	VMP0000	recibir
nenguna	ninguna	DI0FS0	ninguno
carta	carta	NCFS000	carta
mia	mía	DP1FSS	mío
	,	Fc	,
que	que	CS	que
con	con	SPS00	con
deseo	deseo	NCMS000	deseo
estaba	estaba	VMII0S0	estar
de	de	SPS00	de
la	la	PP3FSA00	lo
ber	ver	VMN0000	ver
.	.	Fp	.
por	Por	SPS00	por
çierto	cierto	AQ0MS0	cierto
	,	Fc	,
s	señor	NP00000	señor
	,	Fc	,
despues	después	RG	después
de	de	SPS00	de
la	la	DA0FS0	el
de	de	SPS00	de
pasquilla	Pascuilla	NP00000	pascuilla
acá	acá	RG	acá
	,	Fc	,
yo	yo	PP1CSN00	yo
le	le	PP3CSD00	le
he	he	VAIP1S0	haber
escrito	escrito	VMP0000	escribir
bien	bien	NCMS000	bien
8	8	Z	8
cartas	cartas	NCFP000	carta
	.	Fp	.
yo	Yo	PP1CSN00	yo
no	no	RN	no
se	sé	VMIP1S0	saber
donde	dónde	PA000000	dónde
se	se	P00CN000	se
unden	hunden	VMIP3P0	hundir
mis	mis	DP1CPS	mi
