mui	Muy	RQ	muy
ylle	ilustre	AQ0CS0	ilustre
señor	señor	NP00000	señor
	.	Fp	.
la	La	DA0FS0	el
merced	merced	NCFS000	merced
que	que	PR0CN000	que
Vm	VM	NP00000	VM
me	me	PP1CS000	me
ha	ha	VMIP3S0	haber
de	de	SPS00	de
hazed	hacer	VMN0000	hacer
Es	es	VSIP3S0	ser
que	que	CS	que
me	me	PP1CS000	me
avise	avise	VMSP0S0	avisar
de	de	SPS00	de
quien	quién	PT0CS000	quién
me	me	PP1CS000	me
tiene	tiene	VMIP3S0	tener
me	mi	DP1CSS	mi
Rosario	rosario	NCMS000	rosario
	;	Fx	;
que	que	CS	que
mas	más	RC	más
lo	lo	PP3MSA00	lo
abre	habré	VMIF1S0	haber
yo	yo	PP1CSN00	yo
menester	menester	NCMS000	menester
que	que	CS	que
quien	quien	PR0CS000	quien
lo	lo	PP3MSA00	lo
tiene	tiene	VMIP3S0	tener
	,	Fc	,
porque	porque	CS	porque
yo	yo	PP1CSN00	yo
como	como	CS	como
Estoy	estoy	VMIP1S0	estar
preso	preso	AQ0MS0	preso
tengo	tengo	VMIP1S0	tener
Lugar	lugar	NCMS000	lugar
de	de	SPS00	de
Rezar	rezar	VMN0000	rezar
y	y	CC	y
no	no	RN	no
El	el	DA0MS0	el
que	que	PR0CN000	que
lo	lo	PP3CNA00	lo
tiene	tiene	VMIP3S0	tener
En	en	SPS00	en
El	el	DA0MS0	el
canpo	campo	NCMS000	campo
	,	Fc	,
que	que	PR0CN000	que
no	no	RN	no
tengdra	tendrá	VMIF3S0	tener
tanto	tanto	DI0MS0	tanto
lugar	lugar	NCMS000	lugar
	.	Fp	.
de	De	SPS00	de
los	los	DA0MP0	el
quatro	cuatro	Z	4
Reales	reales	NCMP000	real
que	que	PR0CN000	que
me	me	PP1CS000	me
dio	dio	VMIS3S0	dar
al	al	SPS00+DA0MS0	a+el
osico	osico	NCMS000	osico
	,	Fc	,
El	el	DA0MS0	el
alcaide	alcaide	NCMS000	alcaide
tomo	tomó	VMIS3S0	tomar
los	los	DA0MP0	el
tres	tres	Z	3
	;	Fx	;
que	que	CS	que
dize	dice	VMIP3S0	decir
El	el	DA0MS0	el
alcayde	alcaide	NCMS000	alcaide
que	que	CS	que
an	han	VMIP3P0	haber
Vm	VM	NP00000	VM
tiene	tiene	VMIP3S0	tener
aca	acá	RG	acá
otros	otros	PI0MP000	otro
no	no	RN	no
se	sé	VMIP1S0	saber
cuantos	cuántos	PT0MP000	cuánto
que	que	PR0CN000	que
dize	dice	VMIP3S0	decir
que	que	CS	que
los	los	PP3MPA00	lo
cobre	cobre	VMSP0S0	cobrar
para	para	SPS00	para
mis	mis	DP1CPS	mi
neçesidades	necesidades	NCFP000	necesidad
	,	Fc	,
que	que	PR0CN000	que
son	son	VSIP3P0	ser
muchas	muchas	PI0FP000	mucho
	,	Fc	,
por	por	SPS00	por
donde	donde	PA000000	donde
yo	yo	PP1CSN00	yo
los	los	PP3MPA00	lo
he	he	VMIP1S0	haber
menester	menester	NCMS000	menester
	,	Fc	,
porque	porque	CS	porque
como	como	CS	como
a	a	SPS00	a
costa	costa	NCFS000	costa
del	del	SPS00+DA0MS0	de+el
Rey	rey	NCMS000	rey
mi	mi	DP1CSS	mi
señor	señor	NP00000	señor
	.	Fp	.
tres	Tres	Z	3
testigos	testigos	NCCP000	testigo
no	no	RN	no
son	son	VSIP3P0	ser
tres	tres	Z	3
testigos	testigos	NCCP000	testigo
sino	sino	CC	sino
trs	tres	Z	3
cueros	cueros	NCMP000	cuero
de	de	SPS00	de
vino	vino	NCMS000	vino
	,	Fc	,
que	que	CS	que
tengo	tengo	VMIP1S0	tener
Esperanza	esperanza	NCFS000	esperanza
En	en	SPS00	en
dios	Dios	NP00000	dios
nro	Nuestro	DP1MSP	nuestro
señor	Señor	NP00000	señor
que	que	CS	que
no	no	RN	no
me	me	PP1CS000	me
an	han	VMIP3P0	haber
de	de	SPS00	de
quemar	quemar	VMN0000	quemar
ni	ni	CCN	ni
azotar	azotar	VMN0000	azotar
tanpoco	tampoco	RG	tampoco
	.	Fp	.
no	No	RN	no
se	sé	VMIP1S0	saber
con	con	SPS00	con
que	qué	PT0CN000	qué
podran	podrán	VMIF3P0	poder
pagar	pagar	VMN0000	pagar
la	la	DA0FS0	el
mala	mala	AQ0FS0	malo
obra	obra	NCFS000	obra
en	en	SPS00	en
que	que	PR0CN000	que
me	me	PP1CS000	me
an	han	VAIP3P0	haber
Echado	echado	VMP0000	echar
por	por	SPS00	por
Esta	esta	DD0FS0	este
provinçia	provincia	NCFS000	provincia
	,	Fc	,
porque	porque	CS	porque
mi	mi	DP1CSS	mi
fama	fama	NCFS000	fama
sonaba	sonaba	VMII0S0	sonar
por	por	SPS00	por
otras	otras	DI0FP0	otro
provinçias	provincias	NCFP000	provincia
	,	Fc	,
porque	porque	CS	porque
al	al	SPS00+DA0MS0	a+el
que	que	PR0CN000	que
duerme	duerme	VMIP3S0	dormir
Es	es	VSIP3S0	ser
menester	menester	NCMS000	menester
Recordar	recordar	VMN0000	recordar
	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
toledo	Toledo	NP00000	toledo
	.	Fp	.
