cara	Cara	AQ0FS0	caro
mujer	mujer	NCFS000	mujer
	.	Fp	.
por	Por	SPS00	por
amor	amor	NCMS000	amor
de	de	SPS00	de
dios	Dios	NP00000	dios
	,	Fc	,
q	que	CS	que
se	se	P00CN000	se
acabe	acabe	VMSP0S0	acabar
ya	ya	RG	ya
la	la	DA0FS0	el
qruelda	crueldad	NCFS000	crueldad
de	de	SPS00	de
buesas	vuestras	PX2FP0P0	vuestro
dañadas	dañadas	VMP00PF	dañar
entrañas	entrañas	NCFP000	entraña
con	con	SPS00	con
qien	quien	PR0CS000	quien
tan	tan	RC	tan
poco	poco	RQ	poco
os	os	PP2CP000	os
lo	lo	PP3CNA00	lo
mereçio	mereció	VMIS3S0	merecer
	.	Fp	.
bista	Vista	VMP00SF	ver
la	la	DA0FS0	el
presente	presente	AQ0CS0	presente
os	os	PP2CP000	os
berneis	vendréis	VMIF2P0	venir
con	con	SPS00	con
el	el	DA0MS0	el
harriero	arriero	NCMS000	arriero
q	que	PR0CN000	que
ba	va	VMIP3S0	ir
i	y	CC	y
biene	viene	VMIP3S0	venir
a	a	SPS00	a
granada	Granada	NP00000	granada
	,	Fc	,
porq	porque	CS	porque
no	no	RN	no
haciendolo	haciéndolo	VMG0000+PP3CNA00	hacer+lo
entendere	entenderé	VMIF1S0	entender
lo	lo	DA0NS0	el
q	que	PR0CN000	que
todo	todo	DI0MS0	todo
el	el	DA0MS0	el
mundo	mundo	NCMS000	mundo
me	me	PP1CS000	me
diçe	dice	VMIP3S0	decir
	.	Fp	.
y	Y	CC	y
toma	tomad	VMM02P0	tomar
un	un	DI0MS0	uno
ermano	hermano	NCMS000	hermano
de	de	SPS00	de
los	los	DA0MP0	el
vuestros	vuestros	PX2MP0P0	vuestro
y	y	CC	y
benios	veníos	VMM02P0+PP2CP000	venir+os
con	con	SPS00	con
el	él	PP3MS000	él
	,	Fc	,
porq	porque	CS	porque
donde	donde	PA000000	donde
no	no	RN	no
los	los	DA0MP0	el
q	que	PR0CN000	que
os	os	PP2CP000	os
aconsejaren	aconsejaren	VMSF3P0	aconsejar
q	que	CS	que
no	no	RN	no
bengais	vengáis	VMSP2P0	venir
podra	podrá	VMIF3S0	poder
ser	ser	VSN0000	ser
q	que	CS	que
no	no	RN	no
rremedien	remedien	VMSP3P0	remediar
el	el	DA0MS0	el
mal	mal	NCMS000	mal
q	que	PR0CN000	que
os	os	PP2CP000	os
podra	podrá	VMIF3S0	poder
benir	venir	VMN0000	venir
	.	Fp	.
en	En	SPS00	en
demas	demás	DI0CP0	demás
dineros	dineros	NCMP000	dinero
y	y	CC	y
esclabas	esclavas	NCFP000	esclavo
teneies	tenéis	VMIP2P0	tener
para	para	SPS00	para
bibir	vivir	VMN0000	vivir
	.	Fp	.
en	En	SPS00	en
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
aca	acá	RG	acá
esta	está	VMIP3S0	estar
bueso	vuestro	DP2MSP	vuestro
primo	primo	NCMS000	primo
per	Pero	NP00000	pero
albarez	Álvarez	NP00000	álvarez
y	y	CC	y
tiene	tiene	VMIP3S0	tener
quatro	cuatro	Z	4
esclabas	esclavas	NCFP000	esclavo
y	y	CC	y
otras	otras	DI0FP0	otro
muchas	muchas	DI0FP0	mucho
señoras	señoras	NCFP000	señor
d	de	SPS00	de
esa	esa	DD0FS0	ese
tierra	tierra	NCFS000	tierra
q	que	PR0CN000	que
se	se	P00CN000	se
an	han	VAIP3P0	haber
benido	venido	VMP0000	venir
con	con	SPS00	con
sus	sus	DP3CP0	su
maridos	maridos	NCMP000	marido
	.	Fp	.
ansi	Así	RG	así
podreis	podréis	VMIF2P0	poder
bos	vos	PP2CS000	vos
haçer	hacer	VMN0000	hacer
si	si	CS	si
os	os	PP2CP000	os
diere	diere	VMSF0S0	dar
bolunta	voluntad	NCFS000	voluntad
	;	Fx	;
y	y	CC	y
si	si	CS	si
no	no	RN	no
	,	Fc	,
yo	yo	PP1CSN00	yo
os	os	PP2CP000	os
digo	digo	VMIP1S0	decir
q	que	CS	que
bibira	vivirá	VMIF3S0	vivir
harto	harto	RG	harto
poco	poco	RQ	poco
el	el	DA0MS0	el
q	que	PR0CN000	que
no	no	RN	no
biere	viere	VMSF0S0	ver
acabado	acabado	VMP00SM	acabar
el	el	DA0MS0	el
pleito	pleito	NCMS000	pleito
q	que	PR0CN000	que
entre	entre	SPS00	entre
mi	mí	PP1CSO00	mí
y	y	CC	y
bos	vos	PP2CS000	vos
ai	hay	VMIP3S0	haber
	.	Fp	.
y	Y	CC	y
mira	mirad	VMM02P0	mirar
bien	bien	RG	bien
lo	lo	DA0NS0	el
q	que	PR0CN000	que
haçeys	hacéis	VMIP2P0	hacer
	.	Fp	.
no	No	RN	no
tengo	tengo	VMIP1S0	tener
mas	más	RC	más
q	que	CS	que
deçir	decir	VMN0000	decir
	.	Fp	.
de	De	SPS00	de
granada	Granada	NP00000	granada
	,	Fc	,
a	a	SPS00	a
deçieis	dieciséis	Z	16
de	de	SPS00	de
Junio	junio	NCMS000	junio
año	año	NCMS000	año
de	de	SPS00	de
157	157	Z	157
	.	Fp	.
no	No	RN	no
enbio	envío	VMIP1S0	enviar
a	a	SPS00	a
nadie	nadie	PI0NN00N	nadie
encomiendas	encomiendas	NCFP000	encomienda
porq	porque	CS	porque
todos	todos	PI0MP000	todo
son	son	VSIP3P0	ser
traidores	traidores	AQ0MP0	traidor
	.	Fp	.
buestro	Vuestro	DP2MSP	vuestro
desdichado	desdichado	AQ0MS0	desdichado
marido	marido	NCMS000	marido
q	que	PR0CN000	que
a	ha	VMIP3S0	haber
de	de	SPS00	de
morir	morir	VMN0000	morir
por	por	SPS00	por
bos	vos	PP2CS000	vos
	,	Fc	,
andres	Andrés	NP00000	andrés
de	de	SPS00	de
çepeda	Cepeda	NP00000	cepeda
negrete	Negrete	NP00000	negrete
