Mi	Mi	DP1CSS	mi
señor	Señor	NP00000	señor
	.	Fp	.
El	El	DA0MS0	el
arendamiento	arrendamiento	NCMS000	arrendamiento
me	me	PP1CS000	me
pareçe	parece	VMIP3S0	parecer
que	que	CS	que
se	se	P00CN000	se
a	ha	VAIP3S0	haber
concluydo	concluido	VMP0000	concluir
	,	Fc	,
a	a	SPS00	a
dios	Dios	NP00000	dios
gratias	gracias	NCFP000	gracia
	,	Fc	,
aunque	aunque	CS	aunque
por	por	SPS00	por
la	la	DA0FS0	el
de	de	SPS00	de
vm	VM	NP00000	VM
beo	veo	VMIP1S0	ver
lo	lo	DA0NS0	el
poco	poco	RQ	poco
q	que	PR0CN000	que
lo	lo	PP3CNA00	lo
deseaba	deseaba	VMII0S0	desear
	.	Fp	.
ello	Ello	PD0NN000	ello
esta	está	VAIP3S0	estar
eho	hecho	VMP00SM	hacer
	.	Fp	.
plegue	Plegue	VMSP0S0	placer
a	a	SPS00	a
dios	Dios	NP00000	dios
q	que	CS	que
lo	lo	PP3CNA00	lo
acabe	acabe	VMSP0S0	acabar
vm	VM	NP00000	VM
con	con	SPS00	con
salu	salud	NCFS000	salud
y	y	CC	y
aumento	aumento	NCMS000	aumento
	.	Fp	.
la	La	DA0FS0	el
billa	villa	NCFS000	villa
a	ha	VAIP3S0	haber
dado	dado	VMP0000	dar
todo	todo	DI0MS0	todo
el	el	DA0MS0	el
trigo	trigo	NCMS000	trigo
que	que	PR0CN000	que
tenia	tenía	VMII0S0	tener
	,	Fc	,
q	que	CS	que
son	son	VSIP3P0	ser
45	45	Z	45
cargas	cargas	NCFP000	carga
y	y	CC	y
el	el	DA0MS0	el
paniço	panizo	NCMS000	panizo
q	que	PR0CN000	que
tenia	tenía	VMII0S0	tener
	.	Fp	.
aora	Ahora	RG	ahora
s	se	P00CN000	se
entiende	entiende	VMIP3S0	entender
en	en	SPS00	en
cobrar	cobrar	VMN0000	cobrar
por	por	SPS00	por
las	las	DA0FP0	el
eras	eras	NCFP000	era
los	los	DA0MP0	el
paniços	panizos	NCMP000	panizo
	.	Fp	.
ya	Ya	RG	ya
viçente	Vicente	NP00000	vicente
françes	Francés	NP00000	francés
abra	habrá	VAIF3S0	haber
escrito	escrito	VMP0000	escribir
a	a	SPS00	a
vm	VM	NP00000	VM
la	la	DA0FS0	el
bellaqueria	bellaquería	NCFS000	bellaquería
de	de	SPS00	de
grabiel	Gabriel	NP00000	gabriel
amiret	Amiret	NP00000	amiret
de	de	SPS00	de
quererse	quererse	VMN0000+P00CN000	querer+se
alçar	alzar	VMN0000	alzar
con	con	SPS00	con
el	el	DA0MS0	el
rendamiento	arrendamiento	NCMS000	arrendamiento
	.	Fp	.
y	Y	CC	y
corbet	Corbet	NP00000	corbet
Jeronimo	Jerónimo	NP00000	jerónimo
baboli	Baboli	NP00000	baboli
no	no	RN	no
se	se	P00CN000	se
señalaba	señalaba	VMII0S0	señalar
muccho	mucho	RQ	mucho
	,	Fc	,
pero	pero	CC	pero
yo	yo	PP1CSN00	yo
aseguro	aseguro	VMIP1S0	asegurar
a	a	SPS00	a
vm	VM	NP00000	VM
q	que	CS	que
a	ha	VAIP3S0	haber
eho	hecho	VMP0000	hacer
lo	lo	DA0NS0	el
que	que	PR0CN000	que
a	ha	VAIP3S0	haber
podido	podido	VMP0000	poder
	.	Fp	.
de	De	SPS00	de
mal	mal	NCMS000	mal
en	en	SPS00	en
estos	éstos	PD0MP000	este
no	no	RN	no
ay	hay	VMIP3S0	haber
q	que	CS	que
fiar	fiar	VMN0000	fiar
	,	Fc	,
aunq	aunque	CS	aunque
el	él	PP3MS000	él
me	me	PP1CS000	me
deçia	decía	VMII0S0	decir
a	a	SPS00	a
mi	mí	PP1CSO00	mí
q	que	CS	que
reñia	reñía	VMII0S0	reñir
con	con	SPS00	con
el	el	DA0MS0	el
gobernador	gobernador	NCMS000	gobernador
y	y	CC	y
con	con	SPS00	con
los	los	DA0MP0	el
del	del	SPS00+DA0MS0	de+el
consejo	consejo	NCMS000	consejo
	.	Fp	.
el	El	DA0MS0	el
señor	Señor	NP00000	señor
don	don	NP00000	don
juan	Juan	NP00000	juan
lo	lo	PP3CNA00	lo
a	ha	VAIP3S0	haber
eho	hecho	VMP0000	hacer
muy	muy	RQ	muy
bien	bien	RG	bien
	,	Fc	,
porq	porque	CS	porque
a	a	SPS00	a
la	la	DA0FS0	el
billa	villa	NCFS000	villa
le	le	PP3CSD00	le
conbenia	convenía	VMII0S0	convenir
	.	Fp	.
de	De	SPS00	de
nuebo	nuevo	AQ0MS0	nuevo
no	no	RN	no
tengo	tengo	VMIP1S0	tener
q	que	CS	que
azer	hacer	VMN0000	hacer
a	a	SPS00	a
saber	saber	VMN0000	saber
a	a	SPS00	a
vm	VM	NP00000	VM
	.	Fp	.
nuestro	Nuestro	DP1MSP	nuestro
señor	Señor	NP00000	señor
guarde	guarde	VMSP0S0	guardar
la	la	DA0FS0	el
muy	muy	RQ	muy
Ille	ilustre	AQ0CS0	ilustre
persona	persona	NCFS000	persona
de	de	SPS00	de
vm	VM	NP00000	VM
con	con	SPS00	con
toda	toda	DI0FS0	todo
su	su	DP3CS0	su
casa	casa	NCFS000	casa
como	como	CS	como
este	este	DD0MS0	este
criado	criado	NCMS000	criado
lo	lo	PP3CNA00	lo
dessea	desea	VMIP3S0	desear
	.	Fp	.
de	De	SPS00	de
seros	Serós	NP00000	serós
	,	Fc	,
a	a	SPS00	a
7	7	Z	7
de	de	SPS00	de
otubre	octubre	NCMS000	octubre
de	de	SPS00	de
1589	1589	Z	1589
	.	Fp	.
su	Su	DP3CS0	su
criado	criado	NCMS000	criado
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
adrian	Adrián	NP00000	adrián
de	de	SPS00	de
la	la	DA0FS0	el
fuente	Fuente	NP00000	fuente
