ille	Ilustre	AQ0CS0	ilustre
sor	señor	NP00000	señor
	.	Fp	.
despues	Después	RG	después
q	que	CS	que
vm	VM	NP00000	VM
se	se	P00CN000	se
fue	fue	VMIS3S0	ir
he	he	VAIP1S0	haber
escrito	escrito	VMP0000	escribir
otra	otra	DI0FS0	otro
ca	carta	NCFS000	carta
sin	sin	SPS00	sin
esta	ésta	PD0FS000	este
en	en	SPS00	en
Respuesta	respuesta	NCFS000	respuesta
de	de	SPS00	de
la	la	DA0FS0	el
q	que	PR0CN000	que
vm	VM	NP00000	VM
me	me	PP1CS000	me
Escribio	escribió	VMIS3S0	escribir
de	de	SPS00	de
Santa	Santa	NP00000	santo
	.	Fp	.
y	Y	CC	y
siempre	siempre	RG	siempre
q	que	CS	que
ubiere	hubiere	VMSF0S0	haber
mensajero	mensajero	NCMS000	mensajero
nuevo	nuevo	AQ0MS0	nuevo
lo	lo	PP3CNA00	lo
hare	haré	VMIF1S0	hacer
y	y	CC	y
en	en	SPS00	en
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
pliegos	pliegos	NCMP000	pliego
q	que	PR0CN000	que
hiziere	hiciere	VMSF0S0	hacer
siempre	siempre	RG	siempre
yran	irán	VMIF3P0	ir
cas	cartas	NCFP000	carta
pa	para	SPS00	para
vm	VM	NP00000	VM
	,	Fc	,
porq	porque	CS	porque
se	sé	VMIP1S0	saber
q	que	CS	que
de	de	SPS00	de
tantos	tantos	DI0MP0	tanto
trabajos	trabajos	NCMP000	trabajo
y	y	CC	y
enojos	enojos	NCMP000	enojo
como	como	CS	como
En	en	SPS00	en
Esta	esta	DD0FS0	este
tierra	tierra	NCFS000	tierra
tan	tan	RC	tan
sin	sin	SPS00	sin
causa	causa	NCFS000	causa
vm	VM	NP00000	VM
Recibio	recibió	VMIS3S0	recibir
q	que	CS	que
	,	Fc	,
de	de	SPS00	de
ber	ver	VMN0000	ver
lo	lo	DA0NS0	el
q	que	PR0CN000	que
aca	acá	RG	acá
pasa	pasa	VMIP3S0	pasar
y	y	CC	y
saberlo	saberlo	VMN0000+PP3MSA00	saber+lo
por	por	SPS00	por
cartas	cartas	NCFP000	carta
de	de	SPS00	de
honvres	hombres	NCMP000	hombre
verdaderos	verdaderos	NCMP000	verdadero
	,	Fc	,
tendra	tendrá	VMIF3S0	tener
algun	algún	DI0MS0	alguno
contentamyento	contentamiento	NCMS000	contentamiento
	;	Fx	;
Espesialmente	especialmente	RG	especialmente
de	de	SPS00	de
my	mí	PP1CSO00	mí
	,	Fc	,
q	que	CS	que
sabe	sabe	VMIP3S0	saber
vm	VM	NP00000	VM
q	que	CS	que
se	se	P00CN000	se
le	le	PP3CSD00	le
