muy	Muy	RQ	muy
magco	magnífico	AQ0MS0	magnífico
señor	señor	NP00000	señor
	.	Fp	.
la	La	DA0FS0	el
m	merced	NCFS000	merced
que	que	PR0CN000	que
se	se	P00CN000	se
me	me	PP1CS000	me
ha	ha	VMIP3S0	haber
de	de	SPS00	de
azer	hacer	VMN0000	hacer
do	do	NCMS000	do
quiera	quiera	VMSP0S0	querer
q	que	CS	que
vramd	VM	NP00000	VM
topare	topare	VMSF0S0	topar
a	a	SPS00	a
Ju	Juan	NP00000	juan
fernandez	Fernández	NP00000	fernández
	,	Fc	,
escribano	escribano	NCMS000	escribano
q	que	PR0CN000	que
fue	fue	VMIS3S0	ir
del	del	SPS00+DA0MS0	de+el
cabildo	cabildo	NCMS000	cabildo
de	de	SPS00	de
lima	Lima	NP00000	lima
	,	Fc	,
	(	Fba	(
allarse	hallarse	VMN0000+P00CN000	hallar+se
a	ha	VMIP3S0	haber
	,	Fc	,
a	a	SPS00	a
mi	mi	DP1CSS	mi
pareser	parecer	NCMS000	parecer
	,	Fc	,
en	en	SPS00	en
panama	Panamá	NP00000	panamá
u	o	CC	o
en	en	SPS00	en
sevilla	Sevilla	NP00000	sevilla
	)	Fbt	)
pedirle	pedirle	VMN0000+PP3CSD00	pedir+le
delante	delante	RG	delante
de	de	SPS00	de
la	la	DA0FS0	el
Justicia	justicia	NCFS000	justicia
una	una	DI0FS0	uno
baserica	vaserica	NCFS000	vaserica
de	de	SPS00	de
plata	plata	NCFS000	plata
que	que	CS	que
balia	valía	NCFS000	valía
quinze	quince	Z	15
u	o	CC	o
veynte	veinte	Z	20
pos	pesos	NCMP000	peso
	,	Fc	,
que	que	CS	que
yo	yo	PP1CSN00	yo
le	le	PP3CSD00	le
enbie	envié	VMIS1S0	enviar
a	a	SPS00	a
el	el	DA0MS0	el
propio	propio	NCMS000	propio
pa	para	SPS00	para
q	que	CS	que
la	la	PP3FSA00	lo
diese	diese	VMSI0S0	dar
a	a	SPS00	a
una	una	DI0FS0	uno
señora	señora	NCFS000	señor
en	en	SPS00	en
lyma	Lima	NP00000	lima
y	y	CC	y
no	no	RN	no
la	la	PP3FSA00	lo
dio	dio	VMIS3S0	dar
	.	Fp	.
y	Y	CC	y
escribiome	escribiome	VMIS3S0+PP1CS000	escribir+me
q	que	CS	que
se	se	PP3CN000	se
la	la	PP3FSA00	lo
llevaba	llevaba	VMII0S0	llevar
a	a	SPS00	a
espana	España	NP00000	españa
	.	Fp	.
y	Y	CC	y
la	la	DA0FS0	el
c	carta	NCFS000	carta
que	que	PR0CN000	que
m	me	PP1CS000	me
escribio	escribió	VMIS3S0	escribir
va	va	VMIP3S0	ir
Con	con	SPS00	con
esta	ésta	PD0FS000	este
	.	Fp	.
mas	Más	RC	más
que	que	CS	que
de	dé	VMSP0S0	dar
Cuenta	cuenta	NCFS000	cuenta
desotra	desotra	SPS00	desotra
baseryca	vaserica	NCFS000	vaserica
q	que	PR0CN000	que
tomo	tomó	VMIS3S0	tomar
de	de	SPS00	de
Casa	casa	NCFS000	casa
Ro	Rodrigo	NP00000	rodrigo
de	de	SPS00	de
morales	Morales	NP00000	morales
	,	Fc	,
que	que	CS	que
balia	valía	NCFS000	valía
a	a	SPS00	a
treynta	treinta	Z	30
pos	pesos	NCMP000	peso
	,	Fc	,
y	y	CC	y
diez	diez	Z	10
u	o	CC	o
doze	doce	Z	12
pos	pesos	NCMP000	peso
d	de	SPS00	de
estanpas	estampas	NCFP000	estampa
de	de	SPS00	de
oro	oro	NCMS000	oro
y	y	CC	y
otros	otros	PI0MP000	otro
no	no	RN	no
se	sé	VMIP1S0	saber
Cuantos	cuántos	DT0MP0	cuánto
pos	pesos	NCMP000	peso
d	de	SPS00	de
estanpas	estampas	NCFP000	estampa
de	de	SPS00	de
plata	plata	NCFS000	plata
	.	Fp	.
darse	Darse	VMN0000+P00CN000	dar+se
a	ha	VMIP3S0	haber
esta	esta	DD0FS0	este
baRilla	barrilla	NCFS000	barrilla
de	de	SPS00	de
plata	plata	NCFS000	plata
y	y	CC	y
a	a	SPS00	a
mi	mi	DP1CSS	mi
madre	madre	NCFS000	madre
Catalina	Catalina	NP00000	catalina
de	de	SPS00	de
tores	Torres	NP00000	torres
	,	Fc	,
mujer	mujer	NCFS000	mujer
del	del	SPS00+DA0MS0	de+el
alcayde	alcaide	NCMS000	alcaide
franco	Francisco	NP00000	francisco
de	de	SPS00	de
toRes	Torres	NP00000	torres
	,	Fc	,
mi	mi	DP1CSS	mi
padre	padre	NCMS000	padre
	,	Fc	,
q	que	PR0CN000	que
aya	haya	VMSP0S0	haber
gloria	gloria	NCFS000	gloria
	.	Fp	.
y	Y	CC	y
fue	fue	VMIS3S0	ir
alCayde	alcaide	NCMS000	alcaide
en	en	SPS00	en
espinosa	Espinosa	NP00000	espinosa
y	y	CC	y
Enares	Henares	NP00000	henares
del	del	SPS00+DA0MS0	de+el
duque	duque	NCMS000	duque
del	del	SPS00+DA0MS0	de+el
ynfantasgo	infantazgo	NCMS000	infantazgo
	,	Fc	,
quatro	cuatro	Z	4
leguas	leguas	NCFP000	legua
de	de	SPS00	de
guadalajara	Guadalajara	NP00000	guadalajara
	.	Fp	.
y	Y	CC	y
por	por	SPS00	por
estas	estas	DD0FP0	este
señas	señas	NCFP000	seña
escrybiendo	escribiendo	VMG0000	escribir
vm	VM	NP00000	VM
a	a	SPS00	a
Robledillo	Robledillo	NP00000	robledillo
	,	Fc	,
q	que	CS	que
s	es	VSIP3S0	ser
donde	donde	PA000000	donde
Reside	reside	VMIP3S0	residir
mi	mi	DP1CSS	mi
madre	madre	NCFS000	madre
	(	Fba	(
valla	vaya	VMSP0S0	ir
la	la	DA0FS0	el
de	de	SPS00	de
enares	Henares	NP00000	henares
a	a	SPS00	a
mi	mi	DP1CSS	mi
hero	hermano	NP00000	hermano
mylchyor	Melchor	NP00000	melchor
de	de	SPS00	de
torres	Torres	NP00000	torres
	)	Fbt	)
	,	Fc	,
allara	hallará	VMIF3S0	hallar
vm	VM	NP00000	VM
luego	luego	RG	luego
Rastro	rastro	NCMS000	rastro
d	de	SPS00	de
ellos	ellos	PP3MP000	ellos
	.	Fp	.
y	Y	CC	y
darse	darse	VMN0000+P00CN000	dar+se
a	ha	VMIP3S0	haber
y	y	CC	y
plata	plata	NCFS000	plata
	.	Fp	.
y	Y	CC	y
mandara	mandará	VMIF3S0	mandar
vm	VM	NP00000	VM
se	se	P00CN000	se
digan	digan	VMSP3P0	decir
Cinquenta	cincuenta	Z	50
misas	misas	NCFP000	misa
por	por	SPS00	por
el	el	DA0MS0	el
anyma	ánima	NCFS000	ánima
de	de	SPS00	de
my	mi	DP1CSS	mi
padre	padre	NCMS000	padre
	.	Fp	.
y	Y	CC	y
la	la	DA0FS0	el
demas	demás	NCMS000	demás
plata	plata	NCFS000	plata
d	de	SPS00	de
esto	esto	PD0NN000	esto
y	y	CC	y
de	de	SPS00	de
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
q	que	PR0CN000	que
se	se	P00CN000	se
a	ha	VMIP3S0	haber
de	de	SPS00	de
cobrar	cobrar	VMN0000	cobrar
de	de	SPS00	de
Ju	Juan	NP00000	juan
de	de	SPS00	de
paez	Páez	NP00000	páez
	,	Fc	,
q	que	CS	que
fue	fue	VMIS3S0	ir
de	de	SPS00	de
aqui	aquí	RG	aquí
a	a	SPS00	a
sebilla	Sevilla	NP00000	sevilla
	,	Fc	,
q	que	CS	que
llevo	llevó	VMIS3S0	llevar
mios	míos	PX1MP0S0	mío
ochenta	ochenta	Z	80
pos	pesos	NCMP000	peso
de	de	SPS00	de
buen	buen	AQ0MS0	bueno
saco	saco	NCMS000	saco
con	con	SPS00	con
quatro	cuatro	Z	4
u	o	CC	o
seys	seis	Z	6
pos	pesos	NCMP000	peso
pa	para	SPS00	para
costas	costas	NCFP000	costa
	.	Fp	.
y	Y	CC	y
de	de	SPS00	de
po	Pedro	NP00000	pedro
de	de	SPS00	de
quyros	Quirós	NP00000	quirós
	,	Fc	,
que	que	CS	que
fue	fue	VMIS3S0	ir
d	de	SPS00	de
esta	esta	DD0FS0	este
tierra	tierra	NCFS000	tierra
a	a	SPS00	a
toledo	Toledo	NP00000	toledo
	(	Fba	(
tenya	tenía	VMII0S0	tener
un	un	DI0MS0	uno
dedo	dedo	NCMS000	dedo
menos	menos	RC	menos
en	en	SPS00	en
una	una	DI0FS0	uno
mano	mano	NCFS000	mano
	)	Fbt	)
se	se	P00CN000	se
a	ha	VMIP3S0	haber
de	de	SPS00	de
Cobrar	cobrar	VMN0000	cobrar
çiento	ciento	Z	100
y	y	CC	y
desiseys	dieciséis	Z	16
pos	pesos	NCMP000	peso
de	de	SPS00	de
plata	plata	NCFS000	plata
ensayada	ensayada	VMP00SF	ensayar
	.	Fp	.
y	Y	CC	y
d	de	SPS00	de
estos	estos	DD0MP0	este
q	que	PR0CN000	que
vm	VM	NP00000	VM
lleva	lleva	VMIP3S0	llevar
y	y	CC	y
de	de	SPS00	de
los	los	DA0MP0	el
q	que	PR0CN000	que
dycho	dicho	VMP00SM	decir
tengo	tengo	VMIP1S0	tener
	,	Fc	,
sy	si	CS	si
no	no	RN	no
se	se	P00CN000	se
ubieren	hubieren	VASF3P0	haber
dado	dado	VMP0000	dar
y	y	CC	y
vm	VM	NP00000	VM
los	los	PP3MPA00	lo
mandara	mandara	VMSI0S0	mandar
cobrar	cobrar	VMN0000	cobrar
u	o	CC	o
cobrare	cobrare	VMSF0S0	cobrar
	,	Fc	,
en	en	SPS00	en
lugar	lugar	NCMS000	lugar
de	de	SPS00	de
av	haber	VAN0000	haber
sido	sido	VSP00SM	ser
dios	Dios	NP00000	dios
svido	servido	VMP00SM	servir
de	de	SPS00	de
llevar	llevar	VMN0000	llevar
a	a	SPS00	a
my	mi	DP1CSS	mi
madre	madre	NCFS000	madre
	,	Fc	,
se	se	P00CN000	se
aran	harán	VMIF3P0	hacer
por	por	SPS00	por
ella	ella	PP3FS000	él
otras	otras	DI0FP0	otro
