señor	Señor	NP00000	señor
	.	Fp	.
aina	Aína	RG	aína
me	me	PP1CS000	me
corriera	corriera	VMSI0S0	correr
oi	hoy	RG	hoy
con	con	SPS00	con
el	el	DA0MS0	el
credito	crédito	NCMS000	crédito
que	que	CS	que
a	a	SPS00	a
mi	mi	DP1CSS	mi
corrimiento	corrimiento	NCMS000	corrimiento
Vm	VM	NP00000	VM
ame	hame	VAIP3S0+PP1CS000	haber+me
dado	dado	VMP0000	dar
	.	Fp	.
i	Y	CC	y
si	si	CS	si
io	yo	PP1CSN00	yo
uviera	hubiera	VASI0S0	haber
tenido	tenido	VMP0000	tener
lugar	lugar	NCMS000	lugar
de	de	SPS00	de
çierto	cierto	AQ0MS0	cierto
	,	Fc	,
que	que	CS	que
no	no	RN	no
uviera	hubiera	VASI0S0	haber
yncurrido	incurrido	VMP0000	incurrir
en	en	SPS00	en
la	la	DA0FS0	el
mala	mala	AQ0FS0	malo
criança	crianza	NCFS000	crianza
de	de	SPS00	de
que	que	CS	que
con	con	SPS00	con
rraçon	razón	NCFS000	razón
e	he	VAIP1S0	haber
sido	sido	VSP0000	ser
notado	notado	VMP00SM	notar
	,	Fc	,
pero	pero	CC	pero
como	como	CS	como
nra	nuestra	DP1FSP	nuestro
conversaçion	conversación	NCFS000	conversación
pase	pase	VMSP0S0	pasar
adelante	adelante	RG	adelante
satisfare	satisfaré	VMIF1S0	satisfacer
en	en	SPS00	en
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
que	que	PR0CN000	que
vm	VM	NP00000	VM
me	me	PP1CS000	me
mandare	mandare	VMSF0S0	mandar
	.	Fp	.
i	Y	CC	y
no	no	RN	no
seran	serán	VSIF3P0	ser
estas	estas	DD0FP0	este
palabras	palabras	NCFP000	palabra
de	de	SPS00	de
cunplimiento	cumplimiento	NCMS000	cumplimiento
	,	Fc	,
mas	mas	CC	mas
efetuarlas	efectuarlas	VMN0000+PP3FPA00	efectuar+lo
e	he	VMIP1S0	haber
con	con	SPS00	con
obras	obras	NCFP000	obra
	,	Fc	,
como	como	CS	como
vm	VM	NP00000	VM
vera	verá	VMIF3S0	ver
mandandome	mandándome	VMG0000+PP1CS000	mandar+me
	.	Fp	.
y	Y	CC	y
si	si	CS	si
en	en	SPS00	en
algun	algún	DI0MS0	alguno
descuido	descuido	NCMS000	descuido
caio	cayó	VMIS3S0	caer
sebastian	Sebastián	NP00000	sebastián
	,	Fc	,
aqui	aquí	RG	aquí
estoi	estoy	VMIP1S0	estar
yo	yo	PP1CSN00	yo
para	para	SPS00	para
pagarlo	pagarlo	VMN0000+PP3MSA00	pagar+lo
	.	Fp	.
por	Por	SPS00	por
eso	eso	PD0NN000	eso
vm	VM	NP00000	VM
se	se	P00CN000	se
vengue	vengue	VMSP0S0	vengar
en	en	SPS00	en
mi	mí	PP1CSO00	mí
	,	Fc	,
que	que	CS	que
	,	Fc	,
como	como	CS	como
mejor	mejor	RC	mejor
sabe	sabe	VMIP3S0	saber
	,	Fc	,
frater	frater	NP00000	frater
est	est	NP00000	est
	,	Fc	,
alter	alter	VMN0000	alter
ego	ego	NCMS000	ego
	.	Fp	.
y	Y	CC	y
aunq	aunque	CS	aunque
a	ha	VAIP3S0	haber
andado	andado	VMP0000	andar
un	un	DI0MS0	uno
poco	poco	RQ	poco
destraido	distraído	NCMS000	distraído
	,	Fc	,
en	en	SPS00	en
conoçerse	conocerse	VMN0000+P00CN000	conocer+se
pareçe	parece	VMIP3S0	parecer
q	que	CS	que
se	se	P00CN000	se
le	le	PP3CSD00	le
puede	puede	VMIP3S0	poder
perdonar	perdonar	VMN0000	perdonar
qualquiera	cualquiera	PI0CS000	cualquiera
yerro	yerro	NCMS000	yerro
pasado	pasado	VMP00SM	pasar
	.	Fp	.
y	Y	CC	y
si	si	CS	si
alguna	alguna	DI0FS0	alguno
cosa	cosa	NCFS000	cosa
a	ha	VMIP3S0	haber
menester	menester	NCMS000	menester
en	en	SPS00	en
q	que	CS	que
yo	yo	PP1CSN00	yo
le	le	PP3CSD00	le
pueda	pueda	VMSP0S0	poder
servir	servir	VMN0000	servir
	,	Fc	,
no	no	RN	no
ai	hay	VMIP3S0	haber
para	para	SPS00	para
que	que	CS	que
comigo	conmigo	SPS00+PP1CSO00	con+mí
s	se	P00CN000	se
escuse	excuse	VMSP0S0	excusar
	,	Fc	,
que	que	CS	que
por	por	SPS00	por
lo	lo	DA0NS0	el
dicho	dicho	VMP00SM	decir
y	y	CC	y
por	por	SPS00	por
lo	lo	DA0NS0	el
que	que	PR0CN000	que
de	de	SPS00	de
Vm	VM	NP00000	VM
e	he	VAIP1S0	haber
visto	visto	VMP0000	ver
y	y	CC	y
conoçido	conocido	VMP0000	conocer
lo	lo	PP3CNA00	lo
hare	haré	VMIF1S0	hacer
sine	sine	SPS00	sine
dubio	dubio	NCMS000	dubio
	.	Fp	.
y	Y	CC	y
porq	porque	CS	porque
en	en	SPS00	en
esto	esto	PD0NN000	esto
no	no	RN	no
ai	hay	VMIP3S0	haber
para	para	SPS00	para
que	qué	PT0CN000	qué
mas	mas	CC	mas
alargar	alargar	VMN0000	alargar
la	la	DA0FS0	el
mano	mano	NCFS000	mano
	,	Fc	,
porque	porque	CS	porque
tentando	tentando	VMG0000	tentar
conoçera	conocerá	VMIF3S0	conocer
lo	lo	DA0NS0	el
qu	que	PR0CN000	que
en	en	SPS00	en
mi	mí	PP1CSO00	mí
ai	hay	VMIP3S0	haber
	,	Fc	,
çeso	ceso	VMIP1S0	cesar
	.	Fp	.
en	En	SPS00	en
lo	lo	DA0NS0	el
que	que	PR0CN000	que
yo	yo	PP1CSN00	yo
a	a	SPS00	a
Vm	VM	NP00000	VM
ynportuno	importuno	AQ0MS0	importuno
y	e	CC	y
inportunare	importunaré	VMIF1S0	importunar
debaxo	debajo	RG	debajo
de	de	SPS00	de
fe	fe	NCFS000	fe
de	de	SPS00	de
quien	quien	PR0CS000	quien
Vm	VM	NP00000	VM
es	es	VSIP3S0	ser
	,	Fc	,
que	que	CS	que
por	por	SPS00	por
cosas	cosas	NCFP000	cosa
qu	que	CS	que
entre	entre	SPS00	entre
mi	mí	PP1CSO00	mí
y	y	CC	y
vm	VM	NP00000	VM
pasen	pasen	VMSP3P0	pasar
no	no	RN	no
se	se	P00CN000	se
a	ha	VMIP3S0	haber
de	de	SPS00	de
descubrir	descubrir	VMN0000	descubrir
ni	ni	CC	ni
escrevir	escribir	VMN0000	escribir
a	a	SPS00	a
otra	otra	DI0FS0	otro
persona	persona	NCFS000	persona
	,	Fc	,
preçipue	precipue	CS	precipue
a	a	SPS00	a
la	la	DA0FS0	el
veçina	vecina	NCFS000	vecino
	,	Fc	,
porq	porque	CS	porque
seria	sería	VSIC0S0	ser
echallo	echarlo	VMN0000+PP3MSA00	echar+lo
en	en	SPS00	en
la	la	DA0FS0	el
calle	calle	NCFS000	calle
	.	Fp	.
digo	Digo	VMIP1S0	decir
el	el	DA0MS0	el
thema	tema	NCMS000	tema
sobre	sobre	SPS00	sobre
que	que	CS	que
a	ha	VMIP3S0	haber
de	de	SPS00	de
discantar	discantar	VMN0000	discantar
en	en	SPS00	en
metro	metro	NCMS000	metro
	,	Fc	,
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
mas	más	RC	más
elegante	elegante	SPS00	elegante
q	que	CS	que
ser	ser	VSN0000	ser
pueda	pueda	VMSP0S0	poder
	.	Fp	.
y	Y	CC	y
	,	Fc	,
por	por	SPS00	por
dios	Dios	NP00000	dios
	,	Fc	,
qu	que	CS	que
e	he	VAIP1S0	haber
stado	estado	VMP0000	estar
determinado	determinado	VMP00SM	determinar
de	de	SPS00	de
no	no	RN	no
escrevirlo	escribirlo	VMN0000+PP3CNA00	escribir+lo
a	a	SPS00	a
Vm	VM	NP00000	VM
hasta	hasta	SPS00	hasta
tener	tener	VMN0000	tener
esta	esta	DD0FS0	este
palabra	palabra	NCFS000	palabra
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
pero	pero	CC	pero
	,	Fc	,
sabiendo	sabiendo	VMG0000	saber
yo	yo	PP1CSN00	yo
quien	quien	PR0CS000	quien
vm	VM	NP00000	VM
sea	sea	VSSP0S0	ser
	,	Fc	,
e	he	VAIP1S0	haber
acordado	acordado	VMP0000	acordar
de	de	SPS00	de
fiarme	fiarme	VMN0000+PP1CS000	fiar+me
de	de	SPS00	de
Vm	VM	NP00000	VM
con	con	SPS00	con
el	el	DA0MS0	el
