muy	Muy	RQ	muy
magco	magnífico	AQ0MS0	magnífico
señor	señor	NP00000	señor
juan	Juan	NP00000	juan
roio	Royo	NP00000	royo
	.	Fp	.
ya	Ya	RG	ya
estais	estáis	VMIP2P0	estar
abisado	avisado	VMP0000	avisar
y	y	CC	y
entendida	entendida	VMP00SF	entender
mi	mi	DP1CSS	mi
boluntat	voluntad	NCFS000	voluntad
no	no	RN	no
tengo	tengo	VMIP1S0	tener
mas	más	RC	más
que	que	CS	que
dezir	decir	VMN0000	decir
	.	Fp	.
sienpre	Siempre	RG	siempre
recebire	recibiré	VMIF1S0	recibir
m	merced	NCFS000	merced
en	en	SPS00	en
que	que	CS	que
os	os	PP2CP000	os
allegueis	alleguéis	VMSP2P0	allegar
a	a	SPS00	a
Caragoça	Zaragoza	NP00000	zaragoza
	.	Fp	.
y	Y	CC	y
dareis	daréis	VMIF2P0	dar
Vra	vuestra	DP2FSP	vuestro
raçon	razón	NCFS000	razón
	;	Fx	;
yo	yo	PP1CSN00	yo
la	la	DA0FS0	el
mia	mía	PX1FS0S0	mío
	,	Fc	,
delante	delante	RG	delante
la	la	DA0FS0	el
justiçia	justicia	NCFS000	justicia
	.	Fp	.
que	Que	CS	que
bos	vos	PP2CS000	vos
quereis	queréis	VMIP2P0	querer
que	que	CS	que
en	en	SPS00	en
buesa	vuestra	DP2FSP	vuestro
mano	mano	NCFS000	mano
dexo	dejo	VMIP1S0	dejar
el	el	DA0MS0	el
pan	pan	NCMS000	pan
y	y	CC	y
el	el	DA0MS0	el
cogilo	cogerlo	VMN0000+PP3MSA00	coger+lo
y	y	CC	y
Corta	corta	AQ0FS0	corto
Como	como	CS	como
os	os	PP2CP000	os
pariçiere	pareciere	VMSF0S0	parecer
	,	Fc	,
que	que	CS	que
io	yo	PP1CSN00	yo
ire	iré	VMIF1S0	ir
a	a	SPS00	a
Vro	vuestro	DP2MSP	vuestro
lado	lado	NCMS000	lado
y	y	CC	y
os	os	PP2CP000	os
llebare	llevaré	VMIF1S0	llevar
a	a	SPS00	a
la	la	DA0FS0	el
mano	mano	NCFS000	mano
drecha	derecha	NCFS000	derecha
a	a	SPS00	a
bos	vos	PP2CS000	vos
y	y	CC	y
a	a	SPS00	a
quantos	cuantos	PR0MP000	cuanto
Vinieren	vinieren	VMSF3P0	venir
Con	con	SPS00	con
bos	vos	PP2CS000	vos
	.	Fp	.
y	Y	CC	y
azetme	hacedme	VMM02P0+PP1CS000	hacer+me
Castigar	castigar	VMN0000	castigar
	,	Fc	,
q	que	CS	que
io	yo	PP1CSN00	yo
me	me	PP1CS000	me
defendere	defenderé	VMIF1S0	defender
	.	Fp	.
y	Y	CC	y
me	me	PP1CS000	me
hareis	haréis	VMIF2P0	hacer
mucho	mucho	DI0MS0	mucho
plazer	placer	NCMS000	placer
y	y	CC	y
serbiçio	servicio	NCMS000	servicio
que	que	CS	que
Vengais	vengáis	VMSP2P0	venir
bos	vos	PP2CS000	vos
en	en	SPS00	en
persona	persona	NCFS000	persona
propria	propia	AQ0FS0	propio
y	y	CC	y
quantos	cuantos	PR0MP000	cuanto
quisieres	quisieres	VMSF2S0	querer
Con	con	SPS00	con
bos	vos	PP2CS000	vos
	.	Fp	.
y	Y	CC	y
benga	venga	VMSP0S0	venir
mi	mi	DP1CSS	mi
sobrino	sobrino	NCMS000	sobrino
pascual	Pascual	NP00000	pascual
	,	Fc	,
que	que	CS	que
en	en	SPS00	en
Caragoça	Zaragoza	NP00000	zaragoza
se	se	P00CN000	se
a	ha	VAIP3S0	haber
dexado	dejado	VMP0000	dejar
a	a	SPS00	a
dezir	decir	VMN0000	decir
algunas	algunas	DI0FP0	alguno
Cosas	cosas	NCFP000	cosa
	,	Fc	,
que	que	CS	que
io	yo	PP1CSN00	yo
os	os	PP2CP000	os
llebare	llevaré	VMIF1S0	llevar
a	a	SPS00	a
la	la	DA0FS0	el
mano	mano	NCFS000	mano
derecha	derecha	NCFS000	derecha
Con	con	SPS00	con
toda	toda	DI0FS0	todo
onra	honra	NCFS000	honra
y	y	CC	y
Virtut	virtud	NCFS000	virtud
	.	Fp	.
que	Que	CS	que
io	yo	PP1CSN00	yo
juro	juro	VMIP1S0	jurar
a	a	SPS00	a
dios	Dios	NP00000	dios
que	que	CS	que
con	con	SPS00	con
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
que	que	PR0CN000	que
abeis	habéis	VAIP2P0	haber
echo	hecho	VMP0000	hacer
que	que	CS	que
tengo	tengo	VMIP1S0	tener
mas	más	RC	más
onra	honra	NCFS000	honra
que	que	CS	que
todo	todo	PI0MS000	todo
Vro	vuestro	DP2MSP	vuestro
linage	linaje	NCMS000	linaje
	.	Fp	.
y	Y	CC	y
pues	pues	CS	pues
soi	soy	VSIP1S0	ser
Cierto	cierto	AQ0MS0	cierto
no	no	RN	no
soi	soy	VSIP1S0	ser
mas	más	RC	más
largo	largo	RG	largo
	.	Fp	.
xpo	XPO	NP00000	xpo
Con	con	SPS00	con
todos	todos	PI0MP000	todo
	.	Fp	.
amen	Amén	I	amén
	.	Fp	.
oi	Hoy	RG	hoy
a	a	SPS00	a
5	5	Z	5
de	de	SPS00	de
febrero	febrero	NCMS000	febrero
del	del	SPS00+DA0MS0	de+el
año	año	NCMS000	año
de	de	SPS00	de
1595	1595	Z	1595
años	años	NCMP000	año
	.	Fp	.
i	Y	CC	y
os	os	PP2CP000	os
prometo	prometo	VMIP1S0	prometer
de	de	SPS00	de
ir	ir	VMN0000	ir
Con	con	SPS00	con
bos	vos	PP2CS000	vos
delante	delante	RG	delante
los	los	DA0MP0	el
inquisidores	inquisidores	NCMP000	inquisidor
	,	Fc	,
que	que	CS	que
por	por	SPS00	por
dos	dos	Z	2
justiçias	justicias	NCFP000	justicia
os	os	PP2CP000	os
amenaço	amenazo	VMIP1S0	amenazar
por	por	SPS00	por
la	la	DA0FS0	el
de	de	SPS00	de
dios	Dios	NP00000	dios
y	y	CC	y
del	del	SPS00+DA0MS0	de+el
rei	rey	NCMS000	rey
	.	Fp	.
domingo	Domingo	NP00000	domingo
escolan	Escolán	NP00000	escolán
besa	besa	VMIP3S0	besar
las	las	DA0FP0	el
manos	manos	NCFP000	mano
a	a	SPS00	a
Vm	VM	NP00000	VM
	.	Fp	.
y	Y	CC	y
guardaos	guardaos	NCMP000	guardao
de	de	SPS00	de
la	la	DA0FS0	el
union	unión	NCFS000	unión
y	y	CC	y
Concordia	concordia	NCFS000	concordia
	,	Fc	,
que	que	CS	que
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
q	que	PR0CN000	que
pueda	pueda	VMSP0S0	poder
are	haré	VMIF1S0	hacer
	.	Fp	.
