señor	Señor	NP00000	señor
	.	Fp	.
suplicoos	Suplícoos	VMIP1S0+PP2CP000	suplicar+os
q	que	CS	que
para	para	SPS00	para
mañana	mañana	RG	mañana
martes	martes	NCMN000	martes
me	me	PP1CS000	me
aparejes	aparejes	VMSP2S0	aparejar
de	de	SPS00	de
comer	comer	VMN0000	comer
dos	dos	Z	2
pares	pares	NCMP000	par
de	de	SPS00	de
perdizes	perdices	NCFP000	perdiz
y	y	CC	y
un	un	DI0MS0	uno
par	par	NCMS000	par
de	de	SPS00	de
pollas	pollas	NCFP000	polla
moças	mozas	AQ0FP0	mozo
y	y	CC	y
vaca	vaca	NCFS000	vaca
y	y	CC	y
carnero	carnero	NCMS000	carnero
	.	Fp	.
y	Y	CC	y
aya	haya	VMSP0S0	haber
majar	manjar	NCMS000	manjar
blaco	blanco	AQ0MS0	blanco
	.	Fp	.
fruta	Fruta	NCFS000	fruta
para	para	SPS00	para
enpeçar	empezar	VMN0000	empezar
y	y	CC	y
acabar	acabar	VMN0000	acabar
	.	Fp	.
y	Y	CC	y
este	esté	VMSP0S0	estar
aparejado	aparejado	VMP00SM	aparejar
a	a	SPS00	a
las	las	DA0FP0	el
diez	diez	Z	10
en	en	SPS00	en
puto	punto	NCMS000	punto
	.	Fp	.
vino	Vino	NCMS000	vino
fresco	fresco	AQ0MS0	fresco
y	y	CC	y
agua	agua	NCCS000	agua
fria	fría	AQ0FS0	frío
	,	Fc	,
y	y	CC	y
la	la	DA0FS0	el
pieça	pieza	NCFS000	pieza
rregada	regada	VMP00SF	regar
	.	Fp	.
