Rmo	Reverendísimo	AQSMS0	reverendo
señor	señor	NP00000	señor
	.	Fp	.
la	La	DA0FS0	el
presente	presente	AQ0CS0	presente
sera	será	VSIF3S0	ser
para	para	SPS00	para
azer	hacer	VMN0000	hacer
saber	saber	VMN0000	saber
a	a	SPS00	a
Vs	VSa	NP00000	VSa
	,	Fc	,
lo	lo	DA0NS0	el
primero	primero	RG	primero
	,	Fc	,
que	que	CS	que
yo	yo	PP1CSN00	yo
e	he	VAIP1S0	haber
rrezebido	recibido	VMP0000	recibir
todas	todas	DI0FP0	todo
las	las	DA0FP0	el
cartas	cartas	NCFP000	carta
que	que	PR0CN000	que
Vs	VSa	NP00000	VSa
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
enbiado	enviado	VMP0000	enviar
y	y	CC	y
entendera	entenderá	VMIF3S0	entender
Vs	VSa	NP00000	VSa
que	que	CS	que
no	no	RN	no
las	las	PP3FPA00	lo
e	he	VAIP1S0	haber
rrezebido	recibido	VMP0000	recibir
por	por	SPS00	por
no	no	RN	no
aber	haber	VAN0000	haber
rrespondido	respondido	VMP0000	responder
a	a	SPS00	a
ellas	ellas	PP3FP000	ellos
	.	Fp	.
la	La	DA0FS0	el
causa	causa	NCFS000	causa
a	ha	VAIP3S0	haber
sydo	sido	VSP0000	ser
	:	Fd	:
lo	lo	DA0NS0	el
uno	uno	PI0MS000	uno
	,	Fc	,
por	por	SPS00	por
aber	haber	VAN0000	haber
estado	estado	VMP0000	estar
sienpre	siempre	RG	siempre
enfermo	enfermo	AQ0MS0	enfermo
	;	Fx	;
lo	lo	DA0NS0	el
otro	otro	PI0MS000	otro
	,	Fc	,
por	por	SPS00	por
no	no	RN	no
aber	haber	VMN0000	haber
cosa	cosa	NCFS000	cosa
de	de	SPS00	de
nuebo	nuevo	AQ0MS0	nuevo
que	que	PR0CN000	que
azer	hacer	VMN0000	hacer
saber	saber	VMN0000	saber
a	a	SPS00	a
Vs	VSa	NP00000	VSa
	.	Fp	.
y	Y	CC	y
lo	lo	DA0NS0	el
que	que	PR0CN000	que
aora	ahora	RG	ahora
ay	hay	VMIP3S0	haber
de	de	SPS00	de
nuebo	nuevo	AQ0MS0	nuevo
es	es	VSIP3S0	ser
qu	que	CS	que
este	este	DD0MS0	este
otro	otro	DI0MS0	otro
dya	día	NCMS000	día
bino	vino	VMIS3S0	venir
el	el	DA0MS0	el
xuez	juez	NCMS000	juez
de	de	SPS00	de
la	la	DA0FS0	el
ylglesia	Iglesia	NP00000	iglesia
a	a	SPS00	a
esta	esta	DD0FS0	este
carzel	cárcel	NCFS000	cárcel
y	y	CC	y
rretyfico	ratificó	VMIS3S0	ratificar
a	a	SPS00	a
martyn	Martín	NP00000	martín
y	y	CC	y
al	al	SPS00+DA0MS0	a+el
paxe	paje	NP00000	paje
luqillas	Luquillas	NP00000	luquillas
	;	Fx	;
y	y	CC	y
a	a	SPS00	a
mi	mí	PP1CSO00	mí
ni	ni	CCN	ni
a	a	SPS00	a
lorenzillo	Lorencillo	NP00000	lorencillo
no	no	RN	no
nos	nos	PP1CP000	nos
an	han	VAIP3P0	haber
dicho	dicho	VMP0000	decir
cosa	cosa	NCFS000	cosa
ninguna	ninguna	DI0FS0	ninguno
ni	ni	CCN	ni
an	han	VAIP3P0	haber
buelto	vuelto	VMP0000	volver
mas	más	RC	más
a	a	SPS00	a
la	la	DA0FS0	el
carzel	cárcel	NCFS000	cárcel
	.	Fp	.
yo	Yo	PP1CSN00	yo
estoy	estoy	VMIP1S0	estar
espantado	espantado	VMP00SM	espantar
de	de	SPS00	de
ber	ver	VMN0000	ver
que	qué	DT0CN0	qué
tan	tan	RC	tan
largo	largo	AQ0MS0	largo
ba	va	VMIP3S0	ir
este	este	DD0MS0	este
negozio	negocio	NCMS000	negocio
	,	Fc	,
qu	que	CS	que
estando	estando	VMG0000	estar
yo	yo	PP1CSN00	yo
dado	dado	VMP00SM	dar
por	por	SPS00	por
lybre	libre	AQ0CS0	libre
seis	seis	Z	6
meses	meses	NCMP000	mes
a	ha	VMIP3S0	haber
	,	Fc	,
	¿	Fia	¿
que	qué	PT0CN000	qué
quieren	quieren	VMIP3P0	querer
de	de	SPS00	de
mi	mí	PP1CSO00	mí
	?	Fit	?
	,	Fc	,
	¿	Fia	¿
como	cómo	PA000000	cómo
no	no	RN	no
me	me	PP1CS000	me
sueltan	sueltan	VMIP3P0	soltar
	?	Fit	?
Vs	VSa	NP00000	VSa
me	me	PP1CS000	me
abise	avise	VMSP0S0	avisar
lo	lo	DA0NS0	el
que	que	PR0CN000	que
ay	hay	VMIP3S0	haber
de	de	SPS00	de
nuebo	nuevo	AQ0MS0	nuevo
por	por	SPS00	por
alla	allá	RG	allá
	,	Fc	,
porque	porque	CS	porque
sera	será	VSIF3S0	ser
para	para	SPS00	para
mi	mí	PP1CSO00	mí
gran	gran	AQ0CS0	gran
contento	contento	NCMS000	contento
	,	Fc	,
y	y	CC	y
alibiar	aliviar	VMN0000	aliviar
mi	mi	DP1CSS	mi
prisio	prisión	NCFS000	prisión
	.	Fp	.
y	Y	CC	y
estoy	estoy	VMIP1S0	estar
muy	muy	RQ	muy
espantado	espantado	VMP00SM	espantar
que	que	CS	que
en	en	SPS00	en
tanto	tanto	DI0MS0	tanto
tyenpo	tiempo	NCMS000	tiempo
no	no	RN	no
me	me	PP1CS000	me
aya	haya	VASP0S0	haber
socorrido	socorrido	VMP0000	socorrer
Vs	VSa	NP00000	VSa
con	con	SPS00	con
un	un	DI0MS0	uno
rreal	real	NCMS000	real
	,	Fc	,
sabiendo	sabiendo	VMG0000	saber
por	por	SPS00	por
mis	mis	DP1CPS	mi
cartas	cartas	NCFP000	carta
la	la	DA0FS0	el
nezesidad	necesidad	NCFS000	necesidad
que	que	PR0CN000	que
yo	yo	PP1CSN00	yo
e	he	VAIP1S0	haber
pasado	pasado	VMP0000	pasar
y	y	CC	y
paso	paso	VMIP1S0	pasar
en	en	SPS00	en
esta	esta	DD0FS0	este
carzel	cárcel	NCFS000	cárcel
y	y	CC	y
que	que	CS	que
de	de	SPS00	de
granada	Granada	NP00000	granada
no	no	RN	no
me	me	PP1CS000	me
an	han	VAIP3P0	haber
socorrido	socorrido	VMP0000	socorrer
	,	Fc	,
si	si	CS	si
no	no	RN	no
fue	fue	VSIS3S0	ser
una	una	DI0FS0	uno
bez	vez	NCFS000	vez
con	con	SPS00	con
trenta	treinta	Z	30
rreales	reales	NCMP000	real
	.	Fp	.
y	Y	CC	y
no	no	RN	no
e	he	VAIP1S0	haber
bisto	visto	VMP0000	ver
otra	otra	DI0FS0	otro
blanca	blanca	NCFS000	blanca
	,	Fc	,
q	que	CS	que
a	ha	VMIP3S0	haber
mas	más	RC	más
de	de	SPS00	de
tres	tres	Z	3
meses	meses	NCMP000	mes
que	que	CS	que
no	no	RN	no
me	me	PP1CS000	me
quieren	quieren	VMIP3P0	querer
esqribir	escribir	VMN0000	escribir
ni	ni	CCN	ni
acer	hacer	VMN0000	hacer
rresponder	responder	VMN0000	responder
a	a	SPS00	a
mis	mis	DP1CPS	mi
cartas	cartas	NCFP000	carta
	,	Fc	,
que	que	CS	que
si	si	CS	si
no	no	RN	no
fuese	fuese	VSSI0S0	ser
por	por	SPS00	por
el	el	DA0MS0	el
padre	padre	NCMS000	padre
guardian	guardián	NCMS000	guardián
	,	Fc	,
que	que	PR0CN000	que
me	me	PP1CS000	me
probe	provee	VMIP3S0	proveer
algunos	algunos	DI0MP0	alguno
dias	días	NCMP000	día
con	con	SPS00	con
la	la	DA0FS0	el
comida	comida	NCFS000	comida
	,	Fc	,
	¿	Fia	¿
que	qué	PT0CN000	qué
seria	sería	VSIC0S0	ser
de	de	SPS00	de
mi	mí	PP1CSO00	mí
	?	Fit	?
Vs	VSa	NP00000	VSa
l	le	PP3CSD00	le
esqriba	escriba	VMSP0S0	escribir
y	y	CC	y
agradeziendole	agradeciéndole	VMG0000+PP3CSD00	agradecer+le
lo	lo	DA0NS0	el
que	que	PR0CN000	que
por	por	SPS00	por
mi	mí	PP1CSO00	mí
