magco	Magnífico	AQ0MS0	magnífico
sor	señor	NP00000	señor
	.	Fp	.
En	En	SPS00	en
la	la	DA0FS0	el
flota	flota	NCFS000	flota
q	que	PR0CN000	que
salio	salió	VMIS3S0	salir
del	del	SPS00+DA0MS0	de+el
puerto	puerto	NCMS000	puerto
de	de	SPS00	de
san	San	NP00000	san
Joan	Juan	NP00000	juan
de	de	SPS00	de
olua	Ulúa	NP00000	ulúa
por	por	SPS00	por
el	el	DA0MS0	el
mes	mes	NCMS000	mes
de	de	SPS00	de
sete	septiembre	NCMS000	septiembre
del	del	SPS00+DA0MS0	de+el
año	año	NCMS000	año
passado	pasado	VMP00SM	pasar
de	de	SPS00	de
1542	1542	Z	1542
	,	Fc	,
Registre	registré	VMIS1S0	registrar
en	en	SPS00	en
el	el	DA0MS0	el
rregistro	registro	NCMS000	registro
del	del	SPS00+DA0MS0	de+el
Rey	rey	NCMS000	rey
cccxxviii	CCCXXVIII	Z	cccxxviii
pos	pesos	NCMP000	peso
de	de	SPS00	de
oro	oro	NCMS000	oro
de	de	SPS00	de
ley	ley	NCFS000	ley
pefecta	pefecta	NCFS000	pefecta
de	de	SPS00	de
minas	minas	NCFP000	mina
en	en	SPS00	en
lx	LX	NP00000	lx
marcos	marcos	NP00000	marcos
de	de	SPS00	de
plata	plata	NCFS000	plata
Refinada	refinada	VMP00SF	refinar
y	y	CC	y
un	un	DI0MS0	uno
pedaçito	pedacito	NCMS000	pedacito
de	de	SPS00	de
oro	oro	NCMS000	oro
y	y	CC	y
lo	lo	PP3CNA00	lo
entregue	entregué	VMIS1S0	entregar
a	a	SPS00	a
Joanes	Joanes	NP00000	joanes
de	de	SPS00	de
ypistico	Ipistico	NP00000	ipistico
	,	Fc	,
en	en	SPS00	en
cuya	cuya	PU0FS000	cuyo
nao	nao	NCFS000	nao
se	se	P00CN000	se
cargo	cargó	VMIS3S0	cargar
y	y	CC	y
llevo	llevó	VMIS3S0	llevar
el	el	DA0MS0	el
oro	oro	NCMS000	oro
de	de	SPS00	de
su	Su	DP3CS0	su
magd	Majestad	NP00000	majestad
	.	Fp	.
q	Que	CS	que
en	en	SPS00	en
aqlla	aquella	DD0FS0	aquel
flota	flota	NCFS000	flota
d	de	SPS00	de
estas	estas	DD0FP0	este
ptes	partes	NCFP000	parte
a	a	SPS00	a
la	la	DA0FS0	el
sazon	sazón	NCFS000	sazón
se	se	P00CN000	se
enbio	envió	VMIS3S0	enviar
y	y	CC	y
fue	fue	VMIS3S0	ir
consignado	consignado	VMP0000	consignar
a	a	SPS00	a
Joan	Juan	NP00000	juan
galvarro	Galvarro	NP00000	galvarro
	,	Fc	,
mre	maestre	NCFS000	maestre
