muy	Muy	RQ	muy
Rdo	reverendo	NP00000	reverendo
sor	señor	NP00000	señor
	.	Fp	.
este	Este	DD0MS0	este
principio	principio	NCMS000	principio
quisiera	quisiera	VMSI0S0	querer
aber	haber	VAN0000	haber
hecho	hecho	VMP0000	hacer
desde	desde	SPS00	desde
la	la	DA0FS0	el
ora	hora	NCFS000	hora
q	que	CS	que
iohan	Iohan	NP00000	iohan
de	de	SPS00	de
salama	Salamanca	NP00000	salamanca
	,	Fc	,
q	que	CS	que
sea	sea	VSSP0S0	ser
en	en	SPS00	en
gloria	gloria	NCFS000	gloria
	,	Fc	,
falleçio	falleció	VMIS3S0	fallecer
porq	porque	CS	porque
	,	Fc	,
sabido	sabido	VMP0000	saber
el	el	DA0MS0	el
debdo	deudo	NCMS000	deudo
q	que	PR0CN000	que
abia	había	VMII0S0	haber
entre	entre	SPS00	entre
vm	VM	NP00000	VM
y	y	CC	y
el	él	PP3MS000	él
	,	Fc	,
el	el	DA0MS0	el
amor	amor	NCMS000	amor
q	que	PR0CN000	que
con	con	SPS00	con
el	él	PP3MS000	él
tuve	tuve	VMIS1S0	tener
abia	había	VMII0S0	haber
de	de	SPS00	de
poner	poner	VMN0000	poner
en	en	SPS00	en
psona	persona	NCFS000	persona
tan	tan	RC	tan
propinca	propicia	AQ0FS0	propicio
y	y	CC	y
virtuosa	virtuosa	AQ0FS0	virtuoso
pa	para	SPS00	para
por	por	SPS00	por
todas	todas	DI0FP0	todo
vias	vías	NCFP000	vía
ganar	ganar	VMN0000	ganar
	.	Fp	.
del	Del	SPS00+DA0MS0	de+el
descuydo	descuido	NCMS000	descuido
passado	pasado	VMP00SM	pasar
me	me	PP1CS000	me
acuso	acuso	VMIP1S0	acusar
	.	Fp	.
En	En	SPS00	en
lo	lo	DA0NS0	el
por	por	SPS00	por
venir	venir	VMN0000	venir
	,	Fc	,
supco	suplico	VMIP1S0	suplicar
vm	VM	NP00000	VM
me	me	PP1CS000	me
tenga	tenga	VMSP0S0	tener
por	por	SPS00	por
su	su	DP3CS0	su
svidor	servidor	NCMS000	servidor
	,	Fc	,
q	que	CS	que
en	en	SPS00	en
mi	mí	PP1CSO00	mí
hallara	hallará	VMIF3S0	hallar
voluntad	voluntad	NCFS000	voluntad
y	y	CC	y
obra	obra	NCFS000	obra
y	y	CC	y
obediençia	obediencia	NCFS000	obediencia
Como	como	CS	como
en	en	SPS00	en
siervo	siervo	NCMS000	siervo
y	y	CC	y
debdo	deudo	NCMS000	deudo
menor	menor	AQ0CS0	menor
	,	Fc	,
Casi	casi	RG	casi
hijo	hijo	NP00000	hijo
	.	Fp	.
por	Por	SPS00	por
su	su	DP3CS0	su
testamo	testamento	NCMS000	testamento
mando	mando	VMIP1S0	mandar
a	a	SPS00	a
vm	VM	NP00000	VM
xx	XX	NP00000	xx
dos	ducados	NCMP000	ducado
y	y	CC	y
para	para	SPS00	para
pagarse	pagarse	VMN0000+P00CN000	pagar+se
estos	éstos	PD0MP000	este
y	y	CC	y
las	las	PP3FPA00	lo
mandas	mandas	VMIP2S0	mandar
q	que	CS	que
hizo	hizo	VMIS3S0	hacer
a	a	SPS00	a
sus	sus	DP3CP0	su
hijas	hijas	NCFP000	hijo
de	de	SPS00	de
thoribio	Toribio	NP00000	toribio
hernandez	Hernández	NP00000	hernández
	,	Fc	,
q	que	CS	que
aya	haya	VMSP0S0	haber
gloria	gloria	NCFS000	gloria
	,	Fc	,
q	que	CS	que
fue	fue	VSIS3S0	ser
ccc	CCC	NP00000	ccc
ducados	ducados	NCMP000	ducado
y	y	CC	y
diez	diez	Z	10
mill	mil	Z	1000
mrs	maravedís	NCMP000	maravedí
al	al	SPS00+DA0MS0	a+el
monasterio	monasterio	NCMS000	monasterio
de	de	SPS00	de
guadalupe	Guadalupe	NP00000	guadalupe
