Mucho	Mucho	RQ	mucho
m	me	PP1CS000	me
e	he	VAIP1S0	haber
holgado	holgado	VMP0000	holgar
Resebir	recibir	VMN0000	recibir
la	la	DA0FS0	el
de	de	SPS00	de
Vm	VM	NP00000	VM
de	de	SPS00	de
los	los	DA0MP0	el
26	26	Z	26
de	de	SPS00	de
março	marzo	NCMS000	marzo
por	por	SPS00	por
aver	haber	VAN0000	haber
entendido	entendido	VMP0000	entender
de	de	SPS00	de
la	la	DA0FS0	el
salud	salud	NCFS000	salud
de	de	SPS00	de
Vm	VM	NP00000	VM
y	y	CC	y
de	de	SPS00	de
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
que	que	CS	que
Vm	VM	NP00000	VM
con	con	SPS00	con
dicha	dicha	VMP00SF	decir
su	su	DP3CS0	su
carta	carta	NCFS000	carta
me	me	PP1CS000	me
dise	dice	VMIP3S0	decir
	.	Fp	.
plegue	Plegue	VMSP0S0	placer
a	a	SPS00	a
n	Nuestro	DP1MSP	nuestro
s	Señor	NP00000	señor
le	le	PP3CSD00	le
conserve	conserve	VMSP0S0	conservar
dicha	dicha	VMP00SF	decir
salud	salud	NCFS000	salud
y	y	CC	y
en	en	SPS00	en
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
lo	lo	PP3CNA00	lo
encamine	encamine	VMSP0S0	encaminar
todo	todo	PI0MS000	todo
en	en	SPS00	en
su	su	DP3CS0	su
sto	santo	AQ0MS0	santo
serviçio	servicio	NCMS000	servicio
como	como	CS	como
lo	lo	PP3CNA00	lo
puede	puede	VMIP3S0	poder
y	y	CC	y
este	este	DD0MS0	este
su	su	DP3CS0	su
servidor	servidor	NCMS000	servidor
lo	lo	PP3CNA00	lo
desea	desea	VMIP3S0	desear
	.	Fp	.
yo	Yo	PP1CSN00	yo
no	no	RN	no
he	he	VAIP1S0	haber
cansado	cansado	VMP0000	cansar
ni	ni	CC	ni
cansare	cansaré	VMIF1S0	cansar
de	de	SPS00	de
servir	servir	VMN0000	servir
a	a	SPS00	a
Vm	VM	NP00000	VM
en	en	SPS00	en
su	su	DP3CS0	su
offisio	oficio	NCMS000	oficio
y	y	CC	y
ni	ni	CC	ni
en	en	SPS00	en
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
que	que	PR0CN000	que
fuere	fuere	VSSF0S0	ser
en	en	SPS00	en
serviçio	servicio	NCMS000	servicio
de	de	SPS00	de
Vm	VM	NP00000	VM
	,	Fc	,
porque	porque	CS	porque
d	de	SPS00	de
ello	ello	PD0NN000	ello
resibo	recibo	VMIP1S0	recibir
yo	yo	PP1CSN00	yo
particullar	particular	NCMS000	particular
contento	contento	NCMS000	contento
.	.	Fp	.
nro	Nuestro	DP1MSP	nuestro
capn	capellán	NCMS000	capellán
monçon	Monzón	NP00000	monzón
esta	está	VMIP3S0	estar
en	en	SPS00	en
su	su	DP3CS0	su
castillo	castillo	NCMS000	castillo
haragones	aragonés	NCMS000	aragonés
y	y	CC	y
esta	está	VMIP3S0	estar
con	con	SPS00	con
salud	salud	NCFS000	salud
	,	Fc	,
grasias	gracias	NCFP000	gracia
a	a	SPS00	a
n	Nuestro	DP1MSP	nuestro
s	Señor	NP00000	señor
.	.	Fp	.
yo	Yo	PP1CSN00	yo
tengo	tengo	VMIP1S0	tener
en	en	SPS00	en
poder	poder	NCMS000	poder
tres	tres	Z	3
aniadas	añadas	NCFP000	añada
del	del	SPS00+DA0MS0	de+el
sueldo	sueldo	NCMS000	sueldo
del	del	SPS00+DA0MS0	de+el
offisio	oficio	NCMS000	oficio
de	de	SPS00	de
Vm	VM	NP00000	VM
	.	Fp	.
ordenara	Ordenará	VMIF3S0	ordenar
lo	lo	DA0NS0	el
que	que	PR0CN000	que
se	se	P00CN000	se
ha	ha	VMIP3S0	haber
de	de	SPS00	de
haser	hacer	VMN0000	hacer
d	de	SPS00	de
ello	ello	PD0NN000	ello
	,	Fc	,
porque	porque	CS	porque
no	no	RN	no
ai	hay	VMIP3S0	haber
remedio	remedio	NCMS000	remedio
remitille	remitirle	VMN0000+PP3CSD00	remitir+le
un	un	DI0MS0	uno
dinero	dinero	NCMS000	dinero
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
esta	ésta	PD0FS000	este
no	no	RN	no
sere	seré	VSIF1S0	ser
mas	más	RC	más
llargo	largo	RG	largo
	.	Fp	.
gde	Guarde	VMSP0S0	guardar
nro	Nuestro	DP1MSP	nuestro
s	Señor	NP00000	señor
a	a	SPS00	a
Vm	VM	NP00000	VM
	.	Fp	.
Caller	Cáller	NP00000	cáller
	,	Fc	,
y	y	CC	y
Junio	junio	NCMS000	junio
a	a	SPS00	a
los	los	DA0MP0	el
19	19	Z	19
de	de	SPS00	de
1599	1599	Z	1599
	.	Fp	.
Pere	Pere	NP00000	pere
Santus	Santus	NP00000	santus
