Mi	Mi	DP1CSS	mi
querida	querida	VMP00SF	querer
Amiga	amiga	NCFS000	amigo
	.	Fp	.
estoy	Estoy	VMIP1S0	estar
con	con	SPS00	con
mucho	mucho	DI0MS0	mucho
cuidado	cuidado	NCMS000	cuidado
por	por	SPS00	por
no	no	RN	no
aber	haber	VAN0000	haber
buelto	vuelto	VMP0000	volver
a	a	SPS00	a
saber	saber	VMN0000	saber
nada	nada	PI0NN00N	nada
desde	desde	SPS00	desde
nuestra	nuestra	DP1FSP	nuestro
bista	vista	NCFS000	vista
y	y	CC	y
asi	así	RG	así
espero	espero	VMIP1S0	esperar
me	me	PP1CS000	me
saque	saque	VMSP0S0	sacar
de	de	SPS00	de
este	este	DD0MS0	este
cuidado	cuidado	NCMS000	cuidado
	.	Fp	.
el	El	DA0MS0	el
dia	día	NCMS000	día
4	4	Z	4
de	de	SPS00	de
este	éste	PD0MS000	este
aparecio	apareció	VMIS3S0	aparecer
en	en	SPS00	en
Bilbrestre	Vilvestre	NP00000	vilvestre
un	un	DI0MS0	uno
pasquin	pasquín	NCMS000	pasquín
diciendo	diciendo	VMG0000	decir
	«	Fra	«
	¡	Faa	¡
viva	Viva	VMSP0S0	vivir
la	la	DA0FS0	el
C	Constitución	NCFS000	constitución
	!	Fat	!
prebeniros	Preveniros	VMN0000+PP2CP000	prevenir+os
para	para	SPS00	para
Jurarla	jurarla	VMN0000+PP3FSA00	jurar+lo
	,	Fc	,
como	como	CS	como
lo	lo	PP3CNA00	lo
e	he	VAIP1S0	haber
cho	hecho	VMP0000	hacer
yo	yo	PP1CSN00	yo
el	el	DA0MS0	el
dia	día	NCMS000	día
tantos	tantos	DI0MP0	tanto
	»	Frt	»
	,	Fc	,
y	y	CC	y
otras	otras	DI0FP0	otro
mil	mil	Z	1000
cosas	cosas	NCFP000	cosa
	;	Fx	;
y	y	CC	y
luego	luego	RG	luego
lo	lo	DA0NS0	el
ultime	último	AO0MS0	último
decia	decía	VMII0S0	decir
	:	Fd	:
	«	Fra	«
esto	Esto	PD0NN000	esto
lo	lo	PP3CNA00	lo
dice	dice	VMIP3S0	decir
el	el	DA0MS0	el
que	que	PR0CN000	que
firma	firma	VMIP3S0	firmar
	,	Fc	,
M.	M.	NP00000	m.
F.	F.	NP00000	f.
el	el	DA0MS0	el
Crespo	Crespo	NP00000	crespo
	»	Frt	»
	.	Fp	.
se	Se	P00CN000	se
anda	anda	VMIP3S0	andar
indagando	indagando	VMG0000	indagar
cuien	quién	PT0CS000	quién
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
y	y	CC	y
biendo	viendo	VMG0000	ver
las	las	DA0FP0	el
letras	letras	NCFP000	letra
	.	Fp	.
i	Y	CC	y
se	se	P00CN000	se
die	dice	VMIP3S0	decir
que	que	CS	que
es	es	VSIP3S0	ser
un	un	DI0MS0	uno
tal	tal	RC	tal
notario	notario	NCMS000	notario
	;	Fx	;
no	no	RN	no
se	sé	VMIP1S0	saber
si	si	CSI	si
sera	será	VSIF3S0	ser
el	el	DA0MS0	el
oficial	oficial	NCMS000	oficial
o	o	CC	o
su	su	DP3CS0	su
ermano	hermano	NCMS000	hermano
	(	Fba	(
es	es	VSIP3S0	ser
el	el	DA0MS0	el
de	de	SPS00	de
la	la	DA0FS0	el
cataluna	Cataluña	NP00000	cataluña
	)	Fbt	)
	.	Fp	.
hay	Hay	VMIP3S0	haber
mucho	mucho	DI0MS0	mucho
cuidado	cuidado	NCMS000	cuidado
por	por	SPS00	por
aqui	aquí	RG	aquí
	.	Fp	.
me	Me	PP1CS000	me
diras	dirás	VMIF2S0	decir
si	si	CSI	si
ha	ha	VAIP3S0	haber
bido	habido	VMP0000	haber
alguna	alguna	DI0FS0	alguno
noticia	noticia	NCFS000	noticia
de	de	SPS00	de
T.	T.	NP00000	t.
y	y	CC	y
si	si	CS	si
a	ha	VAIP3S0	haber
recibido	recibido	VMP0000	recibir
los	los	DA0MP0	el
encargos	encargos	NCMP000	encargo
que	que	PR0CN000	que
mande	mandé	VMIS1S0	mandar
	.	Fp	.
los	Los	DA0MP0	el
otros	otros	PI0MP000	otro
	,	Fc	,
en	en	SPS00	en
biniendo	viniendo	VMG0000	venir
	,	Fc	,
los	los	PP3MPA00	lo
mandare	mandaré	VMIF1S0	mandar
junto	junto	RG	junto
con	con	SPS00	con
lo	lo	DA0NS0	el
que	que	PR0CN000	que
quedo	quedó	VMIS3S0	quedar
olbidado	olvidado	VMP00SM	olvidar
	.	Fp	.
el	El	DA0MS0	el
niño	niño	NCMS000	niño
esta	está	VMIP3S0	estar
bueno	bueno	AQ0MS0	bueno
	.	Fp	.
cuidarse	Cuidarse	VMN0000+P00CN000	cuidar+se
mucho	mucho	RQ	mucho
y	y	CC	y
disponer	disponer	VMN0000	disponer
como	como	CS	como
guste	guste	VMSP0S0	gustar
de	de	SPS00	de
esta	ésta	PD0FS000	este
	.	Fp	.
S	Su	DP3CS0	su
E	esposo	NCMS000	esposo
	.	Fp	.
