Somos	Somos	VSIP1P0	ser
4	4	Z	4
de	de	SPS00	de
Abril	abril	NCMS000	abril
Querido	Querido	VMP00SM	querer
Manuel	Manuel	NP00000	manuel
	.	Fp	.
no	No	RN	no
se	sé	VMIP1S0	saber
como	cómo	PA000000	cómo
me	me	PP1CS000	me
dices	dices	VMIP2S0	decir
que	que	CS	que
no	no	RN	no
te	te	PP2CS000	te
he	he	VAIP1S0	haber
contestado	contestado	VMP0000	contestar
a	a	SPS00	a
las	las	DA0FP0	el
dos	dos	Z	2
que	que	PR0CN000	que
he	he	VAIP1S0	haber
recibido	recibido	VMP0000	recibir
Por	por	SPS00	por
la	la	DA0FS0	el
Ynojosa	Hinojosa	NP00000	hinojosa
	,	Fc	,
pues	pues	CS	pues
	,	Fc	,
cuando	cuando	PA000000	cuando
te	te	PP2CS000	te
mande	mandé	VMIS1S0	mandar
el	el	DA0MS0	el
paño	paño	NCMS000	paño
	,	Fc	,
te	te	PP2CS000	te
conteste	contesté	VMIS1S0	contestar
a	a	SPS00	a
la	la	DA0FS0	el
Primera	primera	AO0FS0	primero
	,	Fc	,
que	que	CS	que
era	era	VSII0S0	ser
fecha	fecha	NCFS000	fecha
22	22	Z	22
y	y	CC	y
la	la	DA0FS0	el
otra	otra	PI0FS000	otro
no	no	RN	no
tenia	tenía	VMII0S0	tener
fecha	fecha	NCFS000	fecha
	.	Fp	.
me	Me	PP1CS000	me
dices	dices	VMIP2S0	decir
que	que	CS	que
como	cómo	PA000000	cómo
no	no	RN	no
te	te	PP2CS000	te
digo	digo	VMIP1S0	decir
desde	desde	SPS00	desde
la	la	DA0FS0	el
que	que	PR0CN000	que
te	te	PP2CS000	te
escribi	escribí	VMIS1S0	escribir
de	de	SPS00	de
frejo	Frejo	NP00000	frejo
la	la	DA0FS0	el
ropa	ropa	NCFS000	ropa
que	que	PR0CN000	que
te	te	PP2CS000	te
mandaba	mandaba	VMII0S0	mandar
	.	Fp	.
no	No	RN	no
lo	lo	PP3CNA00	lo
hize	hice	VMIS1S0	hacer
porque	porque	CS	porque
como	como	CS	como
con	con	SPS00	con
la	la	DA0FS0	el
misma	misma	AQ0FS0	mismo
ropa	ropa	NCFS000	ropa
hiba	iba	VMII0S0	ir
carta	carta	NCFS000	carta
diciendote	diciéndote	VMG0000+PP2CS000	decir+te
lo	lo	DA0NS0	el
que	que	PR0CN000	que
te	te	PP2CS000	te
mandaba	mandaba	VMII0S0	mandar
y	y	CC	y
despues	después	RG	después
que	que	CS	que
supe	supe	VMIS1S0	saber
que	que	CS	que
Andres	Andrés	NP00000	andrés
le	le	PP3CSD00	le
abia	había	VAII0S0	haber
entregado	entregado	VMP0000	entregar
todo	todo	PI0MS000	todo
al	al	SPS00+DA0MS0	a+el
barquero	barquero	NCMS000	barquero
y	y	CC	y
que	que	CS	que
este	éste	PD0MS000	este
te	te	PP2CS000	te
llo	lo	PP3CNA00	lo
llebaria	llevaría	VMIC0S0	llevar
a	a	SPS00	a
escallon	Escallón	NP00000	escallón
	.	Fp	.
y	Y	CC	y
aora	ahora	RG	ahora
me	me	PP1CS000	me
dices	dices	VMIP2S0	decir
que	que	CS	que
no	no	RN	no
as	has	VAIP2S0	haber
recibido	recibido	VMP0000	recibir
nada	nada	PI0NN00N	nada
	,	Fc	,
que	que	CS	que
bueno	bueno	AQ0MS0	bueno
seria	sería	VSIC0S0	ser
que	que	CS	que
se	se	P00CN000	se
aya	haya	VASP0S0	haber
dessaparecido	desaparecido	VMP0000	desaparecer
	.	Fp	.
te	Te	PP2CS000	te
mandaba	mandaba	VMII0S0	mandar
dos	dos	Z	2
baras	varas	NCFP000	vara
y	y	CC	y
media	media	NCFS000	media
de	de	SPS00	de
paño	paño	NCMS000	paño
gris	gris	NCMS000	gris
	,	Fc	,
tres	tres	Z	3
pares	pares	NCMP000	par
de	de	SPS00	de
medias	medias	NCFP000	media
	,	Fc	,
un	un	DI0MS0	uno
mazo	mazo	NCMS000	mazo
cigarros	cigarros	NCMP000	cigarro
y	y	CC	y
un	un	DI0MS0	uno
baril	barril	NCMS000	barril
de	de	SPS00	de
ostras	ostras	NCFP000	ostra
y	y	CC	y
un	un	DI0MS0	uno
pan	pan	NCMS000	pan
de	de	SPS00	de
los	los	DA0MP0	el
de	de	SPS00	de
salamanca	Salamanca	NP00000	salamanca
	,	Fc	,
qe	que	CS	que
abia	había	VAII0S0	haber
traido	traído	VMP0000	traer
la	la	DA0FS0	el
criada	criada	NCFS000	criado
de	de	SPS00	de
Bitigudino	Vitigudino	NP00000	vitigudino
	.	Fp	.
la	La	DA0FS0	el
esquela	esquela	NCFS000	esquela
que	que	PR0CN000	que
me	me	PP1CS000	me
mandaste	mandaste	VMIS2S0	mandar
desde	desde	SPS00	desde
la	la	DA0FS0	el
barca	Barca	NP00000	barca
el	el	DA0MS0	el
dia	día	NCMS000	día
que	que	PR0CN000	que
fui	fui	VMIS1S0	ir
yo	yo	PP1CSN00	yo
a	a	SPS00	a
frejo	Frejo	NP00000	frejo
no	no	RN	no
parecio	pareció	VMIS3S0	parecer
	.	Fp	.
el	El	DA0MS0	el
