Yllmo	Ilustrísimo	AQSMS0	ilustre
Sor	señor	NP00000	señor
	.	Fp	.
Muy	Muy	RQ	muy
sr	señor	NP00000	señor
mio	mío	DP1MSS	mío
:	.	Fp	.
recibi	Recibí	VMIS1S0	recibir
su	su	DP3CS0	su
favorecida	favorecida	VMP00SF	favorecer
de	de	SPS00	de
5	5	Z	5
del	del	SPS00+DA0MS0	de+el
corriente	corriente	AQ0CS0	corriente
y	y	CC	y
a	a	SPS00	a
su	su	DP3CS0	su
contenido	contenido	NCMS000	contenido
devo	debo	VMIP1S0	deber
decirle	decirle	VMN0000+PP3CSD00	decir+le
que	que	CS	que
	,	Fc	,
tratando	tratando	VMG0000	tratar
conciliar	conciliar	VMN0000	conciliar
las	las	DA0FP0	el
disposiciones	disposiciones	NCFP000	disposición
del	del	SPS00+DA0MS0	de+el
govier=no	gobierno	NCMS000	gobierno
con	con	SPS00	con
los	los	DA0MP0	el
movimientos	movimientos	NCMP000	movimiento
de	de	SPS00	de
tropas	tropas	NCFP000	tropa
,	,	Fc	,
todo	todo	PI0MS000	todo
anuncia	anuncia	VMIP3S0	anunciar
un	un	DI0MS0	uno
proximo	próximo	AQ0MS0	próximo
rompi=miento	rompimiento	NCMS000	rompimiento
de	de	SPS00	de
esta	esta	DD0FS0	este
nacion	nación	NCFS000	nación
con	con	SPS00	con
la	la	DA0FS0	el
suya	suya	PX3FS000	suyo
,	.	Fp	.
pues	Pues	CS	pues
	,	Fc	,
segun	según	SPS00	según
las	las	DA0FP0	el
mejores	mejores	AQ0CP0	mejor
aparien=cias	apariencias	NCFP000	apariencia
y	y	CC	y
noticias	noticias	NCFP000	noticia
de	de	SPS00	de
la	la	DA0FS0	el
corte	corte	NCFS000	corte
,	,	Fc	,
la	la	DA0FS0	el
España	España	NP00000	españa
por	por	SPS00	por
si	sí	RG	sí
sola	sola	AQ0FS0	solo
no	no	RN	no
se	se	P00CN000	se
atreve	atreve	VMIP3S0	atrever
á	a	SPS00	a
empeñarse	empeñarse	VMN0000+P00CN000	empeñar+se
en	en	SPS00	en
lucha	lucha	NCFS000	lucha
tan	tan	RC	tan
desigual	desigual	AQ0CS0	desigual
,	;	Fx	;
y	y	CC	y
para	para	SPS00	para
ella	ella	PP3FS000	él
cuenta	cuenta	NCFS000	cuenta
con	con	SPS00	con
la	la	DA0FS0	el
Francia	Francia	NP00000	francia
	,	Fc	,
la	la	DA0FS0	el
que	que	PR0CN000	que
hasta	hasta	SPS00	hasta
el	el	DA0MS0	el
dia	día	NCMS000	día
se	se	P00CN000	se
halla	halla	VMIP3S0	hallar
indecisa	indecisa	AQ0FS0	indeciso
y	y	CC	y
sin	sin	SPS00	sin
