Amigo	Amigo	NP00000	amigo
mio	mío	DP1MSS	mío
:	.	Fp	.
recibo	Recibo	VMIP1S0	recibir
tu	tu	DP2CSS	tu
ultima	última	AO0FS0	último
con	con	SPS00	con
atraso	atraso	NCMS000	atraso
,	,	Fc	,
segun	según	SPS00	según
dice	dice	VMIP3S0	decir
el	el	DA0MS0	el
portador	portador	NCMS000	portador
,	,	Fc	,
y	y	CC	y
la	la	PP3FSA00	lo
contesto	contesto	VMIP1S0	contestar
en	en	SPS00	en
el	el	DA0MS0	el
acto	acto	NCMS000	acto
de	de	SPS00	de
recibirla	recibirla	VMN0000+PP3FSA00	recibir+lo
diciendote	diciéndote	VMG0000+PP2CS000	decir+te
Que	que	CS	que
las	las	DA0FP0	el
facturas	facturas	NCFP000	factura
qe	que	PR0CN000	que
me	me	PP1CS000	me
han	han	VAIP3P0	haber
llegado	llegado	VMP0000	llegar
las	las	PP3FPA00	lo
he	he	VAIP1S0	haber
remitido	remitido	VMP0000	remitir
puntualmente	puntualmente	RG	puntualmente
á	a	SPS00	a
su	su	DP3CS0	su
destino	destino	NCMS000	destino
,	,	Fc	,
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
que	que	PR0CN000	que
he	he	VAIP1S0	haber
hecho	hecho	VMP0000	hacer
con	con	SPS00	con
las	las	DA0FP0	el
qe	que	PR0CN000	que
me	me	PP1CS000	me
han	han	VAIP3P0	haber
llegado	llegado	VMP0000	llegar
pa	para	SPS00	para
pasarlas	pasarlas	VMN0000+PP3FPA00	pasar+lo
á	a	SPS00	a
ese	ese	DD0MS0	ese
negociante	negociante	NCMS000	negociante
;	;	Fx	;
pero	pero	CC	pero
qe	que	CS	que
existe	existe	VMIP3S0	existir
en	en	SPS00	en
mi	mi	DP1CSS	mi
poder	poder	NCMS000	poder
una	una	PI0FS000	uno
,	,	Fc	,
qe	que	PR0CN000	que
no	no	RN	no
sabia	sabía	VMII0S0	saber
como	cómo	PA000000	cómo
ni	ni	CCN	ni
à	a	SPS00	a
quien	quién	PT0CS000	quién
la	la	PP3FSA00	lo
habia	había	VMII0S0	haber
de	de	SPS00	de
encaminar	encaminar	VMN0000	encaminar
,	,	Fc	,
y	y	CC	y
creo	creo	VMIP1S0	creer
qe	que	CS	que
sea	sea	VSSP0S0	ser
pr	por	SPS00	por
la	la	DA0FS0	el
qe	que	PR0CN000	que
preguntas	preguntas	VMIP2S0	preguntar
.	.	Fp	.
No	No	RN	no
dexé	dejé	VMIS1S0	dejar
de	de	SPS00	de
reconocer	reconocer	VMN0000	reconocer
que	que	CS	que
debia	debía	VMII0S0	deber
en-tregarla	entregarla	VMN0000+PP3FSA00	entregar+lo
personalmente	personalmente	RG	personalmente
