Muy	Muy	RQ	muy
sra	señora	NP00000	señor
mia	mía	DP1FSS	mío
y	y	CC	y
de	de	SPS00	de
mi	mi	DP1CSS	mi
mayor	mayor	AQ0CS0	mayor
veneracion	veneración	NCFS000	veneración
:	.	Fp	.
Escrivi	Escribí	VMIS1S0	escribir
a	a	SPS00	a
el	el	DA0MS0	el
sor	señor	NP00000	señor
Conde	conde	NP00000	conde
	,	Fc	,
marido	marido	NCMS000	marido
de	de	SPS00	de
VS	VSa	NP00000	VSa
suplicandole	suplicándole	VMG0000+PP3CSD00	suplicar+le
asintiese	asintiese	VMSI0S0	asentir
a	a	SPS00	a
que	que	CS	que
su	su	DP3CS0	su
hija	hija	NCFS000	hijo
y	y	CC	y
mi	mi	DP1CSS	mi
sra	señora	NCFS000	señor
	,	Fc	,
Da	doña	NP00000	don
Maria	María	NP00000	maría
del	del	SPS00+DA0MS0	de+el
Rosario	Rosario	NP00000	rosario
	,	Fc	,
contrajese	contrajese	VMSI0S0	contraer
esponsales	esponsales	NCMP000	esponsal
con	con	SPS00	con
mi	mi	DP1CSS	mi
sobrno	sobrino	NP00000	sobrino
Yldefonso	Ildefonso	NP00000	ildefonso
Mantilla	Mantilla	NP00000	mantilla
Rios	Ríos	NP00000	ríos
y	y	CC	y
Anaya	Anaya	NP00000	anaya
	,	Fc	,
teniendo	teniendo	VMG0000	tener
el	él	PP3MS000	él
y	y	CC	y
nosotros	nosotros	PP1MP000	nosotros
el	el	DA0MS0	el
honor	honor	NCMS000	honor
de	de	SPS00	de
enlasar	enlazar	VMN0000	enlazar
con	con	SPS00	con
la	la	DA0FS0	el
casa	casa	NCFS000	casa
de	de	SPS00	de
VS	VSa	NP00000	VSa
	.	Fp	.
a	A	SPS00	a
esta	esta	DD0FS0	este
suplica	súplica	NCFS000	súplica
me	me	PP1CS000	me
contesto	contestó	VMIS3S0	contestar
con	con	SPS00	con
fecha	fecha	NCFS000	fecha
de	de	SPS00	de
11	11	Z	11
de	de	SPS00	de
el	el	DA0MS0	el
presente	presente	NCMS000	presente
	,	Fc	,
disiendo	diciendo	VMG0000	decir
que	que	CS	que
con	con	SPS00	con
aquella	aquella	DD0FS0	aquel
fecha	fecha	NCFS000	fecha
escrivia	escribía	VMII0S0	escribir
a	a	SPS00	a
VS	VSa	NP00000	VSa
para	para	SPS00	para
qe	que	CS	que
prestase	prestase	VMSI0S0	prestar
su	su	DP3CS0	su
anuencia	anuencia	NCFS000	anuencia
	.	Fp	.
yo	Yo	PP1CSN00	yo
espero	espero	VMIP1S0	esperar
el	el	DA0MS0	el
mereserla	merecerla	VMN0000+PP3FSA00	merecer+lo
a	a	SPS00	a
VS	VSa	NP00000	VSa
	,	Fc	,
a	a	SPS00	a
quien	quien	PR0CS000	quien
rendidamte	rendidamente	RG	rendidamente
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
suplico	suplico	VMIP1S0	suplicar
	.	Fp	.
espero	Espero	VMIP1S0	esperar
su	su	DP3CS0	su
aviso	aviso	NCMS000	aviso
pa	para	SPS00	para
con	con	SPS00	con
el	él	PP3MS000	él
volver	volver	VMN0000	volver
de	de	SPS00	de
nuebo	nuevo	AQ0MS0	nuevo
a	a	SPS00	a
rrecordarlo	recordarlo	VMN0000+PP3CNA00	recordar+lo
a	a	SPS00	a
el	el	DA0MS0	el
señor	señor	NP00000	señor
Conde	conde	NP00000	conde
	,	Fc	,
a	a	SPS00	a
qn	quien	PR0CS000	quien
	,	Fc	,
como	como	CS	como
a	a	SPS00	a
VS	VSa	NP00000	VSa
	,	Fc	,
tendre	tendré	VMIF1S0	tener
la	la	DA0FS0	el
onrra	honra	NCFS000	honra
de	de	SPS00	de
tributarle	tributarle	VMN0000+PP3CSD00	tributar+le
las	las	DA0FP0	el
mas	más	RC	más
rendidas	rendidas	VMP00PF	rendir
gracias	gracias	NCFP000	gracia
	.	Fp	.
Dios	Dios	NP00000	dios
Nro	Nuestro	DP1MSP	nuestro
Sr	Señor	NP00000	señor
Ge	guarde	VMSP0S0	guardar
a	a	SPS00	a
VS	VSa	NP00000	VSa
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
Ezija	Écija	NP00000	écija
	,	Fc	,
27	27	Z	27
de	de	SPS00	de
Nobieme	noviembre	NCMS000	noviembre
de	de	SPS00	de
1800	1800	Z	1800
.	.	Fp	.
B	Besa	VMIP3S0	besar
l	los	DA0MP0	el
P	pies	NCMP000	pie
de	de	SPS00	de
VS	VSa	NP00000	VSa
su	su	DP3CS0	su
mas	más	RC	más
rendido	rendido	VMP00SM	rendir
servidor	servidor	NCMS000	servidor
	,	Fc	,
El	El	DA0MS0	el
Marqs	marqués	NP00000	marqués
de	de	SPS00	de
Quintana	Quintana	NP00000	quintana
de	de	SPS00	de
las	las	DA0FP0	el
Torres	Torres	NP00000	torres
Sra	Señora	NP00000	señor
	,	Fc	,
mi	mi	DP1CSS	mi
Sra	señora	NP00000	señor
la	la	DA0FS0	el
Condesa	Condesa	NP00000	condesa
de	de	SPS00	de
ValdelasGranas	Valdelasgranas	NP00000	valdelasgranas
	.	Fp	.
