Querido	Querido	VMP00SM	querer
Manuel	Manuel	NP00000	manuel
	.	Fp	.
mucho	Mucho	RQ	mucho
siento	siento	VMIP1S0	sentir
el	el	DA0MS0	el
no	no	RN	no
hir	ir	VMN0000	ir
con	con	SPS00	con
Jacinto	Jacinto	NP00000	jacinto
	,	Fc	,
pero	pero	CC	pero
andamos	andamos	VMIP1P0	andar
mondando	mondando	VMG0000	mondar
	.	Fp	.
la	La	DA0FS0	el
criada	criada	NCFS000	criado
ba	va	VMIP3S0	ir
a	a	SPS00	a
cocer	cocer	VMN0000	cocer
el	el	DA0MS0	el
caldo	caldo	NCMS000	caldo
	(	Fba	(
no	no	RN	no
tiene	tiene	VMIP3S0	tener
disposicion	disposición	NCFS000	disposición
para	para	SPS00	para
nada	nada	PI0NN00N	nada
	)	Fbt	)
	.	Fp	.
por	Por	SPS00	por
otro	otro	DI0MS0	otro
lado	lado	NCMS000	lado
	,	Fc	,
la	la	DA0FS0	el
jaca	jaca	NCFS000	jaca
no	no	RN	no
la	la	PP3FSA00	lo
pueden	pueden	VMIP3P0	poder
escusar	excusar	VMN0000	excusar
los	los	DA0MP0	el
mondadores	mondadores	NCMP000	mondador
	.	Fp	.
cuando	Cuando	PA000000	cuando
llego	llegó	VMIS3S0	llegar
J	Jacinto	NP00000	jacinto
ya	ya	CS	ya
eran	eran	VSII3P0	ser
las	las	DA0FP0	el
ocho	ocho	Z	8
	.	Fp	.
mande	Mandé	VMIP1S0	mandar
en	en	SPS00	en
casa	casa	NCFS000	casa
de	de	SPS00	de
tu	tu	DP2CSS	tu
P	padre	NCMS000	padre
para	para	SPS00	para
ber	ver	VMN0000	ver
si	si	CS	si
me	me	PP1CS000	me
daba	daba	VMII0S0	dar
la	la	DA0FS0	el
mula	mula	NCFS000	mulo
y	y	CC	y
dijo	dijo	VMIS3S0	decir
que	que	CS	que
por	por	SPS00	por
hoy	hoy	RG	hoy
no	no	RN	no
podia	podía	VMII0S0	poder
	.	Fp	.
conque	Conque	CS	conque
eso	eso	PD0NN000	eso
por	por	SPS00	por
un	un	DI0MS0	uno
lado	lado	NCMS000	lado
y	y	CC	y
lo	lo	DA0NS0	el
otro	otro	PI0MS000	otro
el	el	DA0MS0	el
no	no	RN	no
poder	poder	VMN0000	poder
dejar	dejar	VMN0000	dejar
la	la	DA0FS0	el
casa	casa	NCFS000	casa
sola	sola	AQ0FS0	solo
	,	Fc	,
pues	pues	CS	pues
la	la	DA0FS0	el
criada	criada	NCFS000	criado
no	no	RN	no
sabe	sabe	VMIP3S0	saber
acer	hacer	VMN0000	hacer
unas	unas	DI0FP0	uno
sopas	sopas	NCFP000	sopa
sin	sin	SPS00	sin
estar	estar	VMN0000	estar
encima	encima	RG	encima
	.	Fp	.
si	Si	CS	si
hubiera	hubiera	VASI0S0	haber
acabado	acabado	VMP0000	acabar
de	de	SPS00	de
mondar	mondar	VMN0000	mondar
	,	Fc	,
era	era	VSII0S0	ser
ya	ya	RG	ya
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
	.	Fp	.
te	Te	PP2CS000	te
mando	mando	VMIP1S0	mandar
las	las	DA0FP0	el
adjuntas	adjuntas	AQ0FPP	adjunto
para	para	SPS00	para
qe	que	CS	que
beas	veas	VMSP2S0	ver
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
hay	hay	VMIP3S0	haber
	.	Fp	.
te	Te	PP2CS000	te
mando	mando	VMIP1S0	mandar
un	un	DI0MS0	uno
pan	pan	NCMS000	pan
	,	Fc	,
dos	dos	Z	2
tortillas	tortillas	NCFP000	tortilla
	,	Fc	,
dos	dos	Z	2
choricos	chorizos	NCMP000	chorizo
y	y	CC	y
una	una	DI0FS0	uno
oreja	oreja	NCFS000	oreja
y	y	CC	y
la	la	DA0FS0	el
bota	bota	NCFS000	bota
llena	llena	AQ0FS0	lleno
de	de	SPS00	de
bino	vino	NCMS000	vino
	,	Fc	,
docena	docena	NCFS000	docena
y	y	CC	y
media	media	NCFS000	media
de	de	SPS00	de
cigarros	cigarros	NCMP000	cigarro
	.	Fp	.
lo	Los	DA0MP0	el
cuarenta	cuarenta	Z	40
reales	reales	NCMP000	real
no	no	RN	no
te	te	PP2CS000	te
los	los	PP3MPA00	lo
mando	mando	VMIP1S0	mandar
porqe	porque	CS	porque
pague	pagué	VMIS1S0	pagar
el	el	DA0MS0	el
dia	día	NCMS000	día
de	de	SPS00	de
N	Nuestro	DP1MSP	nuestro
Sor	Señor	NP00000	señor
a	a	SPS00	a
los	los	DA0MP0	el
que	que	PR0CN000	que
andubieron	anduvieron	VMIS3P0	andar
podando	podando	VMG0000	podar
y	y	CC	y
enjertando	enjertando	VMG0000	enjertar
y	y	CC	y
mondando	mondando	VMG0000	mondar
	,	Fc	,
y	y	CC	y
me	me	PP1CS000	me
he	he	VAIP1S0	haber
quedado	quedado	VMP0000	quedar
sin	sin	SPS00	sin
un	un	DI0MS0	uno
cuarto	cuarto	NCMS000	cuarto
	.	Fp	.
mande	Mandé	VMIP1S0	mandar
a	a	SPS00	a
ber	ver	VMN0000	ver
si	si	CS	si
conpraban	compraban	VMII3P0	comprar
algun	algún	DI0MS0	alguno
aceite	aceite	NCMS000	aceite
y	y	CC	y
no	no	RN	no
encontro	encontró	VMIS3S0	encontrar
la	la	DA0FS0	el
criada	criada	NCFS000	criado
	.	Fp	.
ya	Ya	RG	ya
sabes	sabes	VMIP2S0	saber
qe	que	CS	que
las	las	DA0FP0	el
cosas	cosas	NCFP000	cosa
de	de	SPS00	de
repelon	repelón	NCMS000	repelón
no	no	RN	no
son	son	VSIP3P0	ser
buenas	buenas	AQ0FP0	bueno
	.	Fp	.
no	No	RN	no
puedo	puedo	VMIP1S0	poder
acer	hacer	VMN0000	hacer
mas	más	RC	más
qe	que	CS	que
	,	Fc	,
si	si	CS	si
permaneces	permaneces	VMIP2S0	permanecer
en	en	SPS00	en
esa	ésa	PD0FS000	ese
	,	Fc	,
mandarlos	mandarlos	VMN0000+PP3MPA00	mandar+lo
a	a	SPS00	a
la	la	DA0FS0	el
barca	Barca	NP00000	barca
	,	Fc	,
con	con	SPS00	con
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
me	me	PP1CS000	me
diga	diga	VMSP0S0	decir
mas	más	RC	más
que	que	CS	que
te	te	PP2CS000	te
ace	hace	VMIP3S0	hacer
falta	falta	NCFS000	falta
	.	Fp	.
el	El	DA0MS0	el
niño	niño	NCMS000	niño
esta	está	VMIP3S0	estar
bueno	bueno	AQ0MS0	bueno
y	y	CC	y
mui	muy	RQ	muy
contento	contento	AQ0MS0	contento
con	con	SPS00	con
su	su	DP3CS0	su
peonca	peonza	NCFS000	peonza
	.	Fp	.
puedes	Puedes	VMIP2S0	poder
mandarme	mandarme	VMN0000+PP1CS000	mandar+me
la	la	DA0FS0	el
chaqueta	chaqueta	NCFS000	chaqueta
y	y	CC	y
chaleco	chaleco	NCMS000	chaleco
para	para	SPS00	para
conponertelo	componértelo	VMN0000+PP2CS000+PP3MSA00	componer+te+lo
	.	Fp	.
recibe	Recibe	VMM02S0	recibir
mil	mil	Z	1000
abrazos	abrazos	NCMP000	abrazo
de	de	SPS00	de
tu	tu	DP2CSS	tu
E	esposa	NCFS000	esposo
	.	Fp	.
da	Da	VMM02S0	dar
espresiones	expresiones	NCFP000	expresión
a	a	SPS00	a
P	P	NCFS000	p
.	.	Fp	.
