Querida	Querida	VMP00SF	querer
Ramona	Ramona	NP00000	ramona
;	.	Fp	.
con	Con	SPS00	con
ceferino	Ceferino	NP00000	ceferino
te	te	PP2CS000	te
embio	envío	VMIP1S0	enviar
lo	lo	DA0NS0	el
q	que	PR0CN000	que
tengo	tengo	VMIP1S0	tener
	,	Fc	,
q	que	PR0CN000	que
puede	puede	VMIP3S0	poder
servir	servir	VMN0000	servir
pa	para	SPS00	para
la	la	DA0FS0	el
Gorra	gorra	NCFS000	gorra
	,	Fc	,
pues	pues	CS	pues
la	la	DA0FS0	el
cotonia	cotonía	NCFS000	cotonía
no	no	RN	no
lo	lo	PP3MSA00	lo
he	he	VAIP1S0	haber
podido	podido	VMP0000	poder
encontrar	encontrar	VMN0000	encontrar
,	.	Fp	.
en	En	SPS00	en
fin	fin	NCMS000	fin
	,	Fc	,
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
q	que	PR0CN000	que
haga	haga	VMSP0S0	hacer
falta	falta	NCFS000	falta
compralo	cómpralo	VMM02S0+PP3CNA00	comprar+lo
,	,	Fc	,
pero	pero	CC	pero
siempre	siempre	RG	siempre
con	con	SPS00	con
el	el	DA0MS0	el
concepto	concepto	NCMS000	concepto
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
tengo	tengo	VMIP1S0	tener
hablado	hablado	VMP00SM	hablar
,	,	Fc	,
pues	pues	CS	pues
es	es	VSIP3S0	ser
quanto	cuanto	PA000000	cuanto
conbiene	conviene	VMIP3S0	convenir
pr	por	SPS00	por
haora	ahora	RG	ahora
,	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
esto	esto	PD0NN000	esto
manda	manda	VMM02S0	mandar
	,	Fc	,
Migl	Miguel	NP00000	miguel
Lizana	Lizana	NP00000	lizana
	.	Fp	.
