Querido	Querido	VMP00SM	querer
Manuel	Manuel	NP00000	manuel
	.	Fp	.
con	Con	SPS00	con
mucho	mucho	DI0MS0	mucho
cuidado	cuidado	NCMS000	cuidado
me	me	PP1CS000	me
tiene	tiene	VMIP3S0	tener
el	el	DA0MS0	el
estar	estar	VMN0000	estar
tanto	tanto	DI0MS0	tanto
tiempo	tiempo	NCMS000	tiempo
sin	sin	SPS00	sin
saber	saber	VMN0000	saber
nada	nada	PI0NN00N	nada
de	de	SPS00	de
ti	ti	PP2CSO00	ti
	.	Fp	.
y	Y	CC	y
asi	así	RG	así
te	te	PP2CS000	te
suplico	suplico	VMIP1S0	suplicar
qe	que	CS	que
me	me	PP1CS000	me
escribas	escribas	VMSP2S0	escribir
a	a	SPS00	a
la	la	DA0FS0	el
primera	primera	AO0FS0	primero
proporcion	proporción	NCFS000	proporción
que	que	PR0CN000	que
tengas	tengas	VMSP2S0	tener
y	y	CC	y
me	me	PP1CS000	me
digas	digas	VMSP2S0	decir
algo	algo	PI0CS000	algo
de	de	SPS00	de
bueno	bueno	AQ0MS0	bueno
	.	Fp	.
por	Por	SPS00	por
aqui	aquí	RG	aquí
nada	nada	PI0NN00N	nada
he	he	VAIP1S0	haber
oido	oído	VMP0000	oír
mas	más	RC	más
que	que	CS	que
biene	viene	VMIP3S0	venir
mas	más	RC	más
tropa	tropa	NCFS000	tropa
a	a	SPS00	a
estos	estos	DD0MP0	este
Pueblos	pueblos	NCMP000	pueblo
	.	Fp	.
no	No	RN	no
se	sé	VMIP1S0	saber
con	con	SPS00	con
el	el	DA0MS0	el
fin	fin	NCMS000	fin
que	que	PR0CN000	que
sera	será	VSIF3S0	ser
	.	Fc	,
el	El	DA0MS0	el
niño	niño	NCMS000	niño
esta	está	VMIP3S0	estar
mui	muy	RQ	muy
gordo	gordo	AQ0MS0	gordo
	.	Fp	.
me	Me	PP1CS000	me
diras	dirás	VMIF2S0	decir
si	si	CSI	si
as	has	VAIP2S0	haber
recibido	recibido	VMP0000	recibir
los	los	DA0MP0	el
encargos	encargos	NCMP000	encargo
que	que	PR0CN000	que
te	te	PP2CS000	te
mande	mandé	VMIS1S0	mandar
	.	Fp	.
cuidate	Cuídate	VMM02S0+PP2CS000	cuidar+te
mucho	mucho	RQ	mucho
y	y	CC	y
dispon	dispón	VMM02S0	disponer
como	como	CS	como
gustes	gustes	VMSP2S0	gustar
de	de	SPS00	de
tu	tu	DP2CSS	tu
M	Manuela	NP00000	manuela
	.	Fp	.
ya	Ya	RG	ya
abras	habrás	VAIF2S0	haber
recibido	recibido	VMP0000	recibir
la	la	DA0FS0	el
qe	que	PR0CN000	que
te	te	PP2CS000	te
mande	mandé	VMIS1S0	mandar
desde	desde	SPS00	desde
frejo	Frejo	NP00000	frejo
	.	Fp	.
