Querida	Querida	VMP00SF	querer
.	.	Fp	.
he	He	VAIP1S0	haber
recivido	recibido	VMP0000	recibir
la	la	DA0FS0	el
tuya	tuya	PX2FS0S0	tuyo
,	,	Fc	,
para	para	SPS00	para
mi	mí	PP1CSO00	mí
de	de	SPS00	de
tanto	tanto	DI0MS0	tanto
gusto	gusto	NCMS000	gusto
,	,	Fc	,
pues	pues	CS	pues
me	me	PP1CS000	me
deja	deja	VMIP3S0	dejar
tan	tan	RC	tan
sa-tisfecho	satisfecho	VMP00SM	satisfacer
de	de	SPS00	de
mis	mis	DP1CPS	mi
quejas	quejas	NCFP000	queja
,	,	Fc	,
que	que	CS	que
me	me	PP1CS000	me
he	he	VAIP1S0	haber
persuadido	persuadido	VMP0000	persuadir
de	de	SPS00	de
la	la	DA0FS0	el
sencillez	sencillez	NCFS000	sencillez
con	con	SPS00	con
que	que	PR0CN000	que
me	me	PP1CS000	me
hablas	hablas	VMIP2S0	hablar
,	.	Fp	.
pero	Pero	CC	pero
supuesto	supuesto	VMP00SM	suponer
que	que	CS	que
no	no	RN	no
has	has	VAIP2S0	haber
visto	visto	VMP0000	ver
en	en	SPS00	en
mi	mí	PP1CSO00	mí
falta	falta	NCFS000	falta
alguna	alguna	DI0FS0	alguno
,	,	Fc	,
no	no	RN	no
tenias	tenías	VMII2S0	tener
que	que	CS	que
pensar	pensar	VMN0000	pensar
me	me	PP1CS000	me
seria	sería	VSIC0S0	ser
molesto	molesto	AQ0MS0	molesto
tu	tu	DP2CSS	tu
trato	trato	NCMS000	trato
.	.	Fp	.
en	En	SPS00	en
fin	fin	NCMS000	fin
	,	Fc	,
dejemos	dejemos	VMSP1P0	dejar
esto	esto	PD0NN000	esto
,	.	Fp	.
no	No	RN	no
dudes	dudes	VMSP2S0	dudar
que	que	CS	que
no	no	RN	no
me	me	PP1CS000	me
olvidare	olvidaré	VMIF1S0	olvidar
jamas	jamás	RG	jamás
de	de	SPS00	de
los	los	DA0MP0	el
ratos	ratos	NCMP000	rato
que	que	PR0CN000	que
contigo	contigo	SPS00+PP2CSO00	con+ti
pasé	pasé	VMIS1S0	pasar
tan	tan	RC	tan
gustoso	gustoso	AQ0MS0	gustoso
,	,	Fc	,
y	y	CC	y
que	que	CS	que
siempre	siempre	RG	siempre
encontraras	encontrarás	VMIF2S0	encontrar
en	en	SPS00	en
mi	mí	PP1CSO00	mí
un	un	DI0MS0	uno
amio	amigo	NCMS000	amigo
que	que	PR0CN000	que
te	te	PP2CS000	te
servira	servirá	VMIF3S0	servir
gustoso	gustoso	AQ0MS0	gustoso
.	.	Fc	,
Estos	Estos	DD0MP0	este
dias	días	NCMP000	día
he	he	VAIP1S0	haber
estado	estado	VMP0000	estar
fuera	fuera	RG	fuera
y	y	CC	y
por	por	SPS00	por
eso	eso	PD0NN000	eso
he	he	VAIP1S0	haber
tardado	tardado	VMP0000	tardar
un	un	DI0MS0	uno
cosrco	cosrco	X	X
en	en	SPS00	en
escrivite	escribirte	VMN0000+PP2CS000	escribir+te
.	.	Fp	.
siento	Siento	VMIP1S0	sentir
mucho	mucho	RQ	mucho
hayas	hayas	VASP2S0	haber
estado	estado	VMP0000	estar
en	en	SPS00	en
cama	cama	NCFS000	cama
y	y	CC	y
padezas	padezcas	VMSP2S0	padecer
tantos	tantos	DI0MP0	tanto
dolores	dolores	NCMP000	dolor
,	.	Fp	.
me	Me	PP1CS000	me
alegrare	alegraré	VMIF1S0	alegrar
del	del	SPS00+DA0MS0	de+el
alivio	alivio	NCMS000	alivio
	,	Fc	,
de	de	SPS00	de
q	que	PR0CN000	que
me	me	PP1CS000	me
avisaras	avisarás	VMIF2S0	avisar
sin	sin	SPS00	sin
perdida	pérdida	NCFS000	pérdida
de	de	SPS00	de
tiempo	tiempo	NCMS000	tiempo
.	.	Fp	.
Dn	Don	NP00000	don
Ollarcos	Ollarcos	NP00000	ollarcos
se	se	P00CN000	se
halla	halla	VMIP3S0	hallar
en	en	SPS00	en
esta	ésta	PD0FS000	este
y	y	CC	y
me	me	PP1CS000	me
ha	ha	VAIP3S0	haber
dicho	dicho	VMP0000	decir
las	las	DA0FP0	el
novedades	novedades	NCFP000	novedad
que	que	PR0CN000	que
en	en	SPS00	en
esa	ésa	PD0FS000	ese
han	han	VAIP3P0	haber
ocurrido	ocurrido	VMP0000	ocurrir
,	.	Fp	.
me	Me	PP1CS000	me
voi	voy	VMIP1S0	ir
a	a	SPS00	a
despedir	despedir	VMN0000	despedir
de	de	SPS00	de
el	él	PP3MS000	él
	,	Fc	,
qe	que	CS	que
marcha	marcha	VMIP3S0	marchar
esta	esta	DD0FS0	este
tarde	tarde	NCFS000	tarde
,	.	Fp	.
y	Y	CC	y
asi	así	RG	así
a	a	SPS00	a
Dios	Dios	NP00000	dios
.	.	Fp	.
