querido	Querido	VMP00SM	querer
antolin	Antolín	NP00000	antolín
de	de	SPS00	de
mi	mi	DP1CSS	mi
coracon	corazón	NCMS000	corazón
	.	Fp	.
pues	Pues	CS	pues
no	no	RN	no
te	te	PP2CS000	te
puedo	puedo	VMIP1S0	poder
fijuraar	figurar	VMN0000	figurar
las	las	DA0FP0	el
janas	ganas	NCFP000	gana
que	que	PR0CN000	que
tengo	tengo	VMIP1S0	tener
de	de	SPS00	de
ablaar	hablar	VMN0000	hablar
los	los	DA0MP0	el
dos	dos	Z	2
solos	solos	AQ0MP0	solo
pues	pues	CS	pues
para	para	SPS00	para
quedar	quedar	VMN0000	quedar
en	en	SPS00	en
una	una	DI0FS0	uno
cosa	cosa	NCFS000	cosa
fija	fija	AQ0FS0	fijo
cuando	cuándo	PA000000	cuándo
a	ha	VMIP3S0	haber
de	de	SPS00	de
ser	ser	VSN0000	ser
el	el	DA0MS0	el
sacar	sacar	VMN0000	sacar
la	la	DA0FS0	el
ropa	ropa	NCFS000	ropa
	.	Fp	.
pues	Pues	CS	pues
de	de	SPS00	de
nohe	noche	NCFS000	noche
no	no	RN	no
puede	puede	VMIP3S0	poder
ser	ser	VSN0000	ser
	,	Fc	,
pues	pues	CS	pues
ninjuno	ninguno	PI0MS00N	ninguno
mejor	mejor	RC	mejor
que	que	CS	que
tu	tú	PP2CSN00	tú
sabe	sabe	VMIP3S0	saber
adonde	adónde	PA000000	adónde
duerme	duerme	VMIP3S0	dormir
mi	mi	DP1CSS	mi
padre	padre	NCMS000	padre
	,	Fc	,
pues	pues	CS	pues
duerme	duerme	VMIP3S0	dormir
mui	muy	RQ	muy
cerca	cerca	RG	cerca
de	de	SPS00	de
mi	mí	PP1CSO00	mí
i	y	CC	y
a	a	SPS00	a
nada	nada	PI0NN00N	nada
de	de	SPS00	de
ruido	ruido	NCMS000	ruido
que	que	PR0CN000	que
se	se	P00CN000	se
aja	haga	VMSP0S0	hacer
luego	luego	RG	luego
lo	lo	PP3CNA00	lo
oie	oye	VMIP3S0	oír
	.	Fp	.
pues	Pues	CS	pues
es	es	VSIP3S0	ser
mejor	mejor	RC	mejor
quando	cuando	PA000000	cuando
se	se	P00CN000	se
baya	vaya	VMSP0S0	ir
afuera	afuera	RG	afuera
	,	Fc	,
pues	pues	CS	pues
a	ha	VAIP3S0	haber
diho	dicho	VMP0000	decir
que	que	CS	que
tiene	tiene	VMIP3S0	tener
que	que	CS	que
yr	ir	VMN0000	ir
a	a	SPS00	a
ber	ver	VMN0000	ver
a	a	SPS00	a
doña	doña	NP00000	don
antonia	Antonia	NP00000	antonia
	,	Fc	,
la	la	DA0FS0	el
ermana	hermana	NCFS000	hermano
del	del	SPS00+DA0MS0	de+el
señor	señor	NP00000	señor
cura	cura	NCMS000	cura
	.	Fp	.
pues	Pues	CS	pues
restara	restará	VMIF3S0	restar
tres	tres	Z	3
dias	días	NCMP000	día
alla	allá	RG	allá
	,	Fc	,
pues	pues	CS	pues
no	no	RN	no
ai	hay	VMIP3S0	haber
mejor	mejor	RC	mejor
ocasion	ocasión	NCFS000	ocasión
que	que	CS	que
entonces	entonces	RG	entonces
	.	Fp	.
pues	Pues	CS	pues
no	no	RN	no
isiera	hiciera	VMSI0S0	hacer
mas	más	RC	más
que	que	CS	que
estar	estar	VMN0000	estar
contijo	contigo	SPS00+PP2CSO00	con+ti
para	para	SPS00	para
ablar	hablar	VMN0000	hablar
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
que	que	PR0CN000	que
nos	nos	PP1CP000	nos
podra	podrá	VMIF3S0	poder
conbenir	convenir	VMN0000	convenir
para	para	SPS00	para
nuestro	nuestro	DP1MSP	nuestro
bien	bien	NCMS000	bien
y	y	CC	y
para	para	SPS00	para
mirar	mirar	VMN0000	mirar
bien	bien	RG	bien
lo	lo	DA0NS0	el
que	que	PR0CN000	que
bamos	vamos	VMIP1P0	ir
acer	hacer	VMN0000	hacer
	,	Fc	,
para	para	SPS00	para
mañana	mañana	RG	mañana
u	u	CC	o
otro	otro	DI0MS0	otro
dia	día	NCMS000	día
no	no	RN	no
ehar	echar	VMN0000	echar
la	la	DA0FS0	el
culpa	culpa	NCFS000	culpa
a	a	SPS00	a
nadie	nadie	PI0NN00N	nadie
mas	más	RC	más
que	que	CS	que
nosotros	nosotros	PP1MP000	nosotros
dos	dos	Z	2
	.	Fp	.
conformarnos	Conformarnos	VMN0000+PP1CP000	conformar+nos
con	con	SPS00	con
lo	lo	DA0NS0	el
que	que	PR0CN000	que
nos	nos	PP1CP000	nos
benja	venga	VMSP0S0	venir
pues	pues	CS	pues
para	para	SPS00	para
la	la	DA0FS0	el
ropa	ropa	NCFS000	ropa
	,	Fc	,
pues	pues	CS	pues
estando	estando	VMG0000	estar
contijo	contigo	SPS00+PP2CSO00	con+ti
pues	pues	CS	pues
se	se	P00CN000	se
me	me	PP1CS000	me
fijura	figura	NCFS000	figura
que	que	CS	que
lo	lo	PP3CNA00	lo
tenjo	tengo	VMIP1S0	tener
de	de	SPS00	de
disponer	disponer	VMN0000	disponer
mejor	mejor	RC	mejor
que	que	CS	que
tu	tú	PP2CSN00	tú
	.	Fp	.
pues	Pues	CS	pues
lo	lo	DA0NS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
dices	dices	VMIP2S0	decir
del	del	SPS00+DA0MS0	de+el
