querido	Querido	VMP00SM	querer
antolin	Antolín	NP00000	antolín
de	de	SPS00	de
mi	mi	DP1CSS	mi
alma	alma	NCFS000	alma
i	y	CC	y
de	de	SPS00	de
mi	mi	DP1CSS	mi
coracon	corazón	NCMS000	corazón
	.	Fp	.
todo	Todo	DI0MS0	todo
lo	lo	DA0NS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
dices	dices	VMIP2S0	decir
en	en	SPS00	en
quanto	cuanto	PA000000	cuanto
puedo	puedo	VMIP1S0	poder
saqar	sacar	VMN0000	sacar
la	la	DA0FS0	el
ropa	ropa	NCFS000	ropa
	.	Fp	.
me	Me	PP1CS000	me
tienes	tienes	VMIP2S0	tener
por	por	SPS00	por
tuia	tuya	PX2FS0S0	tuyo
	,	Fp	,
pues	pues	CS	pues
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
dices	dices	VMIP2S0	decir
que	que	CS	que
no	no	RN	no
llore	llore	VMSP0S0	llorar
no	no	RN	no
lo	lo	PP3CNA00	lo
puedo	puedo	VMIP1S0	poder
remediar	remediar	VMN0000	remediar
	,	Fc	,
porque	porque	CS	porque
en	en	SPS00	en
estos	estos	DD0MP0	este
dias	días	NCMP000	día
me	me	PP1CS000	me
echo	echo	VMIP1S0	echar
tanto	tanto	RC	tanto
a	a	SPS00	a
llorar	llorar	VMN0000	llorar
que	que	CS	que
ia	ya	RG	ya
no	no	RN	no
lo	lo	PP3CNA00	lo
puedo	puedo	VMIP1S0	poder
remediar	remediar	VMN0000	remediar
	,	Fc	,
sino	sino	CC	sino
estoi	estoy	VMIP1S0	estar
siempre	siempre	RG	siempre
llorando	llorando	VMG0000	llorar
quando	cuando	PA000000	cuando
me	me	PP1CS000	me
aquerdo	acuerdo	VMIP1S0	acordar
de	de	SPS00	de
ti	ti	PP2CSO00	ti
	,	Fc	,
el	el	DA0MS0	el
ber	ver	VMN0000	ver
que	que	CS	que
antes	antes	RG	antes
eras	eras	VSII2S0	ser
vueno	bueno	AQ0MS0	bueno
i	y	CC	y
aora	ahora	RG	ahora
eres	eres	VSIP2S0	ser
malo	malo	AQ0MS0	malo
	.	Fp	.
pues	Pues	CS	pues
bien	bien	RG	bien
que	que	CS	que
no	no	RN	no
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
rejular	regular	AQ0CS0	regular
salir	salir	VMN0000	salir
desnuda	desnuda	AQ0FSP	desnudo
	,	Fc	,
pues	pues	CS	pues
para	para	SPS00	para
san	San	NP00000	san
agustin	Agustín	NP00000	agustín
que	que	CS	que
boi	voy	VMIP1S0	ir
a	a	SPS00	a
fuentes	Fuentes	NP00000	fuentes
es	es	VSIP3S0	ser
la	la	DA0FS0	el
mejor	mejor	AQ0CS0	mejor
oqasion	ocasión	NCFS000	ocasión
o	o	CC	o
si	si	CS	si
puedo	puedo	VMIP1S0	poder
antes	antes	RG	antes
saqar	sacar	VMN0000	sacar
la	la	DA0FS0	el
ropa	ropa	NCFS000	ropa
	.	Fp	.
pues	Pues	CS	pues
como	como	CS	como
se	se	P00CN000	se
buelban	vuelvan	VMSP3P0	volver
atras	atrás	RG	atrás
	,	Fc	,
	¿	Fia	¿
pues	pues	CS	pues
no	no	RN	no
bes	ves	VMIP2S0	ver
que	qué	DT0CN0	qué
jalopinada	galopinada	NCFS000	galopinada
a	ha	VAIP3S0	haber
usado	usado	VMP0000	usar
qon	con	SPS00	con
nosotros	nosotros	PP1MP000	nosotros
	?	Fit	?
pues	Pues	CS	pues
no	no	RN	no
te	te	PP2CS000	te
pido	pido	VMIP1S0	pedir
mas	más	RC	más
que	que	CS	que
mires	mires	VMSP2S0	mirar
a	a	SPS00	a
ber	ver	VMN0000	ver
si	si	CS	si
podemos	podemos	VMIP1P0	poder
saqarle	sacarle	VMN0000+PP3CSD00	sacar+le
lo	lo	DA0NS0	el
que	que	PR0CN000	que
es	es	VSIP3S0	ser
de	de	SPS00	de
mi	mi	DP1CSS	mi
madre	madre	NCFS000	madre
	,	Fc	,
porque	porque	CS	porque
es	es	VSIP3S0	ser
qurador	curador	NCMS000	curador
mio	mío	DP1MSS	mío
	.	Fp	.
i	Y	CC	y
disimula	disimula	NCFS000	disimula
por	por	SPS00	por
lo	lo	DA0NS0	el
mal	mal	NCMS000	mal
es	es	VSIP3S0	ser
estar	estar	VMN0000	estar
	,	Fc	,
porque	porque	CS	porque
estoi	estoy	VMIP1S0	estar
boba	boba	NCFS000	bobo
	.	Fp	.
i	Y	CC	y
manda	manda	VMIP3S0	mandar
a	a	SPS00	a
esta	ésta	PD0FS000	este
que	que	CS	que
te	te	PP2CS000	te
adora	adora	VMIP3S0	adorar
i	y	CC	y
en	en	SPS00	en
ti	ti	PP2CSO00	ti
tien	tiene	VMIP3S0	tener
la	la	DA0FS0	el
esperanca	esperanza	NCFS000	esperanza
	.	Fp	.
Victoria	Victoria	NCFS000	victoria
Martinez	Martínez	NP00000	martínez
y	Y	CC	y
me	me	PP1CS000	me
contestaras	contestarás	VMIF2S0	contestar
quando	cuando	PA000000	cuando
puedas	puedas	VMSP2S0	poder
y	y	CC	y
luejo	luego	RG	luego
	.	Fp	.
