Señor	Señor	NP00000	señor
Cura	cura	NCMS000	cura
,	.	Fp	.
o	O	CC	o
morir	morir	VMN0000	morir
usted	usted	PP2CS000	usted
con	con	SPS00	con
la	la	DA0FS0	el
pouta	puta	NCFS000	puta
de	de	SPS00	de
la	la	DA0FS0	el
ama	ama	NCFS000	amo
ó	o	CC	o
marchar	marchar	VMN0000	marchar
a	a	SPS00	a
otra	otra	DI0FS0	otro
parte	parte	NCFS000	parte
	,	Fc	,
porque	porque	CS	porque
mientras	mientras	RG	mientras
esten	estén	VMSP3P0	estar
en	en	SPS00	en
el	el	DA0MS0	el
pueblo	pueblo	NCMS000	pueblo
no	no	RN	no
abra	habrá	VMIF3S0	haber
paz	paz	NCFS000	paz
con	con	SPS00	con
gente	gente	NCFS000	gente
tan	tan	RC	tan
soberbia	soberbia	NCFS000	soberbia
y	y	CC	y
alborotadora	alborotadora	NCFS000	alborotador
	.	Fp	.
el	El	DA0MS0	el
pueblo	pueblo	NCMS000	pueblo
esta	está	VMIP3S0	estar
desazonado	desazonado	VMP00SM	desazonar
por	por	SPS00	por
usted	usted	PP2CS000	usted
y	y	CC	y
esa	esa	DD0FS0	ese
putuna	putona	NCFS000	putona
borrera	borrega	NCFS000	borrego
que	que	CS	que
todo	todo	PI0MS000	todo
lo	lo	PP3CNA00	lo
quire	quiere	VMIP3S0	querer
mandar	mandar	VMN0000	mandar
por	por	SPS00	por
las	las	DA0FP0	el
alas	alas	NCFP000	ala
	,	Fc	,
cura	cura	NCMS000	cura
,	.	Fp	.
pero	Pero	CC	pero
lo	lo	PP3CNA00	lo
pagara	pagará	VMIF3S0	pagar
y	y	CC	y
si	si	CS	si
no	no	RN	no
usted	usted	PP2CS000	usted
,	.	Fp	.
dejar	Dejar	VMN0000	dejar
de	de	SPS00	de
mandar	mandar	VMN0000	mandar
y	y	CC	y
de	de	SPS00	de
governar	gobernar	VMN0000	gobernar
en	en	SPS00	en
lo	lo	DA0NS0	el
que	que	PR0CN000	que
no	no	RN	no
le	le	PP3CSD00	le
toca	toca	VMIP3S0	tocar
	,	Fc	,
porque	porque	CS	porque
no	no	RN	no
mas	más	RC	más
justicia	justicia	NCFS000	justicia
que	que	CS	que
la	la	DA0FS0	el
catalana	catalana	NCFS000	catalán
para	para	SPS00	para
los	los	DA0MP0	el
enredadores	enredadores	NCMP000	enredador
	,	Fc	,
albotadores	alborotadores	NCMP000	alborotador
y	y	CC	y
enbrollones	embrollones	NCMP000	embrollón
y	y	CC	y
puteros	puteros	NCMP000	putero
;	.	Fp	.
ojo	Ojo	NCMS000	ojo
	,	Fc	,
alerta	alerta	RG	alerta
con	con	SPS00	con
los	los	DA0MP0	el
pasquines	pasquines	NCMP000	pasquín
	,	Fc	,
que	que	CS	que
alguno	alguno	PI0MS000	alguno
pagara	pagará	VMIF3S0	pagar
sin	sin	SPS00	sin
dinero	dinero	NCMS000	dinero
.	.	Fp	.
Basta	Basta	VMIP3S0	bastar
	.	Fp	.
