Mi	Mi	DP1CSS	mi
Querido	querido	VMP00SM	querer
Dn	don	NP00000	don
Manuel	Manuel	NP00000	manuel
	.	Fp	.
Despues	Después	RG	después
de	de	SPS00	de
dar	dar	VMN0000	dar
a	a	SPS00	a
U	usted	PP2CS000	usted
las	las	DA0FP0	el
mas	más	RC	más
expresivas	expresivas	AQ0FP0	expresivo
gracias	gracias	NCFP000	gracia
pr	por	SPS00	por
los	los	DA0MP0	el
singulares	singulares	AQ0CP0	singular
fabo-res	favores	NCMP000	favor
que	que	PR0CN000	que
me	me	PP1CS000	me
esta	está	VMIP3S0	estar
dispensando	dispensando	VMG0000	dispensar
,	,	Fc	,
le	le	PP3CSD00	le
digo	digo	VMIP1S0	decir
que	que	CS	que
Salgado	Salgado	NP00000	salgado
encuentra	encuentra	VMIP3S0	encontrar
algunos	algunos	DI0MP0	alguno
ostaculos	obstáculos	NCMP000	obstáculo
que	que	CS	que
	,	Fc	,
aunqe	aunque	CS	aunque
pequeños	pequeños	AQ0MP0	pequeño
y	y	CC	y
sin	sin	SPS00	sin
responsabilidad	responsabilidad	NCFS000	responsabilidad
,	,	Fc	,
no	no	RN	no
quiero	quiero	VMIP1S0	querer
comprometerlo	comprometerlo	VMN0000+PP3MSA00	comprometer+lo
a	a	SPS00	a
que	que	CS	que
lo	lo	PP3CNA00	lo
aga	haga	VMSP0S0	hacer
,	,	Fc	,
por	por	SPS00	por
lo	lo	DA0NS0	el
que	que	PR0CN000	que
Queral	Queral	NP00000	queral
podra	podrá	VMIF3S0	poder
ber	ver	VMN0000	ver
si	si	CS	si
sabe	sabe	VMIP3S0	saber
de	de	SPS00	de
algun	algún	DI0MS0	alguno
otro	otro	PI0MS000	otro
qe	que	CS	que
lo	lo	PP3CNA00	lo
conozca	conozca	VMSP0S0	conocer
,	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
caso	caso	NCMS000	caso
de	de	SPS00	de
no	no	RN	no
ser	ser	VSN0000	ser
suficien-te	suficiente	AQ0CS0	suficiente
la	la	DA0FS0	el
declaracion	declaración	NCFS000	declaración
de	de	SPS00	de
dos	dos	Z	2
ofs	oficiales	NCMP000	oficial
con	con	SPS00	con
Rs	reales	NCMP000	real
despachos	despachos	NCMP000	despacho
,	,	Fc	,
que	que	CS	que
solicite	solicite	VMSP0S0	solicitar
se	se	P00CN000	se
remita	remita	VMSP0S0	remitir
á	a	SPS00	a
esta	ésta	PD0FS000	este
un	un	DI0MS0	uno
interrogatorio	interrogatorio	NCMS000	interrogatorio
pa	para	SPS00	para
que	que	CS	que
declare	declare	VMSP0S0	declarar
el	el	DA0MS0	el
que	que	CS	que
á	a	SPS00	a
el	el	DA0MS0	el
le	le	PP3CSD00	le
parezca	parezca	VMSP0S0	parecer
puede	puede	VMIP3S0	poder
ha-cerlo	hacerlo	VMN0000+PP3CNA00	hacer+lo
,	.	Fp	.
y	Y	CC	y
si	si	CS	si
de	de	SPS00	de
algun	algún	DI0MS0	alguno
modo	modo	NCMS000	modo
sirbe	sirve	VMIP3S0	servir
la	la	DA0FS0	el
declaracion	declaración	NCFS000	declaración
de	de	SPS00	de
Herrero	Herrero	NP00000	herrero
	,	Fc	,
el	el	DA0MS0	el
estudiante	estudiante	NCMS000	estudiante
de	de	SPS00	de
Salamca	Salamanca	NP00000	salamanca
que	que	CS	que
lo	lo	PP3CNA00	lo
solicite	solicite	VMSP0S0	solicitar
pa	para	SPS00	para
este	éste	PD0MS000	este
,	,	Fc	,
que	que	CS	que
sabe	sabe	VMIP3S0	saber
fue	fue	VSIS3S0	ser
tal	tal	RC	tal
Sargto	sargento	NCMS000	sargento
2o	segundo	AO0MS0	segundo
	,	Fc	,
pues	pues	CS	pues
yo	yo	PP1CSN00	yo
no	no	RN	no
allo	hallo	VMIP1S0	hallar
otro	otro	DI0MS0	otro
medio	medio	NCMS000	medio
.	.	Fp	.
Nada	Nada	PI0NN00N	nada
ocurre	ocurre	VMIP3S0	ocurrir
que	que	CS	que
merezca	merezca	VMSP0S0	merecer
la	la	DA0FS0	el
atencion	atención	NCFS000	atención
y	y	CC	y
si	sí	RG	sí
solo	sólo	RG	sólo
deseos	deseos	NCMP000	deseo
de	de	SPS00	de
dar	dar	VMN0000	dar
a	a	SPS00	a
U	usted	PP2CS000	usted
un	un	DI0MS0	uno
abrazo	abrazo	NCMS000	abrazo
su	su	DP3CS0	su
apasionado	apasionado	VMP00SM	apasionar
y	y	CC	y
reconocido	reconocido	VMP00SM	reconocer
amigo	amigo	NP00000	amigo
Q	que	CS	que
S	su	DP3CS0	su
M	mano	NCFS000	mano
B	besa	VMIP3S0	besar
.	.	Fp	.
Diego	Diego	NP00000	diego
Parreño	Parreño	NP00000	parreño
