Villavaruz	Villabaruz	NP00000	villabaruz
	,	Fc	,
y	y	CC	y
Ne	noviembre	NCMS000	noviembre
28	28	Z	28
de	de	SPS00	de
1800	1800	Z	1800
Mui	Muy	RQ	muy
señor	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
en	En	SPS00	en
respuesta	respuesta	NCFS000	respuesta
de	de	SPS00	de
su	su	DP3CS0	su
carta	carta	NCFS000	carta
	,	Fc	,
en	en	SPS00	en
que	que	CS	que
me	me	PP1CS000	me
comunica	comunica	VMIP3S0	comunicar
la	la	DA0FS0	el
providencia	providencia	NCFS000	providencia
dada	dada	VMP00SF	dar
por	por	SPS00	por
la	la	DA0FS0	el
sala	sala	NCFS000	sala
A	a	SPS00	a
fin	fin	NCMS000	fin
de	de	SPS00	de
que	que	CS	que
se	se	P00CN000	se
me	me	PP1CS000	me
remueva	remueva	VMSP0S0	remover
de	de	SPS00	de
deposito	depósito	NCMS000	depósito
a	a	SPS00	a
la	la	DA0FS0	el
villa	villa	NCFS000	villa
de	de	SPS00	de
Cuenca	Cuenca	NP00000	cuenca
que	que	CS	que
yo	yo	PP1CSN00	yo
preceto	precepto	NCMS000	precepto
	,	Fc	,
soy	soy	VSIP1S0	ser
gustosa	gustosa	AQ0FS0	gustoso
en	en	SPS00	en
que	que	CS	que
a	a	SPS00	a
la	la	DA0FS0	el
mayor	mayor	AQ0CS0	mayor
vrevedad	brevedad	NCFS000	brevedad
se	se	P00CN000	se
ponga	ponga	VMSP0S0	poner
en	en	SPS00	en
egecucion	ejecución	NCFS000	ejecución
	,	Fc	,
para	para	SPS00	para
qitar	quitar	VMN0000	quitar
los	los	DA0MP0	el
rezelos	recelos	NCMP000	recelo
mal	mal	RG	mal
fundados	fundados	NCMP000	fundado
de	de	SPS00	de
mi	mi	DP1CSS	mi
marido	marido	NCMS000	marido
	,	Fc	,
el	el	DA0MS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
preste	preste	VMSP0S0	prestar
del	del	SPS00+DA0MS0	de+el
caudal	caudal	NCMS000	caudal
los	los	DA0MP0	el
Alimentos	alimentos	NCMP000	alimento
devengados	devengados	NCMP000	devengado
y	y	CC	y
los	los	DA0MP0	el
que	que	PR0CN000	que
se	se	P00CN000	se
devengaren	devengaren	VMSF3P0	devengar
y	y	CC	y
los	los	DA0MP0	el
dineros	dineros	NCMP000	dinero
que	que	PR0CN000	que
le	le	PP3CSD00	le
estoy	estoy	VMIP1S0	estar
deviendo	debiendo	VMG0000	deber
y	y	CC	y
demas	demás	NCMS000	demás
que	que	CS	que
sea	sea	VSSP0S0	ser
necesario	necesario	AQ0MS0	necesario
para	para	SPS00	para
segir	seguir	VMN0000	seguir
el	el	DA0MS0	el
pleyto	pleito	NCMS000	pleito
	,	Fc	,
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
pedira	pedirá	VMIF3S0	pedir
antes	antes	RG	antes
de	de	SPS00	de
tratar	tratar	VMN0000	tratar
de	de	SPS00	de
mi	mi	DP1CSS	mi
puvlica	pública	AQ0FS0	público
y	y	CC	y
justa	justa	AQ0FS0	justo
queja	queja	NCFS000	queja
por	por	SPS00	por
la	la	DA0FS0	el
necesidad	necesidad	NCFS000	necesidad
en	en	SPS00	en
qe	que	CS	que
me	me	PP1CS000	me
allo	hallo	VMIP1S0	hallar
de	de	SPS00	de
mi	mi	DP1CSS	mi
mantencion	mantención	NCFS000	mantención
y	y	CC	y
la	la	DA0FS0	el
de	de	SPS00	de
la	la	DA0FS0	el
familia	familia	NCFS000	familia
que	que	PR0CN000	que
me	me	PP1CS000	me
acompaña	acompaña	VMIP3S0	acompañar
