Meu	Meu	DP1MSS	meu
Tio	Tio	NP00000	tio
	,	Fc	,
estou	estou	VMIP1S0	estar
Lembranda	lembrada	VMP00SF	lembrar
disto	disto	SPS00+PD0NN000	de+este
q	que	PR0CN000	que
va	vai	VMIP3S0	ir
repetido	repetido	NCMS000	repetido
aserca	acerca	RG	acerca
de	de	SPS00	de
Jona	Joana	NP00000	joana
Roldoua	Roldoa	NP00000	roldoa
	,	Fc	,
asim	assim	RG	assim
q	que	CS	que
vm	VM	NP00000	VM
me	me	PP1CS000	me
mandara	mandará	VMIF3S0	mandar
dezer	dizer	VMN0000	dizer
da	da	SPS00+DA0FS0	de+o
sorte	sorte	NCFS000	sor
q	que	PR0CN000	que
as	as	PP3FPA00	o
e	hei	VMIP1S0	haver
de	de	SPS00	de
dezer	dizer	VMN0000	dizer
	,	Fc	,
se	se	CS	se
a	a	DA0FS0	o
cauza	causa	NCFS000	causa
lhe	lhe	PP3CSD00	lhe
parese	parece	VMIP3S0	parecer
mateira	matéria	NCFS000	matéria
capas	capaz	AQ0CS0	capaz
de	de	SPS00	de
se	se	CS	se
saber	saber	VMN0000	saber
-	.	Fp	.
disse	Disse	VMIS3S0	dizer
Jona	Joana	NP00000	joana
Roldoua	Roldoa	NP00000	roldoa
deante	diante	RG	diante
de	de	SPS00	de
mim	mim	PP1CSO00	mim
q	que	CS	que
	,	Fc	,
vendo	vendo	VMG0000	ver
cumugar	comungar	VMN0000	comungar
humas	umas	DI0FP0	um
pesouas	pessoas	NCFP000	pessoa
	,	Fc	,
lhe	lhe	PP3CSD00	lhe
vira	vira	VMIM0S0	ver
deitar	deitar	VMN0000	deitar
a	a	SPS00	a
S	São	NP00000	são
Nicolão	Nicolau	NP00000	nicolau
a	a	SPS00	a
cada	cada	DI0CN0	cada
huma	uma	DI0FS0	um
sua	sua	DP3FS0	seu
bensão	bênção	NCFS000	bênção
	.	Fp	.
dise	Disse	VMIS3S0	dizer
mais	mais	RC	mais
deante	diante	RG	diante
de	de	SPS00	de
mim	mim	PP1CSO00	mim
	,	Fc	,
aserca	acerca	RG	acerca
de	de	SPS00	de
huma	uma	DI0FS0	um
pesoua	pessoa	NCFS000	pessoa
tomar	tomar	VMN0000	tomar
estado	estado	NCMS000	estado
	,	Fc	,
q	que	CS	que
so	só	RG	só
o	o	DA0MS0	o
de	de	SPS00	de
freira	freira	NCFS000	freira
avia	havia	VMII0S0	haver
tomar	tomar	VMN0000	tomar
	,	Fc	,
ainda	ainda	RG	ainda
q	que	CS	que
