Minhas	Minhas	DP1FPS	meu
indisposições	indisposições	NCFP000	indisposição
q	que	PR0CN000	que
á	há	VMIP3S0	haver
mtos	muitos	DI0MP0	muito
dias	dias	NCMP000	dia
padeco	padeço	VMIP1S0	padecer
são	são	VSIP3P0	ser
causa	causa	NCFS000	causa
de	de	SPS00	de
não	não	RN	não
Fazer	fazer	VMN0000	fazer
isto	isto	PD0NN000	isto
mtas	muitas	PI0FP000	muito
vezes	vezes	NCFP000	vez
	.	Fp	.
vm	VM	NP00000	VM
me	me	PP1CS000	me
mande	mande	VMSP0S0	mandar
mtas	muitas	DI0FP0	muito
novas	novas	NCFP000	nova
suas	suas	DP3FP0	seu
	,	Fc	,
&amp;	e	CC	e
de	de	SPS00	de
sua	sua	DP3FS0	seu
saúde	saúde	NCFS000	saúde
	,	Fc	,
&amp;	e	CC	e
na	na	SPS00+DA0FS0	em+o
volta	volta	NCFS000	volta
	,	Fc	,
e	e	CC	e
mtas	muitas	DI0FP0	muito
couzas	coisas	NCFP000	coisa
de	de	SPS00	de
seu	seu	DP3MS0	seu
serviço	serviço	NCMS000	serviço
,	.	Fp	.
eu	Eu	PP1CSN00	eu
fico	fico	VMIP1S0	ficar
milhor	melhor	RC	melhor
	,	Fc	,
a	a	SPS00	a
ds	Deus	NP00000	deus
graças	graças	NCFP000	graça
	,	Fc	,
ainda	ainda	RG	ainda
q	que	CS	que
Com	com	SPS00	com
achaques	achaques	NCMP000	achaque
	.	Fp	.
A	A	DA0FS0	o
q	que	PR0CN000	que
com	com	SPS00	com
esta	esta	DD0FS0	este
vai	vai	VMIP3S0	ir
he	é	VSIP3S0	ser
de	de	SPS00	de
hũ	um	DI0MS0	um
frade	frade	NCMS000	frade
de	de	SPS00	de
st	Santo	NP00000	santo
Anto	António	NP00000	antónio
	,	Fc	,
Letrado	letrado	AQ0MS0	letrado
,	,	Fc	,
bõ	bom	AQ0MS0	bom
theologo	teólogo	NCMS000	teólogo
&amp;	e	CC	e
bẽ	bem	RG	bem
nascido	nascido	VMP00SM	nascer
,	.	Fp	.
Comigo	Comigo	SPS00+PP1CSO00	com+mim
cõmunicou	comunicou	VMIS3S0	comunicar
o	o	DA0MS0	o
nego	negócio	NCMS000	negócio
q	que	PR0CN000	que
nella	nela	SPS00+PP3FS000	em+ela
trata	trata	VMIP3S0	tratar
	.	Fp	.
eu	Eu	PP1CSN00	eu
trabalhei	trabalhei	VMIS1S0	trabalhar
por	por	SPS00	por
satisfazer	satisfazer	VMN0000	satisfazer
a	a	SPS00	a
seus	seus	DP3MP0	seu
scrupulos	escrúpulos	NCMP000	escrúpulo
cõ	com	SPS00	com
as	as	DA0FP0	o
Razões	razões	NCFP000	razão
mais	mais	RC	mais
aparadas	aparadas	VMP00PF	aparar
q	que	CS	que
pude	pude	VMIS1S0	poder
,	.	Fp	.
&amp;	E	CC	e
q	que	CS	que
aos	aos	SPS00+DA0MP0	a+o
prezos	presos	NCMP000	preso
do	do	SPS00+DA0MS0	de+o
sto	Santo	NP00000	santo
offo	Ofício	NP00000	ofício
	,	Fc	,
Conselho	conselho	NCMS000	conselho
	,	Fc	,
nẽ	nem	CCN	nem
mãgar	manjar	NCMS000	manjar
spiritual	espiritual	AQ0CS0	espiritual
	,	Fc	,
nẽ	nem	CCN	nem
o	o	DA0MS0	o
temporal	temporal	AQ0CS0	temporal
pa	para	SPS00	para
o	o	DA0MS0	o
corpo	corpo	NCMS000	corpo
lhe	lhe	PP3CSD00	lhe
falta	falta	VMIP3S0	faltar
	.	Fp	.
Em	Em	SPS00	em
conclusão	conclusão	NCFS000	conclusão
	,	Fc	,
me	me	PP1CS000	me
Respondeo	respondeu	VMIS3S0	responder
q	que	CS	que
tinha	tinha	VMII0S0	ter
scrupulos	escrúpulos	NCMP000	escrúpulo
grandes	grandes	AQ0CP0	grande
,	,	Fc	,
&amp;	e	CC	e
aspirações	aspirações	NCFP000	aspiração
	,	Fc	,
&amp;	e	CC	e
q	que	CS	que
tivera	tivera	VMIM0S0	ter
hũa	uma	DI0FS0	um
grande	grande	AQ0CS0	grande
infirmidade	enfermidade	NCFS000	enfermidade
q	que	CS	que
cuida	cuida	VMIP3S0	cuidar
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
naçeo	nasceu	VMIS3S0	nascer
por	por	SPS00	por
não	não	RN	não
ir	ir	VMN0000	ir
a	a	SPS00	a
essa	essa	DD0FS0	esse
çidade	cidade	NCFS000	esse
fallar	falar	VMN0000	falar
cõ	com	SPS00	com
vm	VM	NP00000	VM
	.	Fp	.
por	Por	SPS00	por
saber	saber	VMN0000	saber
da	da	SPS00+DA0FS0	de+o
natureza	natureza	NCFS000	natureza
deste	deste	SPS00+DD0MS0	de+este
homẽ	homem	NCMS000	homem
&amp;	e	CC	e
quã	quão	RC	quão
inteiro	inteiro	AQ0MS0	inteiro
he	é	VSIP3S0	ser
pella	pela	SPS00+DA0FS0	por+o
eispiriençia	experiência	NCFS000	experiência
q	que	PR0CN000	que
helle	ele	PP3MS000	ele
tem	tem	VMIP3S0	ter
	,	Fc	,
&amp;	e	CC	e
ẽ	em	SPS00	em
semelhantes	semelhantes	AQ0CP0	semelhante
materias	matérias	NCFP000	matéria
na	na	SPS00+DA0FS0	em+o
Religião	religião	NCFS000	religião
o	o	PP3MSA00	o
tẽ	tem	VAIP3S0	ter
visto	visto	VMP0000	ver
este	este	DD0MS0	este
padre	padre	NCMS000	padre
	,	Fc	,
ficara	ficará	VMIF3S0	ficar
mto	muito	RQ	muito
quieto	quieto	AQ0MS0	quieto
avizandome	avisando-me	VMG0000+PP1CS000	avisar+me
v	Vossa	DP2FSP	vosso
m	Mercê	NP00000	mercê
que	que	CS	que
o	o	PP3MSA00	o
pode	pode	VMIP3S0	poder
estar	estar	VMN0000	estar
	.	Fp	.
por	Por	SPS00	por
hora	ora	RG	ora
,	,	Fc	,
não	não	RN	não
se	se	P00CN000	se
offereçe	oferece	VMIP3S0	oferecer
outra	outra	DI0FS0	outro
cousa	coisa	NCFS000	coisa
	.	Fp	.
nosso	Nosso	Fp	.
snor	Senhor	Fp	.
o	o	Fp	.
g	guarde	Fp	.
	.	Fp	.
de	De	Fp	.
Coimbra	Coimbra	Fp	.
	,	Fp	.
13	13	Fp	.
de	de	Fp	.
janro	janeiro	Fp	.
de	de	Fp	.
603	603	Fp	.
	.	Fp	.
po	Pero	Fp	.
de	de	Fp	.
cascaes	Cascais	Fp	.
d	de	Fp	.
avreu	Abreu	Fp	.
