As	Às	SPS00+DA0FP0	a+o
de	de	SPS00	de
vm	VM	NP00000	VM
devo	devo	VMIP1S0	dever
Reposta	resposta	NCFS000	resposta
	,	Fc	,
que	que	PR0CN000	que
satisfarei	satisfarei	VMIF1S0	satisfazer
Con	com	SPS00	com
esta	esta	PD0FS000	este
	.	Fp	.
por	Por	SPS00	por
elas	elas	PP3FP000	ele
	,	Fc	,
Vejo	vejo	VMIP1S0	ver
em	em	SPS00	em
Como	como	PA000000	como
Simão	Simão	NP00000	simão
Roiz	Rodrigues	NP00000	rodrigues
Carneiro	Carneiro	NP00000	carneiro
esta	está	VMIP3S0	estar
nesas	nessas	SPS00+DD0FP0	em+esse
partez	partes	NCFP000	parte
não	.	Fp	.
não	Não	RN	não
entendi	entendi	VMIS1S0	entender
	,	Fc	,
segundo	segundo	SPS00	segundo
suas	suas	DP3FP0	seu
palavras	palavras	NCFP000	palavra
	,	Fc	,
que	que	CS	que
ouvese	houvesse	VASI0S0	haver
dilatado	dilatado	VMP0000	dilatar
tanto	tanto	RC	tanto
a	a	DA0FS0	o
paga	paga	NCFS000	paga
mas	,	Fc	,
mas	mas	CC	mais
cõfeso	confesso	VMIP1S0	confessar
ja	já	RG	já
não	não	RN	não
ha	há	VMIP3S0	haver
que	que	CS	que
fiar	fiar	VMN0000	fiar
	,	Fc	,
posto	posto	CS	pôr
que	que	CS	que
ben	bem	RG	bem
entendo	entendo	VMIP1S0	entender
que	que	CS	que
vindo	vindo	VMG0000	vir
de	de	SPS00	de
la	lá	RG	lá
a	a	PP3FSA00	o
pagaria	pagaria	VMIC0S0	pagar
	.	Fp	.
mas	Mas	CC	mas
não	não	RN	não
ha	há	VMIP3S0	haver
que	que	CS	que
por	pôr	VMN0000	pôr
nese	nesse	SPS00+DD0MS0	em+esse
determento	detrimento	NCMS000	detrimento
	.	Fp	.
vm	VM	NP00000	VM
faca	faça	VMSP0S0	fazer
por	por	SPS00	por
Cobrar	cobrar	VMN0000	cobrar
