Preguntaisme	Perguntais-me	VMIP2P0+PP1CS000	perguntar+me
quem	quem	PR0CN000	quem
Vos	vos	PP2CP000	vos
faría	faria	VMIC0S0	fazer
ca	cá	RG	cá
vir	vir	VMN0000	vir
	.	Fp	.
digo	Digo	VMIP1S0	dizer
que	que	CS	que
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
Jente	gente	NCFS000	gente
de	de	SPS00	de
henrique	Henrique	NP00000	henrique
frz	Fernandes	NP00000	fernandes
	,	Fc	,
e	e	CC	e
o	o	DA0MS0	o
ledeirra	ledeirra	NP00000	x
	,	Fc	,
e	e	CC	e
pode	pode	VMIP3S0	poder
ser	ser	VSN0000	ser
que	que	CS	que
Pinhel	Pinhel	NP00000	pinhel
e	e	CC	e
sua	sua	DP3FS0	seu
molher	mulher	NCFS000	mulher
	.	Fp	.
fala	Fala	VMIP3S0	falar
en	em	SPS00	em
todos	todos	DI0MP0	todo
estes	estes	PD0MP000	este
e	e	CC	e
	,	Fc	,
se	se	CS	se
vos	vos	PP2CP000	vos
Pareçer	parecer	VMSF2P0	parecer
	,	Fc	,
na	na	SPS00+DA0FS0	em+o
Jente	gente	NCFS000	gente
do	do	SPS00+DA0MS0	de+o
serrão	Serrão	NP00000	serrão
.	.	Fp	.
eu	Eu	PP1CSN00	eu
fico	fico	VMIP1S0	ficar
Ja	já	RG	já
melhorado	melhorado	VMP00SM	melhorar
	,	Fc	,
deos	Deus	NP00000	deus
louvado	louvado	VMP00SM	louvar
	,	Fc	,
mas	mas	CC	mais
não	não	RN	não
posso	posso	VMIP1S0	poder
escrever	escrever	VMN0000	escrever
	,	Fc	,
q	que	CS	que
me	me	PP1CS000	me
treme	treme	VMIP3S0	tremer
a	a	DA0FS0	o
mão	mão	NCFS000	mão
e	e	CC	e
estou	estou	VMIP1S0	estar
muito	muito	RQ	muito
fraco	fraco	AQ0MS0	fraco
.	.	Fp	.
de	De	SPS00	de
Briatis	Beatriz	NP00000	beatriz
me	me	PP1CS000	me
dai	dai	VMM02P0	dar
novas	novas	NCFP000	nova
	,	Fc	,
e	e	CC	e
se	se	CS	se
puderdes	puderdes	VMSF2P0	poder
saber	saber	VMN0000	saber
de	de	SPS00	de
izabel	Isabel	NP00000	isabel
	,	Fc	,
se	se	CSI	se
deu	deu	VMIS3S0	dar
em	em	SPS00	em
mi	mim	PP1CSO00	mim
	,	Fc	,
q	que	CS	que
eu	eu	PP1CSN00	eu
ei	hei	VMIP1S0	haver
de	de	SPS00	de
falar	falar	VMN0000	falar
en	em	SPS00	em
todos	todos	DI0MP0	todo
tres	três	Z	três
	,	Fc	,
e	e	CC	e
dos	dos	SPS00+DA0MP0	de+o
piquenos	pequenos	NCMP000	pequeno
	,	Fc	,
onde	onde	PA000000	onde
ficarão	ficaram	VMIS3P0	ficar
.	.	Fp	.
e	E	CC	e
o	o	PP3MSA00	o
meta	meta	VMSP0S0	meter
pa	para	SPS00	para
que	que	CS	que
me	me	PP1CS000	me
sirva	sirva	VMSP0S0	servir
de	de	SPS00	de
alivio	alívio	NCMS000	alívio
	,	Fc	,
e	e	CC	e
de	de	SPS00	de
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
mais	mais	NCMS000	mais
que	que	PR0CN000	que
souberdes	souberdes	VMSF2P0	saber
avisai	avisai	VMM02P0	avisar
	.	Fp	.
e	E	CC	e
se	se	CS	se
alcansais	alcançais	VMSP2P0	alcançar
coando	quando	PA000000	quando
sairemos	sairemos	VMIF2P0	sair
	,	Fc	,
permita	permita	VMSP0S0	permitir
deos	Deus	NP00000	deus
seja	seja	VSSP0S0	ser
em	em	SPS00	em
breve	breve	RG	breve
	.	Fp	.
sabei	Sabei	VMM02P0	saber
se	se	CSI	se
esta	está	VMIP3S0	estar
ca	cá	RG	cá
Pedro	Pedro	NP00000	pedro
mendes	Mendes	NP00000	mendes
e	e	CC	e
Domingos	Domingos	NP00000	domingos
da	da	SPS00+DA0FS0	de+o
costa	Costa	NP00000	costa
de	de	SPS00	de
bargança	Bragança	NP00000	bragança
e	e	CC	e
avisai	avisai	VMM02P0	avisar
	.	Fp	.
paz	Paz	NP00000	paz
	.	Fp	.
